asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
AT_Battery,2050,77577.85030576670,0.608,19394.4625764417,1.824
AT_E_Demand,2050,,,0.0000000000,0.0
AT_E_ENS,2050,,37.8805544,0.0000000000,0.0
AT_Gas,2050,95000.00000000000,6.52,0.0000000000,0.0
AT_H_Demand,2050,,,0.0000000000,0.0
AT_Hydro,2050,,16.274,0.0000000000,0.0
AT_Hydro_Reservoir,2050,,4.978,0.0000000000,0.0
AT_Pump_Hydro_Closed,2050,,0.6,0.0000000000,0.0
AT_Pump_Hydro_Open,2050,,11.586,0.0000000000,0.0
AT_Solar,2050,34342.98027538492,106.258,0.0000000000,0.0
AT_Wind_Onshore,2050,77356.32865703155,82.29,0.0000000000,0.0
AT_electrolyzer,2050,800000.00000000000,11.461187214,0.0000000000,0.0
BE_Battery,2050,77577.85030576670,2.26,19394.4625764417,6.78
BE_E_Demand,2050,,,0.0000000000,0.0
BE_E_ENS,2050,,47.16584812,0.0000000000,0.0
BE_Gas,2050,95000.00000000000,17.736,0.0000000000,0.0
BE_H_Demand,2050,,,0.0000000000,0.0
BE_Hydro,2050,,0.33,0.0000000000,0.0
BE_OCGT,2050,55000.00000000000,0.488,0.0000000000,0.0
BE_Solar,2050,34342.98027538492,110.0,0.0000000000,0.0
BE_Wind_Offshore,2050,119732.61777406993,21.92,0.0000000000,0.0
BE_Wind_Onshore,2050,77356.32865703155,20.0,0.0000000000,0.0
BE_electrolyzer,2050,800000.00000000000,22.23744292,0.0000000000,0.0
BG_Battery,2050,77577.85030576670,9.846,19394.4625764417,29.538
BG_Coal,2050,420000.00000000000,2.008,0.0000000000,0.0
BG_E_Demand,2050,,,0.0000000000,0.0
BG_E_ENS,2050,,13.5848578,0.0000000000,0.0
BG_Gas,2050,95000.00000000000,4.63,0.0000000000,0.0
BG_H_Demand,2050,,,0.0000000000,0.0
BG_Hydro,2050,,3.634,0.0000000000,0.0
BG_Hydro_Reservoir,2050,,2.562,0.0000000000,0.0
BG_Nuclear,2050,950000.00000000000,4.0,0.0000000000,0.0
BG_OCGT,2050,55000.00000000000,0.04,0.0000000000,0.0
BG_Pump_Hydro_Closed,2050,,1.728,0.0000000000,0.0
BG_Pump_Hydro_Open,2050,,1.07,0.0000000000,0.0
BG_Solar,2050,34342.98027538492,18.22,0.0000000000,0.0
BG_Wind_Onshore,2050,77356.32865703155,18.0,0.0000000000,0.0
BG_electrolyzer,2050,800000.00000000000,3.03652968,0.0000000000,0.0
CH_Battery,2050,77577.85030576670,10.1,19394.4625764417,30.3
CH_E_Demand,2050,,,0.0000000000,0.0
CH_E_ENS,2050,,25.47017712,0.0000000000,0.0
CH_H_Demand,2050,,,0.0000000000,0.0
CH_Hydro,2050,,27.55,0.0000000000,0.0
CH_Nuclear,2050,950000.00000000000,0.0,0.0000000000,0.0
CH_Pump_Hydro_Closed,2050,,4.34,0.0000000000,0.0
CH_Pump_Hydro_Open,2050,,21.464,0.0000000000,0.0
CH_Solar,2050,34342.98027538492,26.624,0.0000000000,0.0
CH_Wind_Onshore,2050,77356.32865703155,4.446,0.0000000000,0.0
CH_electrolyzer,2050,800000.00000000000,7.641053136,0.0000000000,0.0
CY_Battery,2050,77577.85030576670,6.152,19394.4625764417,18.456
CY_E_Demand,2050,,,0.0000000000,0.0
CY_E_ENS,2050,,2.538906,0.0000000000,0.0
CY_Gas,2050,95000.00000000000,1.048,0.0000000000,0.0
CY_H_Demand,2050,,,0.0000000000,0.0
CY_Solar,2050,34342.98027538492,4.546,0.0000000000,0.0
CY_Wind_Onshore,2050,77356.32865703155,0.8,0.0000000000,0.0
CY_electrolyzer,2050,800000.00000000000,0.570776256,0.0000000000,0.0
CZ_Battery,2050,77577.85030576670,7.22,19394.4625764417,21.66
CZ_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
CZ_E_Demand,2050,,,0.0000000000,0.0
CZ_E_ENS,2050,,24.7103232,0.0000000000,0.0
CZ_Gas,2050,95000.00000000000,5.226,0.0000000000,0.0
CZ_H_Demand,2050,,,0.0000000000,0.0
CZ_Hydro,2050,,1.906,0.0000000000,0.0
CZ_Hydro_Reservoir,2050,,1.396,0.0000000000,0.0
CZ_Nuclear,2050,950000.00000000000,13.966,0.0000000000,0.0
CZ_Pump_Hydro_Closed,2050,,1.376,0.0000000000,0.0
CZ_Pump_Hydro_Open,2050,,0.94,0.0000000000,0.0
CZ_Solar,2050,34342.98027538492,44.97,0.0000000000,0.0
CZ_Wind_Onshore,2050,77356.32865703155,8.972,0.0000000000,0.0
CZ_electrolyzer,2050,800000.00000000000,9.406392694,0.0000000000,0.0
DE_Battery,2050,77577.85030576670,222.194,19394.4625764417,666.582
DE_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
DE_E_Demand,2050,,,0.0000000000,0.0
DE_E_ENS,2050,,238.1671656,0.0000000000,0.0
DE_Gas,2050,95000.00000000000,67.164,0.0000000000,0.0
DE_H_Demand,2050,,,0.0000000000,0.0
DE_Hydro,2050,,9.506,0.0000000000,0.0
DE_Hydro_Reservoir,2050,,2.594,0.0000000000,0.0
DE_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
DE_Pump_Hydro_Closed,2050,,14.764,0.0000000000,0.0
DE_Pump_Hydro_Open,2050,,3.288,0.0000000000,0.0
DE_Solar,2050,34342.98027538492,912.778,0.0000000000,0.0
DE_Wind_Offshore,2050,119732.61777406993,141.17,0.0000000000,0.0
DE_Wind_Onshore,2050,77356.32865703155,383.0,0.0000000000,0.0
DE_electrolyzer,2050,800000.00000000000,136.68949772,0.0000000000,0.0
DK_Battery,2050,77577.85030576670,3.7,19394.4625764417,11.1
DK_E_Demand,2050,,,0.0000000000,0.0
DK_E_ENS,2050,,11.7893066,0.0000000000,0.0
DK_Gas,2050,95000.00000000000,0.02,0.0000000000,0.0
DK_H_Demand,2050,,,0.0000000000,0.0
DK_OCGT,2050,55000.00000000000,1.224,0.0000000000,0.0
DK_Solar,2050,34342.98027538492,48.892,0.0000000000,0.0
DK_Wind_Offshore,2050,119732.61777406993,88.382,0.0000000000,0.0
DK_Wind_Onshore,2050,77356.32865703155,22.786,0.0000000000,0.0
DK_electrolyzer,2050,800000.00000000000,4.611872146,0.0000000000,0.0
EE_E_Demand,2050,,,0.0000000000,0.0
EE_E_ENS,2050,,4.9873152,0.0000000000,0.0
EE_H_Demand,2050,,,0.0000000000,0.0
EE_Solar,2050,34342.98027538492,7.04,0.0000000000,0.0
EE_Wind_Offshore,2050,119732.61777406993,13.998,0.0000000000,0.0
EE_Wind_Onshore,2050,77356.32865703155,1.722,0.0000000000,0.0
EE_electrolyzer,2050,800000.00000000000,0.388127854,0.0000000000,0.0
ES_Battery,2050,77577.85030576670,64.0,19394.4625764417,192.0
ES_E_Demand,2050,,,0.0000000000,0.0
ES_E_ENS,2050,,95.69817984,0.0000000000,0.0
ES_Gas,2050,95000.00000000000,29.84,0.0000000000,0.0
ES_H_Demand,2050,,,0.0000000000,0.0
ES_Hydro,2050,,29.678,0.0000000000,0.0
ES_Hydro_Reservoir,2050,,21.944,0.0000000000,0.0
ES_Nuclear,2050,950000.00000000000,0.0,0.0000000000,0.0
ES_Pump_Hydro_Closed,2050,,13.732,0.0000000000,0.0
ES_Pump_Hydro_Open,2050,,5.366,0.0000000000,0.0
ES_Solar,2050,34342.98027538492,296.594,0.0000000000,0.0
ES_Wind_Offshore,2050,119732.61777406993,11.422,0.0000000000,0.0
ES_Wind_Onshore,2050,77356.32865703155,199.098,0.0000000000,0.0
ES_electrolyzer,2050,800000.00000000000,41.94063926,0.0000000000,0.0
EU_SMR_CCS,2050,,2000.0,0.0000000000,0.0
FI_Battery,2050,77577.85030576670,11.774,19394.4625764417,35.322
FI_E_Demand,2050,,,0.0000000000,0.0
FI_E_ENS,2050,,40.4000636,0.0000000000,0.0
FI_Gas,2050,95000.00000000000,0.468,0.0000000000,0.0
FI_H_Demand,2050,,,0.0000000000,0.0
FI_Hydro_Reservoir,2050,,6.474,0.0000000000,0.0
FI_Nuclear,2050,950000.00000000000,20.0,0.0000000000,0.0
FI_OCGT,2050,55000.00000000000,0.174,0.0000000000,0.0
FI_Solar,2050,34342.98027538492,95.534,0.0000000000,0.0
FI_Wind_Offshore,2050,119732.61777406993,24.0,0.0000000000,0.0
FI_Wind_Onshore,2050,77356.32865703155,175.818,0.0000000000,0.0
FI_electrolyzer,2050,800000.00000000000,10.821917808,0.0000000000,0.0
FR_Battery,2050,77577.85030576670,48.922,19394.4625764417,146.766
FR_E_Demand,2050,,,0.0000000000,0.0
FR_E_ENS,2050,,184.32,0.0000000000,0.0
FR_Gas,2050,95000.00000000000,21.678,0.0000000000,0.0
FR_H_Demand,2050,,,0.0000000000,0.0
FR_Hydro,2050,,46.894,0.0000000000,0.0
FR_Hydro_Reservoir,2050,,17.57,0.0000000000,0.0
FR_Nuclear,2050,950000.00000000000,100.278,0.0000000000,0.0
FR_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
FR_Pump_Hydro_Closed,2050,,3.9,0.0000000000,0.0
FR_Pump_Hydro_Open,2050,,3.7,0.0000000000,0.0
FR_Solar,2050,34342.98027538492,387.188,0.0000000000,0.0
FR_Wind_Offshore,2050,119732.61777406993,87.14,0.0000000000,0.0
FR_Wind_Onshore,2050,77356.32865703155,160.0,0.0000000000,0.0
FR_electrolyzer,2050,800000.00000000000,13.607305936,0.0000000000,0.0
GR_Battery,2050,77577.85030576670,66.096,19394.4625764417,198.288
GR_E_Demand,2050,,,0.0000000000,0.0
GR_E_ENS,2050,,28.6621016,0.0000000000,0.0
GR_Gas,2050,95000.00000000000,10.074,0.0000000000,0.0
GR_H_Demand,2050,,,0.0000000000,0.0
GR_Hydro,2050,,7.044,0.0000000000,0.0
GR_Hydro_Reservoir,2050,,5.488,0.0000000000,0.0
GR_OCGT,2050,55000.00000000000,0.0,0.0000000000,0.0
GR_Pump_Hydro_Closed,2050,,1.36,0.0000000000,0.0
GR_Pump_Hydro_Open,2050,,1.398,0.0000000000,0.0
GR_Solar,2050,34342.98027538492,93.0,0.0000000000,0.0
GR_Wind_Offshore,2050,119732.61777406993,35.0,0.0000000000,0.0
GR_Wind_Onshore,2050,77356.32865703155,55.0,0.0000000000,0.0
GR_electrolyzer,2050,800000.00000000000,13.150684932,0.0000000000,0.0
HR_Battery,2050,77577.85030576670,0.73,19394.4625764417,2.19
HR_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
HR_E_Demand,2050,,,0.0000000000,0.0
HR_E_ENS,2050,,7.3905362,0.0000000000,0.0
HR_Gas,2050,95000.00000000000,0.0,0.0000000000,0.0
HR_H_Demand,2050,,,0.0000000000,0.0
HR_Hydro,2050,,4.022,0.0000000000,0.0
HR_Hydro_Reservoir,2050,,3.882,0.0000000000,0.0
HR_Pump_Hydro_Open,2050,,0.562,0.0000000000,0.0
HR_Solar,2050,34342.98027538492,6.376,0.0000000000,0.0
HR_Wind_Offshore,2050,119732.61777406993,5.792,0.0000000000,0.0
HR_Wind_Onshore,2050,77356.32865703155,6.0,0.0000000000,0.0
HR_electrolyzer,2050,800000.00000000000,1.849315068,0.0000000000,0.0
HU_Battery,2050,77577.85030576670,1.908,19394.4625764417,5.724
HU_E_Demand,2050,,,0.0000000000,0.0
HU_E_ENS,2050,,24.2696596,0.0000000000,0.0
