asset,commission_year,investment_cost,investment_limit,investment_cost_storage_energy,investment_limit_storage_energy
AT_Battery,2050,77577.85030576670,0.9119999999999999,19394.4625764417,1.824
AT_E_Demand,2050,,,0.0000000000,0.0
AT_Gas,2050,95000.00000000000,9.78,0.0000000000,0.0
AT_H_Demand,2050,,,0.0000000000,0.0
AT_Hydro,2050,,24.411,0.0000000000,0.0
AT_Hydro_Reservoir,2050,,7.467,0.0000000000,0.0
AT_Pump_Hydro_Closed,2050,,0.8999999999999999,0.0000000000,0.0
AT_Pump_Hydro_Open,2050,,17.379,0.0000000000,0.0
AT_Solar,2050,34342.98027538492,159.387,0.0000000000,0.0
AT_Wind_Onshore,2050,77356.32865703155,123.435,0.0000000000,0.0
AT_electrolyzer,2050,800000.00000000000,17.191780821000002,0.0000000000,0.0
BE_Battery,2050,77577.85030576670,3.3899999999999997,19394.4625764417,6.78
BE_E_Demand,2050,,,0.0000000000,0.0
BE_Gas,2050,95000.00000000000,26.604,0.0000000000,0.0
BE_H_Demand,2050,,,0.0000000000,0.0
BE_Hydro,2050,,0.495,0.0000000000,0.0
BE_OCGT,2050,55000.00000000000,0.732,0.0000000000,0.0
BE_Solar,2050,34342.98027538492,165.0,0.0000000000,0.0
BE_Wind_Offshore,2050,119732.61777406993,32.88,0.0000000000,0.0
BE_Wind_Onshore,2050,77356.32865703155,30.0,0.0000000000,0.0
BE_electrolyzer,2050,800000.00000000000,33.356164379999996,0.0000000000,0.0
BG_Battery,2050,77577.85030576670,14.769,19394.4625764417,29.538
BG_Coal,2050,420000.00000000000,3.012,0.0000000000,0.0
BG_E_Demand,2050,,,0.0000000000,0.0
BG_Gas,2050,95000.00000000000,6.945,0.0000000000,0.0
BG_H_Demand,2050,,,0.0000000000,0.0
BG_Hydro,2050,,5.451,0.0000000000,0.0
BG_Hydro_Reservoir,2050,,3.843,0.0000000000,0.0
BG_Nuclear,2050,950000.00000000000,6.0,0.0000000000,0.0
BG_OCGT,2050,55000.00000000000,0.06,0.0000000000,0.0
BG_Pump_Hydro_Closed,2050,,2.592,0.0000000000,0.0
BG_Pump_Hydro_Open,2050,,1.605,0.0000000000,0.0
BG_Solar,2050,34342.98027538492,27.33,0.0000000000,0.0
BG_Wind_Onshore,2050,77356.32865703155,27.0,0.0000000000,0.0
BG_electrolyzer,2050,800000.00000000000,4.55479452,0.0000000000,0.0
CH_Battery,2050,77577.85030576670,15.149999999999999,19394.4625764417,30.3
CH_E_Demand,2050,,,0.0000000000,0.0
CH_H_Demand,2050,,,0.0000000000,0.0
CH_Hydro,2050,,41.325,0.0000000000,0.0
CH_Nuclear,2050,950000.00000000000,0.0,0.0000000000,0.0
CH_Pump_Hydro_Closed,2050,,6.51,0.0000000000,0.0
CH_Pump_Hydro_Open,2050,,32.196,0.0000000000,0.0
CH_Solar,2050,34342.98027538492,39.936,0.0000000000,0.0
CH_Wind_Onshore,2050,77356.32865703155,6.669,0.0000000000,0.0
CH_electrolyzer,2050,800000.00000000000,11.461579704,0.0000000000,0.0
CY_Battery,2050,77577.85030576670,9.228,19394.4625764417,18.456
CY_E_Demand,2050,,,0.0000000000,0.0
CY_Gas,2050,95000.00000000000,1.572,0.0000000000,0.0
CY_H_Demand,2050,,,0.0000000000,0.0
CY_Solar,2050,34342.98027538492,6.819000000000001,0.0000000000,0.0
CY_Wind_Onshore,2050,77356.32865703155,1.2000000000000002,0.0000000000,0.0
CY_electrolyzer,2050,800000.00000000000,0.8561643840000001,0.0000000000,0.0
CZ_Battery,2050,77577.85030576670,10.83,19394.4625764417,21.66
CZ_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
CZ_E_Demand,2050,,,0.0000000000,0.0
CZ_Gas,2050,95000.00000000000,7.839,0.0000000000,0.0
CZ_H_Demand,2050,,,0.0000000000,0.0
CZ_Hydro,2050,,2.859,0.0000000000,0.0
CZ_Hydro_Reservoir,2050,,2.094,0.0000000000,0.0
CZ_Nuclear,2050,950000.00000000000,20.948999999999998,0.0000000000,0.0
CZ_Pump_Hydro_Closed,2050,,2.064,0.0000000000,0.0
CZ_Pump_Hydro_Open,2050,,1.41,0.0000000000,0.0
CZ_Solar,2050,34342.98027538492,67.455,0.0000000000,0.0
CZ_Wind_Onshore,2050,77356.32865703155,13.457999999999998,0.0000000000,0.0
CZ_electrolyzer,2050,800000.00000000000,14.109589041000001,0.0000000000,0.0
DE_Battery,2050,77577.85030576670,333.291,19394.4625764417,666.582
DE_Coal,2050,420000.00000000000,0.0,0.0000000000,0.0
DE_E_Demand,2050,,,0.0000000000,0.0
DE_Gas,2050,95000.00000000000,100.74600000000001,0.0000000000,0.0
DE_H_Demand,2050,,,0.0000000000,0.0
DE_Hydro,2050,,14.259,0.0000000000,0.0
DE_Hydro_Reservoir,2050,,3.891,0.0000000000,0.0
