scenario,ccgt,ocgt,solar,wind,wind_offshore,electrolizer,battery,objective_value,termination_status,solve_time
1,29223.972708496018,2790.2677565805834,0.0,31926.18327500719,0.0,0.10020381408952235,8179.757036494001,1.362961324025657e7,OPTIMAL,8.3077795
2,30229.415632318778,2573.6353842278404,0.0,31559.02090989803,0.0,0.1033599014428909,2264.846436721855,1.3262815956582088e7,OPTIMAL,7.7238156
3,29053.777245631634,4787.939423987808,6813.135016812842,30589.76134573598,0.0,0.10982471809757738,1318.2469449448272,1.357346630244515e7,OPTIMAL,5.6941282
4,32718.303418346404,1285.1917899719629,6616.977093174938,0.0,0.0,0.10444183574725932,1812.9440316050004,1.3939037025262924e7,OPTIMAL,8.3451982
5,30503.260679820192,2571.7867003782217,0.0,27564.020765647056,0.0,0.10020573758024674,4899.3358185706375,1.3789045509117266e7,OPTIMAL,6.2353686
6,31255.871989209863,2294.687951232884,0.0,28355.755571058802,0.0,0.10152279846849988,2287.6539481172786,1.3740420888986861e7,OPTIMAL,7.2763315
7,29280.818900456026,3522.861826525849,8370.891096336632,28699.254372524912,0.0,0.10020733384228844,4690.364624056553,1.3950404758820869e7,OPTIMAL,9.7785076
8,28416.260192170128,3343.9961151981042,1713.1758850620704,34390.87500452044,0.0,0.10045674718358269,6199.099230967289,1.2799197471893089e7,OPTIMAL,9.3747383
9,29938.260630074652,2762.5019667645684,4941.925358432092,29268.037818151377,0.0,0.10219605929360101,2992.5456644918595,1.3626492726604069e7,OPTIMAL,7.2464796
10,30859.0280946475,2031.072976692451,423.14933547051675,33413.01020873606,0.0,0.10564434953575222,6688.734974941389,1.3885814032771865e7,OPTIMAL,6.8730435
11,29052.936755680214,3712.6350358887885,12400.037873128133,30278.65898981667,0.0,0.1002934735158493,4749.1077074826335,1.4001781345462102e7,OPTIMAL,8.8223539
12,29368.185801359174,3369.4581184063973,0.0,32293.36634742585,0.0,0.1002304919201777,5418.444992225197,1.3559702528596193e7,OPTIMAL,7.3926563
13,30964.057492686537,3490.9445807064694,6188.076880048133,27455.213239997625,0.0,0.10960719666368238,3165.18620423951,1.4196375097154386e7,OPTIMAL,7.0005854
14,31319.749372024555,3142.948449018797,2423.0670098159353,29550.73089392519,0.0,0.10514535631592498,2836.3360855504257,1.4011851818125403e7,OPTIMAL,5.6438363
15,30818.910140515767,2189.0022698539506,214.43736733062147,29386.700369644226,0.0,0.10671133432511937,5985.521408448232,1.3843731681053726e7,OPTIMAL,7.4329425
16,30725.721299891724,3383.816709239039,7091.215259248515,31603.648423633233,0.0,0.10525969756738984,2962.7124674938996,1.3986440133512944e7,OPTIMAL,5.0569593
17,32599.314967315368,1513.1262127352957,7816.4095715784015,2763.5800934994104,0.0,0.10884808936570281,1815.2931519115693,1.4088293014186183e7,OPTIMAL,7.7984139
18,30520.029722809082,3213.143459044027,1740.1758304400792,27866.22578774987,0.0,0.10309105360770102,4556.45717849319,1.39646270129433e7,OPTIMAL,4.8859796
19,33411.37174928458,1544.0782507154217,0.0,106.58265952508896,0.0,0.10625209333482187,2115.7398987384086,1.3898811188986192e7,OPTIMAL,8.0015856
20,29133.195163207798,3418.0082026951386,7081.8350774769,32817.791436250576,0.0,0.10043269906861524,4783.414333071447,1.3980987934358655e7,OPTIMAL,12.0533247
21,30298.59861988908,4011.688028384685,4265.996219466591,31981.21163901915,0.0,0.10845308537616222,2198.743506763033,1.3783384893079203e7,OPTIMAL,5.8426586
