Date,Month,Day,Hour,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
2018-01-01 00:00:00,1,1,0,21711.9,21725,22621.5,22080.7,21700.3,21921.7,22631.4,22412.8,21645.1,22004,22664,22714.9,21274.8,22001.1,21168.5,22297.4,22493.1,21992.3,22365.8,23866.2,21958,21479.3,22048.9,22121.2,22782.4,21304.4,21762.1,22877,23358.9,22379.6,21783.9,22275.5,22340,21825.2,22010.4,21903
2018-01-01 01:00:00,1,1,1,21492.8,21437.1,22621.4,21973.6,21444.9,21690.6,22538,22298.2,21507.9,21869.3,22404.9,22774.2,21181.2,21623.3,21077.7,21998.2,22441.9,21799.8,22232.5,23952.9,21792.1,21361.8,21901,21945.1,22664.4,21170,21467.3,22803.4,23270.2,22364.1,21696.3,22069.8,22312.4,21847.2,21799.9,21732.9
2018-01-01 02:00:00,1,1,2,21487,20912.3,22359.5,21519.2,21087.9,21218.3,22163.6,21900.2,21178.2,21483.3,21898,22554.7,20869.9,21176.1,20794.3,21608.7,22210,21372.8,21837.5,23771.3,21427.8,20824.6,21505.9,21440.6,22289,20796.2,20934.2,22476.1,22910.6,22074,21325.3,21614.6,22017.6,21391.8,21594.9,21307.8
2018-01-01 03:00:00,1,1,3,21631.7,20822.5,22604.9,21569.6,21156.9,21193.8,22252.5,21966.9,21263,21473,21846,22816.3,20866.1,21160.8,20815.1,21611.2,22421.4,21367.1,21940.7,22329.8,21459.2,20791.2,21423.8,21358,22416,20772.3,20827.5,22659.2,23038,22264.3,21420.7,21612.4,22218.2,21160.5,21726.2,21301.6
2018-01-01 04:00:00,1,1,4,21628.8,20692.5,22716,21561,21177.3,21119.4,22164.8,21908.9,21315.7,21390.6,21738.7,22917.6,20822.6,21094.3,20763,21566.7,22490.8,20878.7,21922.6,22264.7,21421.2,20690.2,21263,21322.7,22433.8,20691.3,20435.3,22715.2,23036.3,22311,21393.3,21542.6,22285.9,20758.8,21752.7,21208.4
2018-01-01 05:00:00,1,1,5,22161.6,20830.3,23390.8,22131.3,21824,21665.7,22601.4,22404.7,21959.1,21961,22229.6,23540,21414.2,21795.7,21574.5,22318.5,23126.1,21505.3,22453.5,22808.3,22155.5,21228.3,21772.6,22013.3,22970.8,21226.2,20667.4,23330.1,23590.4,22899,21926.3,22075.3,22924,21419.5,22330,21701.4
2018-01-01 06:00:00,1,1,6,22614.8,21427.3,24014.7,22664.6,22294.1,22117.7,23056.4,22900.3,22489.3,22588.7,22499.5,24102.5,21976.1,22464.2,21994.9,22910.5,23691.9,22148.8,22951.7,23390.2,22688.8,21933.3,22319.2,22525.2,23479.2,21844,21227.2,23903.4,24112.8,23447.8,22454.5,22549.5,23500.7,22090.2,22861.7,22071.5
2018-01-01 07:00:00,1,1,7,23169.7,21970.8,25080.5,23471.9,22817.2,22570.2,23755.6,23749.6,23141.5,23131.3,23144.6,25073.9,22742.7,22960.3,22543.4,23395.9,24634.5,22876.5,23849.3,24385.6,23093.9,22826,22867.5,23187.7,24342.7,22453.9,21946.3,24900.9,25036,24412.7,23349,22943.2,24457.1,22658.8,23624.3,22443.8
2018-01-01 08:00:00,1,1,8,23322.4,21952.8,25256.2,23671.8,23047.2,22793.5,23990,23832.6,23436.1,23117.6,23258.9,25186.5,22806.5,23185,22478.2,23682.9,24779.5,22849.7,23916.1,24484.3,23390.9,22828.8,23004.5,23207.6,24483.3,22473.1,21987.9,25019.1,25104.1,24516.3,23527.2,23176.4,24627.1,22682,23862,22575
2018-01-01 09:00:00,1,1,9,23542.9,22508.8,25509.1,23951.8,23435.9,23401.3,24235.1,24015.6,23776.4,23619.5,23592,25414.6,23324.3,23799.5,22889.2,24241.9,25040.7,23361,24101.1,24703.6,23902.1,23175.4,23573.8,23665.6,24751.8,22915.3,22330.5,25252,25274.1,24724.9,23694.9,23662,24918.2,23317,24143.8,23112.8
2018-01-01 10:00:00,1,1,10,23938.1,23423.9,25876,24421.4,23925.6,23965.5,24672.9,24499,24280.8,24471.4,24247.2,25759.8,23998.8,24421.6,23743.3,24781,25448.2,24055.6,24472.3,25110.2,24437.6,24098.8,24100.4,24266.8,25205.8,23874.4,23413.6,25646.2,25612.7,25104.9,24148.7,24161.6,25316.8,24083.2,24617.8,23672.3
2018-01-01 11:00:00,1,1,11,24491.5,24104.5,26537,25056.7,24562.5,24647.5,25261.2,25151.7,24912.2,25131.4,24884,26372.8,24759.1,25115.2,24401.9,25447.8,26053,24723.7,25121.9,25754.7,25093.5,24633.7,24746.4,24912.9,25854.4,24529.6,24082.2,26327.5,26225.3,25776,24809.7,24800.4,25928.3,24777.6,25248.4,24315.1
2018-01-01 12:00:00,1,1,12,24890.3,24612.5,26983.6,25523.1,25035.2,25154.6,25689,25641.4,25350.9,25611.7,25344.2,26829.2,25324.6,25626.9,24852.5,25939.1,26468.2,25220.2,25579.7,28435.5,25579.3,24971.6,25219.3,25382.7,26336.3,25006.5,24572.1,26828.2,26656,26271.2,25305.6,25265.5,26357,25293.1,25715.6,24793
2018-01-01 13:00:00,1,1,13,24782.8,24608.3,26913.5,25464.9,24993.3,25134.6,25604.2,25607.3,25236.8,25579.9,25290.7,26806.2,25238.2,25609.3,24795.5,25911.9,26404.9,25203.4,25538.1,28312.6,25546.9,25047.7,25173.3,25336.1,26295.3,24975.9,24550.9,26825,26598.6,26273.3,25287.2,25211.1,26288.2,25285.3,25658.2,24757.9
2018-01-01 14:00:00,1,1,14,24836.7,24736.8,26990.9,25555.4,25098.1,25246.8,25670.9,25721.4,25249.7,25686,25376.7,26947.2,25351.9,25715.8,24824.2,26017.9,26498.5,25325.4,25633.2,28391.8,25658.1,25183.5,25265.3,25426.5,26405.1,25082.3,24662,26970.4,26688.9,26422,25411.6,25298.4,26365.9,25401.5,25748.4,24870.6
2018-01-01 15:00:00,1,1,15,25105.1,25066.1,27257.6,25840.3,25409.4,25544.1,25936.8,26033.4,25464.6,26000.6,25674.4,27290.9,25689.3,26013,25051.6,26317.3,26816.3,25653.9,25947.5,28713.8,25973.9,25459.5,25553.2,25726.8,26715.3,25404.2,24986.4,27313,26999.3,26781.1,25744.8,25591.2,26656,25703.2,26029.6,25191.6
2018-01-01 16:00:00,1,1,16,25820.4,25815.2,27920.7,26555.9,26156.9,26257.3,26634.6,26779.5,26119.5,26743.6,26406.6,28060,26300.9,26728.7,25830.5,27036.8,27578.5,26344.8,26702.4,29470.5,26721.4,26164.6,26268,26460.1,27457.2,26160.8,25740.7,28089.4,27748.9,27570,26503.1,26318.2,27382.5,26414.7,26736.4,25950.7
2018-01-01 17:00:00,1,1,17,26467.3,26473.6,28483.9,27188.3,26824.9,26876.7,27261.5,27449.3,26705.8,27406.1,27066.6,28697.6,26949.5,27367.3,26427,27675,28257.2,27003.4,27369.5,27811.4,27390.1,26743.4,26900.1,27119,28129.2,26839.3,26395.9,28765.8,28418.9,28259.8,27165.7,26973.2,28025.1,27034.3,27355.2,26634.7
2018-01-01 18:00:00,1,1,18,26834.1,26829.3,28780.6,27526.9,27194.8,27200.7,27562,27833.1,27015.5,27765.2,27431.3,29004.9,27307.2,27707.1,26752.3,28015.3,28623,27372.4,27735.9,28188.7,27762.5,27010.4,27155.4,27476.7,28512.2,27211.3,26697.8,29125.8,28787.4,28643.9,27544.7,27333.5,28368.1,27344.5,27679.3,27025.2
2018-01-01 19:00:00,1,1,19,26412.6,26393.6,28300.2,27059.6,26752.5,26743.4,27124.7,27431.3,26550.9,27342.5,27014.6,28524,26785.7,27269,26305.9,27577.4,28204.7,26914.9,27317.5,27844.4,27347.6,26380.4,26698.1,27051.2,28114.4,26691,26107.5,28694.7,28381.4,28230.9,27125.7,26911.4,27938,26870.7,27204.3,26622.9
2018-01-01 20:00:00,1,1,20,25484.7,25451.3,27287.5,26063.8,25764,25801.7,26178.7,26510.9,25602,26427.5,26096.4,27483.4,25839.5,26241.6,25232.7,26648.6,27251.2,25940.9,26365.8,27004.4,26427.1,25308.9,25832.5,26133.4,27195.3,25680.5,25061.8,27710.7,27453.3,27272.4,26177.6,25991.8,26984.3,25915.2,26211.4,25719
2018-01-01 21:00:00,1,1,21,24798.9,24720.1,26527.5,25307.8,25158.9,25108.9,25496.4,25835.9,24911.1,25730.8,25385.2,26709.4,25167.6,25573.3,24562.9,25972.6,26535.7,25211.3,25644.7,26437.5,25749.4,24606.8,25184.5,25421.7,26527.4,24888.7,24288.1,26966.7,26760.5,26547.8,25473.5,25322.4,26266.5,25183,25468.9,25060.6
2018-01-01 22:00:00,1,1,22,24024.3,23896.6,25732.9,24463.5,24370.5,24330.3,24720,25086,24137.8,24992.5,24571.4,25902.2,24375.8,24653,23756.6,25213.2,25769.2,24417,24867,25813.7,24985.3,23836.9,24408.5,24612.8,25789.6,24073,23464.8,26176,26008.4,25777,24698,24573,25490.4,24351.5,24652,24321.5
2018-01-01 23:00:00,1,1,23,23230.9,22973.8,25053.4,23665.4,23398.3,23421,23821.5,24382.9,23309.4,24006.2,23701.4,25219,23523.8,23954.2,22901.9,24369.9,25104,23672.6,24201.6,25199.6,24133.7,23181.3,23623.8,23743.3,25096.2,23200.4,22694,25489,25352.4,25115.6,23977.2,23742.7,24810.9,23436.5,23891.4,23500.7
2018-01-02 00:00:00,1,2,0,21527.7,22353.7,23625.4,21574.9,22081,22017.8,22441.7,23050.9,21762.5,22657.4,22179.9,23852.8,22509.1,22609.9,21742.2,22916.7,23778.3,22805.9,22877.6,23878.3,22522.3,21786.4,21822.8,22721.9,23668.7,21846.2,21737.5,24129.4,24049.1,23801.5,22634.1,22583.7,23443.6,22249.6,22266,22578.5
2018-01-02 01:00:00,1,2,1,21094.9,22000.7,23225.8,21106.8,21805,21585.6,22174.2,22659.1,21336.3,22239.7,21741.9,23470.8,22151.2,22145.5,21358.9,22494.2,23415.7,22329.8,22529,23526.4,22119.8,21352.2,21436.3,22287.5,23196.5,21466.7,21312.9,23760.8,23697.9,23454,22167.8,22160.9,23063.7,21842.3,21813.4,22238.6
