id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.16646189550673585
2,h2_storage,2030,1,2,2,,-0.16646189550673585
3,h2_storage,2030,1,3,3,,-0.16646189550673585
4,h2_storage,2030,1,4,4,,-0.16646189550673585
5,h2_storage,2030,1,5,5,,-0.16646189550673585
6,h2_storage,2030,1,6,6,,-0.16646189550673585
7,h2_storage,2030,1,7,7,,-0.16646189550673585
8,h2_storage,2030,1,8,8,,-0.16646189550673585
9,h2_storage,2030,1,9,9,,-0.16646189550673585
10,h2_storage,2030,1,10,10,,-0.16646189550673585
11,h2_storage,2030,1,11,11,,-0.16646189550673585
12,h2_storage,2030,1,12,12,,-0.16646189550673585
13,h2_storage,2030,1,13,13,,-0.16646189550673585
14,h2_storage,2030,1,14,14,,-0.16646189550673585
15,h2_storage,2030,1,15,15,,-0.16646189550673585
16,h2_storage,2030,1,16,16,,-0.16646189550673585
17,h2_storage,2030,1,17,17,,-0.16646189550673585
18,h2_storage,2030,1,18,18,,-0.16646189550673585
19,h2_storage,2030,1,19,19,,-0.16646189550673585
20,h2_storage,2030,1,20,20,,-0.16646189550673585
21,h2_storage,2030,1,21,21,,-0.16646189550673585
22,h2_storage,2030,1,22,22,,-0.16646189550673585
23,h2_storage,2030,1,23,23,,-0.16646189550673585
24,h2_storage,2030,1,24,24,,-0.16646189550673585
25,h2_storage,2030,2,1,1,,-0.31476629176026166
26,h2_storage,2030,2,2,2,,-0.31476629176026166
27,h2_storage,2030,2,3,3,,-0.31476629176026166
28,h2_storage,2030,2,4,4,,-0.31476629176026166
29,h2_storage,2030,2,5,5,,-0.31476629176026166
30,h2_storage,2030,2,6,6,,-0.31476629176026166
31,h2_storage,2030,2,7,7,,-0.31476629176026166
32,h2_storage,2030,2,8,8,,-0.31476629176026166
33,h2_storage,2030,2,9,9,,-0.31476629176026166
34,h2_storage,2030,2,10,10,,-0.31476629176026166
35,h2_storage,2030,2,11,11,,-0.31476629176026166
36,h2_storage,2030,2,12,12,,-0.31476629176026166
37,h2_storage,2030,2,13,13,,-0.31476629176026166
38,h2_storage,2030,2,14,14,,-0.31476629176026166
39,h2_storage,2030,2,15,15,,-0.31476629176026166
40,h2_storage,2030,2,16,16,,-0.31476629176026166
41,h2_storage,2030,2,17,17,,-0.31476629176026166
42,h2_storage,2030,2,18,18,,-0.31476629176026166
43,h2_storage,2030,2,19,19,,-0.31476629176026166
44,h2_storage,2030,2,20,20,,-0.31476629176026166
45,h2_storage,2030,2,21,21,,-0.31476629176026166
46,h2_storage,2030,2,22,22,,-0.31476629176026166
47,h2_storage,2030,2,23,23,,-0.31476629176026166
48,h2_storage,2030,2,24,24,,-0.31476629176026166
49,h2_storage,2030,3,1,1,,-0.1675432889947892
50,h2_storage,2030,3,2,2,,-0.1675432889947892
51,h2_storage,2030,3,3,3,,-0.1675432889947892
52,h2_storage,2030,3,4,4,,-0.1675432889947892
53,h2_storage,2030,3,5,5,,-0.1675432889947892
54,h2_storage,2030,3,6,6,,-0.1675432889947892
55,h2_storage,2030,3,7,7,,-0.1675432889947892
56,h2_storage,2030,3,8,8,,-0.1675432889947892
57,h2_storage,2030,3,9,9,,-0.1675432889947892
58,h2_storage,2030,3,10,10,,-0.1675432889947892
59,h2_storage,2030,3,11,11,,-0.1675432889947892
60,h2_storage,2030,3,12,12,,-0.1675432889947892
61,h2_storage,2030,3,13,13,,-0.1675432889947892
62,h2_storage,2030,3,14,14,,-0.1675432889947892
63,h2_storage,2030,3,15,15,,-0.1675432889947892
64,h2_storage,2030,3,16,16,,-0.1675432889947892
65,h2_storage,2030,3,17,17,,-0.1675432889947892
66,h2_storage,2030,3,18,18,,-0.1675432889947892
67,h2_storage,2030,3,19,19,,-0.1675432889947892
68,h2_storage,2030,3,20,20,,-0.1675432889947892
69,h2_storage,2030,3,21,21,,-0.1675432889947892
70,h2_storage,2030,3,22,22,,-0.1675432889947892
71,h2_storage,2030,3,23,23,,-0.1675432889947892
72,h2_storage,2030,3,24,24,,-0.1675432889947892
73,h2_storage,2030,4,1,1,,-0.14909377094866344
74,h2_storage,2030,4,2,2,,-0.14909377094866344
75,h2_storage,2030,4,3,3,,-0.14909377094866344
76,h2_storage,2030,4,4,4,,-0.14909377094866344
77,h2_storage,2030,4,5,5,,-0.14909377094866344
78,h2_storage,2030,4,6,6,,-0.14909377094866344
79,h2_storage,2030,4,7,7,,-0.14909377094866344
80,h2_storage,2030,4,8,8,,-0.14909377094866344
81,h2_storage,2030,4,9,9,,-0.14909377094866344
82,h2_storage,2030,4,10,10,,-0.14909377094866344
83,h2_storage,2030,4,11,11,,-0.14909377094866344
84,h2_storage,2030,4,12,12,,-0.14909377094866344
85,h2_storage,2030,4,13,13,,-0.14909377094866344
86,h2_storage,2030,4,14,14,,-0.14909377094866344
87,h2_storage,2030,4,15,15,,-0.14909377094866344
88,h2_storage,2030,4,16,16,,-0.14909377094866344
89,h2_storage,2030,4,17,17,,-0.14909377094866344
90,h2_storage,2030,4,18,18,,-0.14909377094866344
91,h2_storage,2030,4,19,19,,-0.14909377094866344
92,h2_storage,2030,4,20,20,,-0.14909377094866344
93,h2_storage,2030,4,21,21,,-0.14909377094866344
94,h2_storage,2030,4,22,22,,-0.14909377094866344
95,h2_storage,2030,4,23,23,,-0.14909377094866344
96,h2_storage,2030,4,24,24,,-0.14909377094866344
97,h2_storage,2030,5,1,1,,-0.12491758492246784
98,h2_storage,2030,5,2,2,,-0.12491758492246784
99,h2_storage,2030,5,3,3,,-0.12491758492246784
100,h2_storage,2030,5,4,4,,-0.12491758492246784
101,h2_storage,2030,5,5,5,,-0.12491758492246784
102,h2_storage,2030,5,6,6,,-0.12491758492246784
103,h2_storage,2030,5,7,7,,-0.12491758492246784
104,h2_storage,2030,5,8,8,,-0.12491758492246784
105,h2_storage,2030,5,9,9,,-0.12491758492246784
106,h2_storage,2030,5,10,10,,-0.12491758492246784
107,h2_storage,2030,5,11,11,,-0.12491758492246784
108,h2_storage,2030,5,12,12,,-0.12491758492246784
109,h2_storage,2030,5,13,13,,-0.12491758492246784
110,h2_storage,2030,5,14,14,,-0.12491758492246784
111,h2_storage,2030,5,15,15,,-0.12491758492246784
112,h2_storage,2030,5,16,16,,-0.12491758492246784
113,h2_storage,2030,5,17,17,,-0.12491758492246784
114,h2_storage,2030,5,18,18,,-0.12491758492246784
115,h2_storage,2030,5,19,19,,-0.12491758492246784
116,h2_storage,2030,5,20,20,,-0.12491758492246784
117,h2_storage,2030,5,21,21,,-0.12491758492246784
118,h2_storage,2030,5,22,22,,-0.12491758492246784
119,h2_storage,2030,5,23,23,,-0.12491758492246784
120,h2_storage,2030,5,24,24,,-0.12491758492246784
121,h2_storage,2030,6,1,1,,-0.07402693550620901
122,h2_storage,2030,6,2,2,,-0.07402693550620901
123,h2_storage,2030,6,3,3,,-0.07402693550620901
124,h2_storage,2030,6,4,4,,-0.07402693550620901
125,h2_storage,2030,6,5,5,,-0.07402693550620901
126,h2_storage,2030,6,6,6,,-0.07402693550620901
127,h2_storage,2030,6,7,7,,-0.07402693550620901
128,h2_storage,2030,6,8,8,,-0.07402693550620901
129,h2_storage,2030,6,9,9,,-0.07402693550620901
130,h2_storage,2030,6,10,10,,-0.07402693550620901
131,h2_storage,2030,6,11,11,,-0.07402693550620901
132,h2_storage,2030,6,12,12,,-0.07402693550620901
133,h2_storage,2030,6,13,13,,-0.07402693550620901
134,h2_storage,2030,6,14,14,,-0.07402693550620901
135,h2_storage,2030,6,15,15,,-0.07402693550620901
136,h2_storage,2030,6,16,16,,-0.07402693550620901
137,h2_storage,2030,6,17,17,,-0.07402693550620901
138,h2_storage,2030,6,18,18,,-0.07402693550620901
139,h2_storage,2030,6,19,19,,-0.07402693550620901
140,h2_storage,2030,6,20,20,,-0.07402693550620901
141,h2_storage,2030,6,21,21,,-0.07402693550620901
142,h2_storage,2030,6,22,22,,-0.07402693550620901
143,h2_storage,2030,6,23,23,,-0.07402693550620901
