scenario,milestone_year,period,rep_period,weight
5,2030,1,6,0.03476495894217985
5,2030,1,8,0.013394932368434581
5,2030,1,9,0.053972526947438704
5,2030,1,12,0.0573810501009716
5,2030,1,20,0.8404865316409753
5,2030,2,3,0.10477144456246125
5,2030,2,5,0.19569606020468194
5,2030,2,7,0.09973294541753973
5,2030,2,12,0.058858012209822
5,2030,2,14,0.540941537605495
5,2030,3,10,0.02147142942572844
5,2030,3,11,0.020519544141774582
5,2030,3,14,0.14715679922311975
5,2030,3,15,0.011991865458302796
5,2030,3,17,0.11706903100632178
5,2030,3,18,0.0648782077902736
5,2030,3,19,0.01817481613365815
5,2030,3,20,0.07039720673013394
5,2030,3,21,0.5283411000906871
5,2030,4,3,0.14767329792687617
5,2030,4,5,0.11878878368892772
5,2030,4,7,0.21949230969584355
5,2030,4,10,0.045264825181846276
5,2030,4,16,0.035143638103382724
5,2030,4,17,0.43363714540312354
5,2030,5,3,0.20674618774396702
5,2030,5,5,0.1002182987930538
5,2030,5,8,0.029900070084531237
5,2030,5,12,0.2682374445515016
5,2030,5,17,0.3948979988269464
5,2030,6,3,0.03742764830494953
5,2030,6,5,0.0687959840205999
5,2030,6,8,0.04017349205358898
5,2030,6,9,0.07913765760092673
5,2030,6,10,0.5887543865373037
5,2030,6,12,0.09202788744407758
5,2030,6,13,0.06097354298407082
5,2030,6,14,0.03270940105448271
5,2030,7,3,0.08814582275038324
5,2030,7,8,0.08106665506551658
5,2030,7,16,0.6196012694274322
5,2030,7,17,0.21118625275666797
5,2030,8,12,0.21424381071940274
5,2030,8,17,0.22216839025673388
5,2030,8,23,0.5635877990238634
5,2030,9,1,0.14985373324547935
5,2030,9,5,0.011863911071696836
5,2030,9,10,0.27007493988741393
5,2030,9,12,0.07155039836868325
5,2030,9,19,0.4966570174267266
5,2030,10,10,0.040616395829116705
5,2030,10,12,0.5121858027610713
5,2030,10,18,0.14968170157908675
5,2030,10,20,0.13380711240167514
5,2030,10,21,0.16370898742905007
5,2030,11,16,1.0
5,2030,12,3,0.025136070101807035
5,2030,12,16,0.9641463850748205
5,2030,12,17,0.010717544823372503
5,2030,13,5,0.6750314094490227
5,2030,13,9,0.057472891038277164
5,2030,13,10,0.041538669625871855
5,2030,13,11,0.024519388744679415
5,2030,13,12,0.12006438625371295
5,2030,13,21,0.039884339794997656
5,2030,13,24,0.041488915093438106
5,2030,14,5,0.06204528987412871
5,2030,14,8,0.4760097603064302
5,2030,14,10,0.3372318864572255
5,2030,14,12,0.1247130633622155
5,2030,15,3,0.6506568549514671
5,2030,15,8,0.0362762900404177
5,2030,15,9,0.07809646843708368
5,2030,15,11,0.037314210747256195
5,2030,15,12,0.12471276717246023
5,2030,15,15,0.016972764925277776
5,2030,15,19,0.03608150993628927
5,2030,15,24,0.019889133789748114
5,2030,16,12,1.0
5,2030,17,3,0.2496672544106207
5,2030,17,4,0.0317282660399696
5,2030,17,10,0.5073797918035503
5,2030,17,12,0.09992076887137509
5,2030,17,14,0.08181243561738706
5,2030,17,21,0.029491483257097263
5,2030,18,3,1.0
5,2030,19,1,0.1965056577599361
5,2030,19,3,0.2582143136012326
5,2030,19,7,0.2815485622667625
5,2030,19,8,0.0
5,2030,19,12,0.11822377421466328
5,2030,19,13,0.14550769215740555
5,2030,20,3,0.246432660267809
5,2030,20,5,0.2412336345501136
5,2030,20,7,0.05926263549688547
5,2030,20,16,0.048005391592513956
5,2030,20,21,0.39256531268311207
5,2030,20,23,0.012500365409565917
5,2030,21,1,0.274799962080192
5,2030,21,3,0.029419889776914444
5,2030,21,5,0.48067940527150665
5,2030,21,8,0.08121845833015026
5,2030,21,10,0.015983199935465785
5,2030,21,12,0.06261657179731613
5,2030,21,21,0.055282512808454816
5,2030,22,1,0.20183758902803264
5,2030,22,3,0.04397947886617711
5,2030,22,5,0.04509661852067733
5,2030,22,10,0.6487002696821343
5,2030,22,12,0.060386043902978526
5,2030,23,7,1.0
5,2030,24,5,0.15471586224242936
5,2030,24,7,0.8452841377575706
5,2030,25,7,0.060735268178516516
5,2030,25,16,0.9392647318214835
5,2030,26,5,1.0
5,2030,27,1,0.0302779396791968
