scenario,milestone_year,period,rep_period,weight
10,2030,1,1,0.19405881730962268
10,2030,1,3,0.043130074664849985
10,2030,1,5,0.5732605078835038
10,2030,1,6,0.032593917984204225
10,2030,1,7,0.09173525000171104
10,2030,1,11,0.023964685067315233
10,2030,1,23,0.04125674708879312
10,2030,2,1,0.6763442305218155
10,2030,2,7,0.15498025572944
10,2030,2,16,0.10947109111014404
10,2030,2,17,0.033184334221560585
10,2030,2,19,0.011923465503478241
10,2030,2,22,0.014096622913561759
10,2030,3,1,0.1168488718523422
10,2030,3,7,0.5098242627356884
10,2030,3,16,0.12195022546313335
10,2030,3,20,0.25137663994883613
10,2030,4,1,0.770657310985128
10,2030,4,5,0.1037791447864015
10,2030,4,7,0.024992686192641892
10,2030,4,17,0.033483511275544
10,2030,4,19,0.06708734676028459
10,2030,5,1,0.7516873027469755
10,2030,5,5,0.07553121958128473
10,2030,5,7,0.07508795466271506
10,2030,5,17,0.024251992506202837
10,2030,5,19,0.07344153050282193
10,2030,6,1,0.6509459917046352
10,2030,6,5,0.045629203625538586
10,2030,6,7,0.20499411218681166
10,2030,6,16,0.04044850788249032
10,2030,6,17,0.04611499219356938
10,2030,6,19,0.011867192406954925
10,2030,7,5,0.44191086584566697
10,2030,7,16,0.460510890984054
10,2030,7,22,0.0975782431702791
10,2030,8,7,1.0
10,2030,9,1,0.9103073250356554
10,2030,9,5,0.047536021901152324
10,2030,9,16,0.02122738949571956
10,2030,9,17,0.02092926356747285
10,2030,10,1,1.0
10,2030,11,1,0.3117210228575605
10,2030,11,5,0.40766603380646793
10,2030,11,20,0.28061294333597175
10,2030,12,1,0.26477799704637817
10,2030,12,5,0.24541335483984977
10,2030,12,7,0.3664357811117564
10,2030,12,20,0.12337286700201582
10,2030,13,1,0.939344626304258
10,2030,13,5,0.049551374842289976
10,2030,13,17,0.011103998853452045
10,2030,14,1,0.8280867655367865
10,2030,14,5,0.05075826821688785
10,2030,14,7,0.08679688070317859
10,2030,14,11,0.03435808554314706
10,2030,15,1,0.7939915639427948
10,2030,15,5,0.1474934566797011
10,2030,15,7,0.014216901471458081
10,2030,15,19,0.017465585015472455
10,2030,15,23,0.015262921344623398
10,2030,15,24,0.011569571545950041
10,2030,16,1,0.9537068977836186
10,2030,16,11,0.010620267797541908
10,2030,16,16,0.010598838968301058
10,2030,16,18,0.025073995450538376
10,2030,17,1,0.506767161785868
10,2030,17,5,0.1921050084620396
10,2030,17,7,0.2245521025143128
10,2030,17,17,0.07657572723777971
10,2030,18,5,1.0
10,2030,19,5,0.2097830925171587
10,2030,19,7,0.7064327913910052
10,2030,19,16,0.01975546910340281
10,2030,19,19,0.032190894797021086
10,2030,19,23,0.03183775219141216
10,2030,20,1,0.38195233141783475
10,2030,20,5,0.07882763406071865
10,2030,20,7,0.1872699142635618
10,2030,20,16,0.2432062908453544
10,2030,20,20,0.04847645309114304
10,2030,20,22,0.06026737632138744
10,2030,21,1,0.25038925281808205
10,2030,21,5,0.11215754081895146
10,2030,21,7,0.5110356958454342
10,2030,21,23,0.12641751051753233
10,2030,22,1,0.2154210207074426
10,2030,22,5,0.2979018449080687
10,2030,22,7,0.34006953099899795
10,2030,22,11,0.12566740085807696
10,2030,22,23,0.02094020252741374
10,2030,23,5,0.21685706084167092
10,2030,23,16,0.746757513821528
10,2030,23,22,0.036385425336801114
10,2030,24,1,0.013748757299535877
10,2030,24,5,0.01954030501349777
10,2030,24,16,0.9667109376869664
10,2030,25,16,1.0
10,2030,26,1,0.02988880100051996
10,2030,26,12,0.019789470747241564
10,2030,26,16,0.9503217282522385
10,2030,27,3,0.03748341261336095
10,2030,27,6,0.020419378833689113
10,2030,27,8,0.03311755132536197
10,2030,27,10,0.020586629649043696
10,2030,27,12,0.03328173730007527
10,2030,27,14,0.0361042214716453
10,2030,27,16,0.7969848160791841
10,2030,27,18,0.022022252727639566
10,2030,28,1,0.032777865146866224
10,2030,28,7,0.1822494190676547
10,2030,28,9,0.01985273649633739
10,2030,28,16,0.42396864438738446
10,2030,28,20,0.3076334917383217
10,2030,28,23,0.03351784316343564
10,2030,29,1,0.20895166186959113
10,2030,29,5,0.059403564735643566
10,2030,29,6,0.0828236505618822
10,2030,29,7,0.4621306424714482
10,2030,29,10,0.04189012528942172
10,2030,29,11,0.014095164921171284
10,2030,29,12,0.12053176170731691
10,2030,29,24,0.010173428443525128
10,2030,30,1,0.48683922653957923
10,2030,30,5,0.20942073303974615
10,2030,30,6,0.03776546562331407
10,2030,30,11,0.12943446601095412
10,2030,30,14,0.05855365846301348
10,2030,30,19,0.04690256710385849
10,2030,30,21,0.03108388321953456
10,2030,31,1,0.09094893709872803
10,2030,31,5,0.01729416803648693
10,2030,31,7,0.05902518968106144
10,2030,31,8,0.034682632101130845
10,2030,31,10,0.03999510600394773
10,2030,31,16,0.6190276054588746
10,2030,31,17,0.09535913214605017
10,2030,31,19,0.01954435358253088
10,2030,31,21,0.012273226396131879
10,2030,31,24,0.01184964949505741
10,2030,32,1,0.019658632867082408
10,2030,32,3,0.17690839661001057
10,2030,32,5,0.24688369152985554
10,2030,32,16,0.5007540897977946
10,2030,32,22,0.05579518919525685
10,2030,33,1,0.04362382268180573
10,2030,33,3,0.025237087550339942
10,2030,33,7,0.01600237875184245
10,2030,33,8,0.04463826445021298
10,2030,33,9,0.04535829298447862
10,2030,33,10,0.039677194803266
10,2030,33,15,0.02077692402625431
10,2030,33,16,0.7250573164710015
10,2030,33,23,0.03962871828079837
10,2030,34,5,0.02770695429172391
10,2030,34,7,0.47628894170287633
10,2030,34,9,0.020646217236933405
10,2030,34,13,0.027776185732480113
10,2030,34,15,0.06737625705371489
10,2030,34,16,0.1534107983498431
10,2030,34,17,0.010220881490582229
10,2030,34,19,0.04544857430411631
10,2030,34,20,0.028829150734054274
10,2030,34,23,0.14229603910367533
10,2030,35,5,0.4777174493747443
10,2030,35,11,0.12153715784479961
10,2030,35,16,0.19716364644558612
10,2030,35,18,0.1021894524832229
10,2030,35,22,0.10139229385164703
10,2030,36,9,0.05954228382969746
10,2030,36,16,0.7190942359749466
10,2030,36,17,0.04021158225720098
10,2030,36,20,0.07991808122843812
10,2030,36,21,0.01999624262609768
10,2030,36,22,0.015142336911701845
10,2030,36,23,0.06609523717191729
10,2030,37,2,0.07480322879845813
10,2030,37,3,0.03799847257613654
10,2030,37,14,0.024366642159686827
10,2030,37,16,0.7513023054546256
10,2030,37,22,0.11152935101109283
10,2030,38,2,0.22987261218886346
10,2030,38,16,0.7562019434201016
10,2030,38,22,0.013925444391034955
10,2030,39,2,0.20546652373475605
10,2030,39,16,0.7772531618616249
10,2030,39,22,0.01728031440361907
10,2030,40,2,0.13467363404126362
10,2030,40,16,0.7871899955928942
10,2030,40,22,0.07813637036584212
10,2030,41,2,0.05151246344135343
10,2030,41,9,0.04606275116414772
10,2030,41,16,0.7186164778595122
10,2030,41,20,0.15511948933536643
10,2030,41,23,0.028688818199620183
10,2030,42,3,0.02185516450693802
10,2030,42,6,0.025731152379569203
10,2030,42,11,0.06945936544261333
10,2030,42,14,0.06477895037929633
10,2030,42,16,0.7311996017394872
10,2030,42,18,0.08697576555209577
10,2030,43,2,0.3241852354271381
10,2030,43,16,0.6758147645728619
10,2030,44,2,0.3076526586456379
10,2030,44,16,0.692347341354362
10,2030,45,2,0.2785078723156812
10,2030,45,16,0.7214921276843188
10,2030,46,2,0.31629540343564866
10,2030,46,16,0.6837045965643515
10,2030,47,2,0.3005234602924782
10,2030,47,16,0.6994765397075219
10,2030,48,2,0.4009284250581427
10,2030,48,16,0.5840274716375446
10,2030,48,20,0.015044103304312662
10,2030,49,2,0.24561990556997426
10,2030,49,9,0.013354957420442891
10,2030,49,16,0.5547956985965471
10,2030,49,20,0.14516201194572037
10,2030,49,22,0.04106742646731527
10,2030,50,2,0.08247756221458626
10,2030,50,4,0.02085851558887438
10,2030,50,6,0.051931176221085715
10,2030,50,9,0.05189661657841886
10,2030,50,10,0.02757719452129347
10,2030,50,12,0.053287734289110884
10,2030,50,13,0.0501999011528044
10,2030,50,14,0.015196307091979715
10,2030,50,16,0.5661213571040044
10,2030,50,18,0.01859077564103194
10,2030,50,20,0.027955637110660025
10,2030,50,21,0.01313800383976913
10,2030,50,23,0.020769218646380906
10,2030,51,2,0.1592699717277162
10,2030,51,3,0.03168842867360559
10,2030,51,16,0.5731428679153331
10,2030,51,22,0.23589873168334513
10,2030,52,2,0.27532054356596775
10,2030,52,16,0.6165584864208064
10,2030,52,22,0.1081209700132258
10,2030,53,2,0.29246463463421374
10,2030,53,16,0.6228711929610946
10,2030,53,22,0.08466417240469162
10,2030,54,2,0.23184035761801505
10,2030,54,16,0.6176673952916139
10,2030,54,22,0.15049224709037123
10,2030,55,2,0.2865002049473544
10,2030,55,9,0.0850682974268269
10,2030,55,13,0.04388852420625513
10,2030,55,15,0.10296108025981891
10,2030,55,16,0.38142232380662916
10,2030,55,20,0.028643653753396236
10,2030,55,22,0.04353181320884283
10,2030,55,23,0.027984102390876342
10,2030,56,2,0.42910274438095153
10,2030,56,16,0.32955821848294936
10,2030,56,22,0.24133903713609908
10,2030,57,2,0.2898243356502326
10,2030,57,9,0.17125767647195064
10,2030,57,15,0.04026190341175419
10,2030,57,16,0.34964068525267483
10,2030,57,20,0.05196272499984221
10,2030,57,23,0.0970526742135456
10,2030,58,2,0.5972311072362104
10,2030,58,16,0.3275790007387284
10,2030,58,22,0.07518989202506104
10,2030,59,2,0.47373864673264415
10,2030,59,16,0.32614159396014897
10,2030,59,17,0.04390880533534915
10,2030,59,20,0.13798015117364
10,2030,59,22,0.018230802798217715
10,2030,60,3,0.016373410331508936
10,2030,60,5,0.07544863128784318
10,2030,60,7,0.11368069531645138
10,2030,60,9,0.03525066901871246
10,2030,60,14,0.313052219305442
10,2030,60,15,0.06835866820343577
10,2030,60,16,0.11455044213643784
10,2030,60,17,0.034458114281872614
10,2030,60,19,0.04400907380122172
10,2030,60,22,0.18481807631707423
10,2030,61,7,0.19531884165703065
10,2030,61,9,0.10127307231936063
10,2030,61,16,0.04869259448243449
10,2030,61,20,0.21475898770980595
10,2030,61,23,0.43995650383136825
10,2030,62,1,0.0195457504240792
10,2030,62,2,0.011922998839462389
10,2030,62,3,0.1405576599750075
10,2030,62,5,0.1522846817599313
10,2030,62,14,0.06448844685875463
10,2030,62,16,0.16937201786900832
10,2030,62,17,0.30724452705853056
10,2030,62,22,0.13458391721522608
10,2030,63,2,0.1006422809719032
10,2030,63,4,0.06865451661841049
10,2030,63,6,0.015998889433635935
10,2030,63,7,0.1310400681086548
10,2030,63,14,0.024662210955607444
10,2030,63,16,0.1922777276061787
10,2030,63,20,0.03198684160108245
10,2030,63,22,0.40475273101724274
10,2030,63,23,0.02998473368728423
10,2030,64,2,0.13534806889840725
10,2030,64,9,0.11429899147709664
10,2030,64,10,0.04197880445798909
10,2030,64,16,0.3869779420339321
10,2030,64,20,0.07422348406567161
10,2030,64,22,0.15087508138750996
10,2030,64,23,0.09629762767939334
10,2030,65,2,0.24598421988711097
10,2030,65,3,0.01347908829804368
10,2030,65,16,0.39730191571668755
10,2030,65,20,0.07470443489041433
10,2030,65,22,0.22170738993071162
10,2030,65,23,0.04682295127703189
10,2030,66,1,0.09267640604900844
10,2030,66,2,0.11531638202574448
10,2030,66,16,0.24937788322799836
10,2030,66,22,0.07415801132174606
10,2030,66,23,0.4684713173755026
10,2030,67,2,0.4323456519192072
10,2030,67,16,0.4087341055112208
10,2030,67,20,0.012655598478662258
10,2030,67,22,0.14626464409090983
10,2030,68,9,0.07165588441309201
10,2030,68,15,0.09802313884185608
10,2030,68,16,0.289534613870355
10,2030,68,17,0.018849731677698742
10,2030,68,19,0.02173740242161769
10,2030,68,20,0.33182974789638087
10,2030,68,22,0.12402043356819624
10,2030,68,23,0.04434904731080331
10,2030,69,1,0.02615847000914217
10,2030,69,7,0.348635114577945
10,2030,69,8,0.4446450027667801
10,2030,69,11,0.031082257244757806
10,2030,69,13,0.045523025895768086
10,2030,69,15,0.02502943750232669
10,2030,69,19,0.0195177389928477
10,2030,69,23,0.05940895301043242
10,2030,70,1,0.11385676333004764
10,2030,70,7,0.186802693115605
10,2030,70,12,0.6993405435543474
10,2030,71,3,0.131198858601933
10,2030,71,5,0.30774627338297406
10,2030,71,6,0.046163843758712346
10,2030,71,10,0.011539990075281425
10,2030,71,16,0.08199624545738908
10,2030,71,20,0.05850074724452836
10,2030,71,21,0.3089427037081498
10,2030,71,22,0.05391133777103198
10,2030,72,1,0.14931313486153808
10,2030,72,4,0.12543084289081616
10,2030,72,7,0.20295946187099798
10,2030,72,11,0.22160633795395232
10,2030,72,18,0.010724657653477984
10,2030,72,19,0.2899655647692174
10,2030,73,1,0.10185726338579965
10,2030,73,7,0.24260828782202254
10,2030,73,11,0.07830993305246872
10,2030,73,12,0.5084602042576023
10,2030,73,17,0.013024467633591377
10,2030,73,19,0.04413364442602495
10,2030,73,24,0.011606199422490493
10,2030,74,1,0.3223345095121062
10,2030,74,5,0.024133085277324218
10,2030,74,8,0.032400341719753624
10,2030,74,10,0.014978847842626757
10,2030,74,12,0.5924268324358505
10,2030,74,18,0.013726383212338855
10,2030,75,1,0.12509407447737567
10,2030,75,3,0.1183752604315373
