id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.004597024173067513
2,electrolizer,2030,1,2,2,0.004597024173067513
3,electrolizer,2030,1,3,3,0.004597024173067513
4,electrolizer,2030,1,4,4,0.004597024173067513
5,electrolizer,2030,1,5,5,0.004597024173067513
6,electrolizer,2030,1,6,6,0.004597024173067513
7,electrolizer,2030,1,7,7,0.004597024173067513
8,electrolizer,2030,1,8,8,0.004597024173067513
9,electrolizer,2030,1,9,9,0.004597024173067513
10,electrolizer,2030,1,10,10,0.004597024173067513
11,electrolizer,2030,1,11,11,0.11492560432668784
12,electrolizer,2030,1,12,12,0.11492560432668784
13,electrolizer,2030,1,13,13,0.1149256043266878
14,electrolizer,2030,1,14,14,0.11492560432668784
15,electrolizer,2030,1,15,15,0.11492560432668784
16,electrolizer,2030,1,16,16,0.004597024173067513
17,electrolizer,2030,1,17,17,0.004597024173067513
18,electrolizer,2030,1,18,18,0.004597024173067513
19,electrolizer,2030,1,19,19,0.004597024173067513
20,electrolizer,2030,1,20,20,0.004597024173067513
21,electrolizer,2030,1,21,21,0.004597024173067513
22,electrolizer,2030,1,22,22,0.004597024173067513
23,electrolizer,2030,1,23,23,0.004597024173067513
24,electrolizer,2030,1,24,24,0.004597024173067513
25,electrolizer,2030,2,1,1,0.48425583347732537
26,electrolizer,2030,2,2,2,0.4842558334773256
27,electrolizer,2030,2,3,3,0.4842558334773256
28,electrolizer,2030,2,4,4,0.4842558334773256
29,electrolizer,2030,2,5,5,0.4842558334773256
30,electrolizer,2030,2,6,6,0.4842558334773256
31,electrolizer,2030,2,7,7,0.4842558334773256
32,electrolizer,2030,2,8,8,0.4842558334773256
33,electrolizer,2030,2,9,9,0.4842558334773256
34,electrolizer,2030,2,10,10,0.4842558334773256
35,electrolizer,2030,2,11,11,0.4842558334773256
36,electrolizer,2030,2,12,12,0.4842558334773256
37,electrolizer,2030,2,13,13,0.4842558334773256
38,electrolizer,2030,2,14,14,0.4842558334773256
39,electrolizer,2030,2,15,15,0.4842558334773256
40,electrolizer,2030,2,16,16,0.4842558334773256
41,electrolizer,2030,2,17,17,0.4842558334773256
42,electrolizer,2030,2,18,18,0.4842558334773256
43,electrolizer,2030,2,19,19,0.4842558334773256
44,electrolizer,2030,2,20,20,0.4842558334773256
45,electrolizer,2030,2,21,21,0.4842558334773256
46,electrolizer,2030,2,22,22,0.4842558334773256
47,electrolizer,2030,2,23,23,0.4842558334773256
48,electrolizer,2030,2,24,24,0.4842558334773256
