id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.005701247270027184
2,electrolizer,2030,1,2,2,0.005701247270027184
3,electrolizer,2030,1,3,3,0.005701247270027184
4,electrolizer,2030,1,4,4,0.005701247270027184
5,electrolizer,2030,1,5,5,0.005701247270027184
6,electrolizer,2030,1,6,6,0.005701247270027184
7,electrolizer,2030,1,7,7,0.005701247270027184
8,electrolizer,2030,1,8,8,0.005701247270027184
9,electrolizer,2030,1,9,9,0.14253118175067955
10,electrolizer,2030,1,10,10,0.14253118175067958
11,electrolizer,2030,1,11,11,0.14253118175067958
12,electrolizer,2030,1,12,12,0.14253118175067958
13,electrolizer,2030,1,13,13,0.14253118175067958
14,electrolizer,2030,1,14,14,0.14253118175067958
15,electrolizer,2030,1,15,15,0.14253118175067958
16,electrolizer,2030,1,16,16,0.14253118175067958
17,electrolizer,2030,1,17,17,0.14253118175067955
18,electrolizer,2030,1,18,18,0.14253118175067955
19,electrolizer,2030,1,19,19,0.14253118175067958
20,electrolizer,2030,1,20,20,0.14253118175067958
21,electrolizer,2030,1,21,21,0.14253118175067958
22,electrolizer,2030,1,22,22,0.005701247270027184
23,electrolizer,2030,1,23,23,0.005701247270027184
24,electrolizer,2030,1,24,24,0.005701247270027184
25,electrolizer,2030,2,1,1,0.5502081435642807
26,electrolizer,2030,2,2,2,0.550208143564281
27,electrolizer,2030,2,3,3,0.550208143564281
28,electrolizer,2030,2,4,4,0.550208143564281
29,electrolizer,2030,2,5,5,0.550208143564281
30,electrolizer,2030,2,6,6,0.550208143564281
31,electrolizer,2030,2,7,7,0.550208143564281
32,electrolizer,2030,2,8,8,0.5502081435642807
33,electrolizer,2030,2,9,9,0.5502081435642807
34,electrolizer,2030,2,10,10,0.5502081435642807
35,electrolizer,2030,2,11,11,0.5502081435642807
36,electrolizer,2030,2,12,12,0.5502081435642807
37,electrolizer,2030,2,13,13,0.5502081435642807
38,electrolizer,2030,2,14,14,0.5502081435642807
39,electrolizer,2030,2,15,15,0.550208143564281
40,electrolizer,2030,2,16,16,0.550208143564281
41,electrolizer,2030,2,17,17,0.550208143564281
42,electrolizer,2030,2,18,18,0.550208143564281
43,electrolizer,2030,2,19,19,0.550208143564281
44,electrolizer,2030,2,20,20,0.550208143564281
45,electrolizer,2030,2,21,21,0.550208143564281
46,electrolizer,2030,2,22,22,0.550208143564281
47,electrolizer,2030,2,23,23,0.550208143564281
48,electrolizer,2030,2,24,24,0.550208143564281
49,electrolizer,2030,3,1,1,0.10333916455593793
50,electrolizer,2030,3,2,2,0.10333916455593793
51,electrolizer,2030,3,3,3,0.10333916455593797
52,electrolizer,2030,3,4,4,0.10333916455593797
53,electrolizer,2030,3,5,5,0.10333916455593797
54,electrolizer,2030,3,6,6,0.10333916455593797
55,electrolizer,2030,3,7,7,0.10333916455593797
56,electrolizer,2030,3,8,8,0.10333916455593797
57,electrolizer,2030,3,9,9,0.10333916455593797
58,electrolizer,2030,3,10,10,0.10333916455593797
59,electrolizer,2030,3,11,11,0.10333916455593797
60,electrolizer,2030,3,12,12,0.10333916455593797
61,electrolizer,2030,3,13,13,0.10333916455593797
62,electrolizer,2030,3,14,14,0.10333916455593797
63,electrolizer,2030,3,15,15,0.10333916455593797
64,electrolizer,2030,3,16,16,0.10333916455593797
65,electrolizer,2030,3,17,17,0.10333916455593797
66,electrolizer,2030,3,18,18,0.10333916455593797
67,electrolizer,2030,3,19,19,0.10333916455593797
68,electrolizer,2030,3,20,20,0.10333916455593797
69,electrolizer,2030,3,21,21,0.10333916455593797
70,electrolizer,2030,3,22,22,0.10333916455593797
71,electrolizer,2030,3,23,23,0.10333916455593797
72,electrolizer,2030,3,24,24,0.10333916455593797
73,electrolizer,2030,4,1,1,0.06370181793639702
74,electrolizer,2030,4,2,2,0.06370181793639702
75,electrolizer,2030,4,3,3,0.06370181793639702
76,electrolizer,2030,4,4,4,0.06370181793639702
77,electrolizer,2030,4,5,5,0.06370181793639702
78,electrolizer,2030,4,6,6,0.06370181793639702
79,electrolizer,2030,4,7,7,0.06370181793639702
80,electrolizer,2030,4,8,8,0.06370181793639702
81,electrolizer,2030,4,9,9,0.06370181793639702
82,electrolizer,2030,4,10,10,0.06370181793639702
83,electrolizer,2030,4,11,11,0.06370181793639702
84,electrolizer,2030,4,12,12,0.06370181793639702
85,electrolizer,2030,4,13,13,0.06370181793639702
86,electrolizer,2030,4,14,14,0.06370181793639702
87,electrolizer,2030,4,15,15,0.06370181793639702
88,electrolizer,2030,4,16,16,0.06370181793639702
89,electrolizer,2030,4,17,17,0.06370181793639702
90,electrolizer,2030,4,18,18,0.06370181793639702
91,electrolizer,2030,4,19,19,0.06370181793639702
92,electrolizer,2030,4,20,20,0.06370181793639702
93,electrolizer,2030,4,21,21,0.06370181793639702
94,electrolizer,2030,4,22,22,0.06370181793639702
95,electrolizer,2030,4,23,23,0.06370181793639702
96,electrolizer,2030,4,24,24,0.06370181793639702
97,electrolizer,2030,5,1,1,0.05765187060581951
