id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.20717823193305973
2,h2_storage,2030,1,2,2,,-0.20717823193305973
3,h2_storage,2030,1,3,3,,-0.20717823193305973
4,h2_storage,2030,1,4,4,,-0.20717823193305973
5,h2_storage,2030,1,5,5,,-0.20717823193305973
6,h2_storage,2030,1,6,6,,-0.20717823193305973
7,h2_storage,2030,1,7,7,,-0.20717823193305973
8,h2_storage,2030,1,8,8,,-0.20717823193305973
9,h2_storage,2030,1,9,9,,-0.20717823193305973
10,h2_storage,2030,1,10,10,,-0.20717823193305973
11,h2_storage,2030,1,11,11,,-0.20717823193305973
12,h2_storage,2030,1,12,12,,-0.20717823193305973
13,h2_storage,2030,1,13,13,,-0.20717823193305973
14,h2_storage,2030,1,14,14,,-0.20717823193305973
15,h2_storage,2030,1,15,15,,-0.20717823193305973
16,h2_storage,2030,1,16,16,,-0.20717823193305973
17,h2_storage,2030,1,17,17,,-0.20717823193305973
18,h2_storage,2030,1,18,18,,-0.20717823193305973
19,h2_storage,2030,1,19,19,,-0.20717823193305973
20,h2_storage,2030,1,20,20,,-0.20717823193305973
21,h2_storage,2030,1,21,21,,-0.20717823193305973
22,h2_storage,2030,1,22,22,,-0.20717823193305973
23,h2_storage,2030,1,23,23,,-0.20717823193305973
24,h2_storage,2030,1,24,24,,-0.20717823193305973
25,h2_storage,2030,2,1,1,,-0.5956110917329887
26,h2_storage,2030,2,2,2,,-0.5956110917329887
27,h2_storage,2030,2,3,3,,-0.5956110917329887
28,h2_storage,2030,2,4,4,,-0.5956110917329887
29,h2_storage,2030,2,5,5,,-0.5956110917329887
30,h2_storage,2030,2,6,6,,-0.5956110917329887
31,h2_storage,2030,2,7,7,,-0.5956110917329887
32,h2_storage,2030,2,8,8,,-0.5956110917329887
33,h2_storage,2030,2,9,9,,-0.5956110917329887
34,h2_storage,2030,2,10,10,,-0.5956110917329887
35,h2_storage,2030,2,11,11,,-0.5956110917329887
36,h2_storage,2030,2,12,12,,-0.5956110917329887
37,h2_storage,2030,2,13,13,,-0.5956110917329887
38,h2_storage,2030,2,14,14,,-0.5956110917329887
39,h2_storage,2030,2,15,15,,-0.5956110917329887
40,h2_storage,2030,2,16,16,,-0.5956110917329887
41,h2_storage,2030,2,17,17,,-0.5956110917329887
42,h2_storage,2030,2,18,18,,-0.5956110917329887
43,h2_storage,2030,2,19,19,,-0.5956110917329887
44,h2_storage,2030,2,20,20,,-0.5956110917329887
45,h2_storage,2030,2,21,21,,-0.5956110917329887
46,h2_storage,2030,2,22,22,,-0.5956110917329887
47,h2_storage,2030,2,23,23,,-0.5956110917329887
48,h2_storage,2030,2,24,24,,-0.5956110917329887
49,h2_storage,2030,3,1,1,,-0.059124813242774577
50,h2_storage,2030,3,2,2,,-0.059124813242774577
51,h2_storage,2030,3,3,3,,-0.059124813242774577
52,h2_storage,2030,3,4,4,,-0.059124813242774577
53,h2_storage,2030,3,5,5,,-0.059124813242774577
54,h2_storage,2030,3,6,6,,-0.059124813242774577
55,h2_storage,2030,3,7,7,,-0.059124813242774577
56,h2_storage,2030,3,8,8,,-0.059124813242774577
57,h2_storage,2030,3,9,9,,-0.059124813242774577
58,h2_storage,2030,3,10,10,,-0.059124813242774577
59,h2_storage,2030,3,11,11,,-0.059124813242774577
60,h2_storage,2030,3,12,12,,-0.059124813242774577
61,h2_storage,2030,3,13,13,,-0.059124813242774577
62,h2_storage,2030,3,14,14,,-0.059124813242774577
63,h2_storage,2030,3,15,15,,-0.059124813242774577
64,h2_storage,2030,3,16,16,,-0.059124813242774577
65,h2_storage,2030,3,17,17,,-0.059124813242774577
66,h2_storage,2030,3,18,18,,-0.059124813242774577
67,h2_storage,2030,3,19,19,,-0.059124813242774577
68,h2_storage,2030,3,20,20,,-0.059124813242774577
69,h2_storage,2030,3,21,21,,-0.059124813242774577
70,h2_storage,2030,3,22,22,,-0.059124813242774577
71,h2_storage,2030,3,23,23,,-0.059124813242774577
72,h2_storage,2030,3,24,24,,-0.059124813242774577
73,h2_storage,2030,4,1,1,,-0.08785415062863723
74,h2_storage,2030,4,2,2,,-0.08785415062863723
75,h2_storage,2030,4,3,3,,-0.08785415062863723
76,h2_storage,2030,4,4,4,,-0.08785415062863723
77,h2_storage,2030,4,5,5,,-0.08785415062863723
78,h2_storage,2030,4,6,6,,-0.08785415062863723
79,h2_storage,2030,4,7,7,,-0.08785415062863723
80,h2_storage,2030,4,8,8,,-0.08785415062863723
81,h2_storage,2030,4,9,9,,-0.08785415062863723
82,h2_storage,2030,4,10,10,,-0.08785415062863723
83,h2_storage,2030,4,11,11,,-0.08785415062863723
84,h2_storage,2030,4,12,12,,-0.08785415062863723
85,h2_storage,2030,4,13,13,,-0.08785415062863723
86,h2_storage,2030,4,14,14,,-0.08785415062863723
87,h2_storage,2030,4,15,15,,-0.08785415062863723
88,h2_storage,2030,4,16,16,,-0.08785415062863723
89,h2_storage,2030,4,17,17,,-0.08785415062863723
90,h2_storage,2030,4,18,18,,-0.08785415062863723
91,h2_storage,2030,4,19,19,,-0.08785415062863723
92,h2_storage,2030,4,20,20,,-0.08785415062863723
93,h2_storage,2030,4,21,21,,-0.08785415062863723
94,h2_storage,2030,4,22,22,,-0.08785415062863723
95,h2_storage,2030,4,23,23,,-0.08785415062863723
96,h2_storage,2030,4,24,24,,-0.08785415062863723
97,h2_storage,2030,5,1,1,,-0.043225430736089955
98,h2_storage,2030,5,2,2,,-0.043225430736089955
99,h2_storage,2030,5,3,3,,-0.043225430736089955
100,h2_storage,2030,5,4,4,,-0.043225430736089955
101,h2_storage,2030,5,5,5,,-0.043225430736089955
102,h2_storage,2030,5,6,6,,-0.043225430736089955
103,h2_storage,2030,5,7,7,,-0.043225430736089955
104,h2_storage,2030,5,8,8,,-0.043225430736089955
105,h2_storage,2030,5,9,9,,-0.043225430736089955
