id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.15871976960235523
2,electrolizer,2030,1,2,2,0.15871976960235523
3,electrolizer,2030,1,3,3,0.15871976960235523
4,electrolizer,2030,1,4,4,0.15871976960235523
5,electrolizer,2030,1,5,5,0.15871976960235523
6,electrolizer,2030,1,6,6,0.15871976960235523
7,electrolizer,2030,1,7,7,0.15871976960235523
8,electrolizer,2030,1,8,8,0.15871976960235523
9,electrolizer,2030,1,9,9,0.15871976960235523
10,electrolizer,2030,1,10,10,0.15871976960235523
11,electrolizer,2030,1,11,11,0.15871976960235523
12,electrolizer,2030,1,12,12,0.15871976960235523
13,electrolizer,2030,1,13,13,0.15871976960235523
14,electrolizer,2030,1,14,14,0.15871976960235523
15,electrolizer,2030,1,15,15,0.15871976960235523
16,electrolizer,2030,1,16,16,0.15871976960235523
17,electrolizer,2030,1,17,17,0.15871976960235523
18,electrolizer,2030,1,18,18,0.15871976960235523
19,electrolizer,2030,1,19,19,0.15871976960235523
20,electrolizer,2030,1,20,20,0.15871976960235523
21,electrolizer,2030,1,21,21,0.15871976960235523
22,electrolizer,2030,1,22,22,0.15871976960235523
23,electrolizer,2030,1,23,23,0.15871976960235523
24,electrolizer,2030,1,24,24,0.15871976960235523
25,electrolizer,2030,2,1,1,0.3885331233617926
26,electrolizer,2030,2,2,2,0.3885331233617926
27,electrolizer,2030,2,3,3,0.3885331233617926
28,electrolizer,2030,2,4,4,0.3885331233617926
29,electrolizer,2030,2,5,5,0.3885331233617926
30,electrolizer,2030,2,6,6,0.3885331233617926
31,electrolizer,2030,2,7,7,0.3885331233617926
32,electrolizer,2030,2,8,8,0.3885331233617926
33,electrolizer,2030,2,9,9,0.3885331233617927
34,electrolizer,2030,2,10,10,0.3885331233617927
35,electrolizer,2030,2,11,11,0.3885331233617927
36,electrolizer,2030,2,12,12,0.3885331233617927
37,electrolizer,2030,2,13,13,0.3885331233617927
38,electrolizer,2030,2,14,14,0.3885331233617927
39,electrolizer,2030,2,15,15,0.3885331233617927
40,electrolizer,2030,2,16,16,0.3885331233617926
41,electrolizer,2030,2,17,17,0.3885331233617926
42,electrolizer,2030,2,18,18,0.3885331233617926
43,electrolizer,2030,2,19,19,0.3885331233617927
44,electrolizer,2030,2,20,20,0.3885331233617927
45,electrolizer,2030,2,21,21,0.3885331233617927
46,electrolizer,2030,2,22,22,0.3885331233617927
47,electrolizer,2030,2,23,23,0.3885331233617927
48,electrolizer,2030,2,24,24,0.3885331233617927
49,electrolizer,2030,3,1,1,0.038431128607803476
50,electrolizer,2030,3,2,2,0.038431128607803476
51,electrolizer,2030,3,3,3,0.038431128607803476
52,electrolizer,2030,3,4,4,0.038431128607803476
53,electrolizer,2030,3,5,5,0.038431128607803476
54,electrolizer,2030,3,6,6,0.038431128607803476
55,electrolizer,2030,3,7,7,0.03843112860780347
56,electrolizer,2030,3,8,8,0.038431128607803476
57,electrolizer,2030,3,9,9,0.03843112860780347
58,electrolizer,2030,3,10,10,0.03843112860780347
59,electrolizer,2030,3,11,11,0.038431128607803476
60,electrolizer,2030,3,12,12,0.038431128607803476
61,electrolizer,2030,3,13,13,0.038431128607803476
62,electrolizer,2030,3,14,14,0.038431128607803476
63,electrolizer,2030,3,15,15,0.038431128607803476
64,electrolizer,2030,3,16,16,0.038431128607803476
65,electrolizer,2030,3,17,17,0.038431128607803476
66,electrolizer,2030,3,18,18,0.03843112860780347
67,electrolizer,2030,3,19,19,0.03843112860780347
68,electrolizer,2030,3,20,20,0.03843112860780347
69,electrolizer,2030,3,21,21,0.03843112860780347
70,electrolizer,2030,3,22,22,0.03843112860780347
71,electrolizer,2030,3,23,23,0.03843112860780347
72,electrolizer,2030,3,24,24,0.03843112860780347
73,electrolizer,2030,4,1,1,0.06452927386389994
74,electrolizer,2030,4,2,2,0.06452927386389996
75,electrolizer,2030,4,3,3,0.06452927386389996
76,electrolizer,2030,4,4,4,0.06452927386389996
77,electrolizer,2030,4,5,5,0.06452927386389996
78,electrolizer,2030,4,6,6,0.06452927386389996
79,electrolizer,2030,4,7,7,0.06452927386389996
80,electrolizer,2030,4,8,8,0.06452927386389996
81,electrolizer,2030,4,9,9,0.06452927386389996
82,electrolizer,2030,4,10,10,0.06452927386389996
83,electrolizer,2030,4,11,11,0.06452927386389996
84,electrolizer,2030,4,12,12,0.06452927386389996
85,electrolizer,2030,4,13,13,0.06452927386389996
86,electrolizer,2030,4,14,14,0.06452927386389996
87,electrolizer,2030,4,15,15,0.06452927386389996
88,electrolizer,2030,4,16,16,0.06452927386389996
89,electrolizer,2030,4,17,17,0.06452927386389996
90,electrolizer,2030,4,18,18,0.06452927386389996
91,electrolizer,2030,4,19,19,0.06452927386389996
92,electrolizer,2030,4,20,20,0.06452927386389996
93,electrolizer,2030,4,21,21,0.06452927386389996
94,electrolizer,2030,4,22,22,0.06452927386389996
95,electrolizer,2030,4,23,23,0.06452927386389996
96,electrolizer,2030,4,24,24,0.06452927386389996
97,electrolizer,2030,5,1,1,0.03563540264160882
98,electrolizer,2030,5,2,2,0.03563540264160882
99,electrolizer,2030,5,3,3,0.03563540264160882
100,electrolizer,2030,5,4,4,0.03563540264160882
101,electrolizer,2030,5,5,5,0.03563540264160882
102,electrolizer,2030,5,6,6,0.03563540264160882
103,electrolizer,2030,5,7,7,0.03563540264160882
104,electrolizer,2030,5,8,8,0.03563540264160882
105,electrolizer,2030,5,9,9,0.03563540264160882
106,electrolizer,2030,5,10,10,0.03563540264160882
107,electrolizer,2030,5,11,11,0.03563540264160882
108,electrolizer,2030,5,12,12,0.03563540264160882
109,electrolizer,2030,5,13,13,0.03563540264160882
110,electrolizer,2030,5,14,14,0.03563540264160882
111,electrolizer,2030,5,15,15,0.03563540264160882
112,electrolizer,2030,5,16,16,0.03563540264160882
113,electrolizer,2030,5,17,17,0.03563540264160882
114,electrolizer,2030,5,18,18,0.03563540264160882
115,electrolizer,2030,5,19,19,0.03563540264160882
116,electrolizer,2030,5,20,20,0.03563540264160882
117,electrolizer,2030,5,21,21,0.03563540264160882
118,electrolizer,2030,5,22,22,0.03563540264160882
119,electrolizer,2030,5,23,23,0.03563540264160882
120,electrolizer,2030,5,24,24,0.03563540264160882
121,electrolizer,2030,6,1,1,0.049548187421437004
122,electrolizer,2030,6,2,2,0.049548187421437
