id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.26181404399652297
2,h2_storage,2030,1,2,2,,-0.26181404399652297
3,h2_storage,2030,1,3,3,,-0.26181404399652297
4,h2_storage,2030,1,4,4,,-0.26181404399652297
5,h2_storage,2030,1,5,5,,-0.26181404399652297
6,h2_storage,2030,1,6,6,,-0.26181404399652297
7,h2_storage,2030,1,7,7,,-0.26181404399652297
8,h2_storage,2030,1,8,8,,-0.26181404399652297
9,h2_storage,2030,1,9,9,,-0.26181404399652297
10,h2_storage,2030,1,10,10,,-0.26181404399652297
11,h2_storage,2030,1,11,11,,-0.26181404399652297
12,h2_storage,2030,1,12,12,,-0.26181404399652297
13,h2_storage,2030,1,13,13,,-0.26181404399652297
14,h2_storage,2030,1,14,14,,-0.26181404399652297
15,h2_storage,2030,1,15,15,,-0.26181404399652297
16,h2_storage,2030,1,16,16,,-0.26181404399652297
17,h2_storage,2030,1,17,17,,-0.26181404399652297
18,h2_storage,2030,1,18,18,,-0.26181404399652297
19,h2_storage,2030,1,19,19,,-0.26181404399652297
20,h2_storage,2030,1,20,20,,-0.26181404399652297
21,h2_storage,2030,1,21,21,,-0.26181404399652297
22,h2_storage,2030,1,22,22,,-0.26181404399652297
23,h2_storage,2030,1,23,23,,-0.26181404399652297
24,h2_storage,2030,1,24,24,,-0.26181404399652297
25,h2_storage,2030,2,1,1,,-0.8100050289017557
26,h2_storage,2030,2,2,2,,-0.8100050289017557
27,h2_storage,2030,2,3,3,,-0.8100050289017557
28,h2_storage,2030,2,4,4,,-0.8100050289017557
29,h2_storage,2030,2,5,5,,-0.8100050289017557
30,h2_storage,2030,2,6,6,,-0.8100050289017557
31,h2_storage,2030,2,7,7,,-0.8100050289017557
32,h2_storage,2030,2,8,8,,-0.8100050289017557
33,h2_storage,2030,2,9,9,,-0.8100050289017557
34,h2_storage,2030,2,10,10,,-0.8100050289017557
35,h2_storage,2030,2,11,11,,-0.8100050289017557
36,h2_storage,2030,2,12,12,,-0.8100050289017557
37,h2_storage,2030,2,13,13,,-0.8100050289017557
38,h2_storage,2030,2,14,14,,-0.8100050289017557
39,h2_storage,2030,2,15,15,,-0.8100050289017557
40,h2_storage,2030,2,16,16,,-0.8100050289017557
41,h2_storage,2030,2,17,17,,-0.8100050289017557
42,h2_storage,2030,2,18,18,,-0.8100050289017557
43,h2_storage,2030,2,19,19,,-0.8100050289017557
44,h2_storage,2030,2,20,20,,-0.8100050289017557
45,h2_storage,2030,2,21,21,,-0.8100050289017557
46,h2_storage,2030,2,22,22,,-0.8100050289017557
47,h2_storage,2030,2,23,23,,-0.8100050289017557
48,h2_storage,2030,2,24,24,,-0.8100050289017557
49,h2_storage,2030,3,1,1,,-0.06979269831587825
50,h2_storage,2030,3,2,2,,-0.06979269831587825
51,h2_storage,2030,3,3,3,,-0.06979269831587825
