id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.114341914049134
2,electrolizer,2030,1,2,2,0.114341914049134
3,electrolizer,2030,1,3,3,0.114341914049134
4,electrolizer,2030,1,4,4,0.114341914049134
5,electrolizer,2030,1,5,5,0.114341914049134
6,electrolizer,2030,1,6,6,0.114341914049134
7,electrolizer,2030,1,7,7,0.114341914049134
8,electrolizer,2030,1,8,8,0.114341914049134
9,electrolizer,2030,1,9,9,0.114341914049134
10,electrolizer,2030,1,10,10,0.114341914049134
11,electrolizer,2030,1,11,11,0.114341914049134
12,electrolizer,2030,1,12,12,0.114341914049134
13,electrolizer,2030,1,13,13,0.114341914049134
14,electrolizer,2030,1,14,14,0.114341914049134
15,electrolizer,2030,1,15,15,0.114341914049134
16,electrolizer,2030,1,16,16,0.114341914049134
17,electrolizer,2030,1,17,17,0.114341914049134
18,electrolizer,2030,1,18,18,0.114341914049134
19,electrolizer,2030,1,19,19,0.114341914049134
20,electrolizer,2030,1,20,20,0.114341914049134
21,electrolizer,2030,1,21,21,0.114341914049134
22,electrolizer,2030,1,22,22,0.114341914049134
23,electrolizer,2030,1,23,23,0.114341914049134
24,electrolizer,2030,1,24,24,0.114341914049134
25,electrolizer,2030,2,1,1,0.35271232661198726
26,electrolizer,2030,2,2,2,0.35271232661198726
27,electrolizer,2030,2,3,3,0.35271232661198726
28,electrolizer,2030,2,4,4,0.35271232661198726
29,electrolizer,2030,2,5,5,0.35271232661198726
30,electrolizer,2030,2,6,6,0.35271232661198726
31,electrolizer,2030,2,7,7,0.35271232661198726
32,electrolizer,2030,2,8,8,0.35271232661198726
33,electrolizer,2030,2,9,9,0.35271232661198726
34,electrolizer,2030,2,10,10,0.35271232661198726
35,electrolizer,2030,2,11,11,0.35271232661198726
36,electrolizer,2030,2,12,12,0.35271232661198726
37,electrolizer,2030,2,13,13,1.1366409356481633
38,electrolizer,2030,2,14,14,0.35271232661198726
39,electrolizer,2030,2,15,15,0.35271232661198726
40,electrolizer,2030,2,16,16,0.35271232661198726
41,electrolizer,2030,2,17,17,0.35271232661198726
42,electrolizer,2030,2,18,18,0.35271232661198726
43,electrolizer,2030,2,19,19,0.35271232661198726
44,electrolizer,2030,2,20,20,0.35271232661198726
45,electrolizer,2030,2,21,21,0.35271232661198726
46,electrolizer,2030,2,22,22,0.35271232661198726
47,electrolizer,2030,2,23,23,0.35271232661198726
48,electrolizer,2030,2,24,24,0.35271232661198726
49,electrolizer,2030,3,1,1,0.03057655821808518
50,electrolizer,2030,3,2,2,0.03057655821808518
51,electrolizer,2030,3,3,3,0.03057655821808518
52,electrolizer,2030,3,4,4,0.03057655821808518
53,electrolizer,2030,3,5,5,0.03057655821808518
54,electrolizer,2030,3,6,6,0.03057655821808518
55,electrolizer,2030,3,7,7,0.03057655821808518
56,electrolizer,2030,3,8,8,0.03057655821808518
57,electrolizer,2030,3,9,9,0.03057655821808518
58,electrolizer,2030,3,10,10,0.03057655821808518
59,electrolizer,2030,3,11,11,0.03057655821808518
60,electrolizer,2030,3,12,12,0.03057655821808518
61,electrolizer,2030,3,13,13,0.03057655821808518
62,electrolizer,2030,3,14,14,0.03057655821808518
63,electrolizer,2030,3,15,15,0.03057655821808518
64,electrolizer,2030,3,16,16,0.03057655821808518
65,electrolizer,2030,3,17,17,0.03057655821808518
66,electrolizer,2030,3,18,18,0.03057655821808518
67,electrolizer,2030,3,19,19,0.03057655821808518
68,electrolizer,2030,3,20,20,0.03057655821808518
69,electrolizer,2030,3,21,21,0.03057655821808518
70,electrolizer,2030,3,22,22,0.03057655821808518
71,electrolizer,2030,3,23,23,0.03057655821808518
72,electrolizer,2030,3,24,24,0.03057655821808518
73,electrolizer,2030,4,1,1,0.03185292670486259
74,electrolizer,2030,4,2,2,0.03185292670486259
75,electrolizer,2030,4,3,3,0.03185292670486259
76,electrolizer,2030,4,4,4,0.03185292670486259
77,electrolizer,2030,4,5,5,0.03185292670486259
78,electrolizer,2030,4,6,6,0.03185292670486259
79,electrolizer,2030,4,7,7,0.03185292670486259
80,electrolizer,2030,4,8,8,0.03185292670486259
81,electrolizer,2030,4,9,9,0.10264835584489287
82,electrolizer,2030,4,10,10,0.03185292670486259
83,electrolizer,2030,4,11,11,0.03185292670486259
84,electrolizer,2030,4,12,12,0.03185292670486259
85,electrolizer,2030,4,13,13,0.10264835584489287
86,electrolizer,2030,4,14,14,0.10264835584489287
87,electrolizer,2030,4,15,15,0.10264835584489287
88,electrolizer,2030,4,16,16,0.10264835584489287
89,electrolizer,2030,4,17,17,0.10264835584489287
90,electrolizer,2030,4,18,18,0.10264835584489287
91,electrolizer,2030,4,19,19,0.10264835584489287
