scenario,milestone_year,period,rep_period,weight
10,2030,1,1,0.3701932359866953
10,2030,1,5,0.11066749405890762
10,2030,1,11,0.3867053655745525
10,2030,1,18,0.13243390437984462
10,2030,2,1,0.5973160773213855
10,2030,2,8,0.04707731359148315
10,2030,2,11,0.11756884874577317
10,2030,2,14,0.07668332265126825
10,2030,2,20,0.1613544376900899
10,2030,3,1,0.5738416108943398
10,2030,3,11,0.25089380283422885
10,2030,3,20,0.17526458627143127
10,2030,4,1,0.6181978145822036
10,2030,4,11,0.07362144382123717
10,2030,4,14,0.1525342051581743
10,2030,4,20,0.15564653643838497
10,2030,5,1,0.6059902097360936
10,2030,5,6,0.022071139735327355
10,2030,5,8,0.17321652253137346
10,2030,5,11,0.07007381313272033
10,2030,5,20,0.11134728325116462
10,2030,5,24,0.01730103161332072
10,2030,6,1,0.4503335841325903
10,2030,6,3,0.15779353779347724
10,2030,6,5,0.11046677259646047
10,2030,6,11,0.2631818398483501
10,2030,6,12,0.018224265629121758
10,2030,7,1,0.4165393840594101
10,2030,7,6,0.10928479047967211
10,2030,7,8,0.47417582546091774
10,2030,8,1,0.19563635140520164
10,2030,8,5,0.31570137327057496
10,2030,8,12,0.24287021919019353
10,2030,8,16,0.10150743659201265
10,2030,8,18,0.14428461954201713
10,2030,9,1,0.20834726929507924
10,2030,9,4,0.29275184905068335
10,2030,9,8,0.23664945771910864
10,2030,9,15,0.2622514239351287
10,2030,10,1,0.2606264115777296
10,2030,10,5,0.5285353305070294
10,2030,10,18,0.21083825791524108
10,2030,11,1,0.3775023028600857
10,2030,11,5,0.17900155833793488
10,2030,11,8,0.3627893868749577
10,2030,11,18,0.08070675192702177
10,2030,12,1,0.8607927747279688
10,2030,12,10,0.026382328964110142
10,2030,12,18,0.11282489630792114
10,2030,13,1,0.8007227987994876
10,2030,13,4,0.08198904341275753
10,2030,13,8,0.03675028962523648
10,2030,13,15,0.08053786816251836
10,2030,14,1,0.7300829154838668
10,2030,14,3,0.15545869228088857
10,2030,14,5,0.09530028905480166
10,2030,14,12,0.01915810318044288
10,2030,15,1,0.809748857211845
10,2030,15,9,0.06159176198577364
10,2030,15,15,0.04740909267542998
10,2030,15,16,0.013060705826079037
10,2030,15,19,0.029810058217645517
10,2030,15,21,0.026928467793108934
10,2030,15,23,0.011451056290117868
10,2030,16,1,1.0
10,2030,17,1,0.9013672957049658
10,2030,17,3,0.04069376806498606
10,2030,17,5,0.024427361423915425
10,2030,17,12,0.018007652218216014
10,2030,17,18,0.015503922587916705
10,2030,18,1,0.738073780770709
10,2030,18,4,0.07715103045565926
10,2030,18,6,0.038282643697594494
10,2030,18,8,0.11263941284529898
10,2030,18,15,0.010308831973707426
10,2030,18,18,0.02354430025703087
10,2030,19,1,0.2908038986785949
10,2030,19,4,0.20785847875822755
10,2030,19,8,0.4372562255598621
10,2030,19,15,0.06408139700331551
10,2030,20,1,0.3273797951908761
