id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.05926815925055351
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.04088209889645267
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.02222492738138948
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.021277887006006746
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.02059654144455858
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.044175899961692466
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.12564007720716175
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.12469140968567849
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.2886378590879537
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.3291350145415597
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.3321824497119535
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.3315536164799981
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.30220369711487294
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.3130683502654062
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.32342431264332083
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.3357991983265963
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.34534103537623895
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.35043843472882774
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.3230271557759836
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.2855203729243333
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.23567660974470783
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.19066769731169697
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.1493000233702768
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.26229682057533177
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.9014623891235518
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.9081351972117067
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.9107759300621298
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.9096786930068983
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.9073903825417743
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.9091516196447497
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.9117280042413116
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.9113325857412895
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.9109107380391775
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.9059156740813777
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.9059486953135666
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.900013843678871
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.8944135426778714
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.8876691256548586
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.8752950637815624
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.8687950786101042
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.8666109052768307
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.8762311442144382
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.8860215257963427
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.9041657291287677
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.9081592699360461
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.8986658460519933
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.8766011042978666
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.8402207288684126
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.0027551004199737584
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.009575843139161223
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.018123990089919537
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.025886376193813856
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.02860268231703939
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.031264676424817416
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.024770511149164984
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.00494662551082334
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615385
122,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615385
123,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615385
124,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615385
125,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615385
126,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15384615384615385
127,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.15384615384615385
128,e_demand,electrolizer,2030,1,1.0,1.0,8,8,0.15384615384615385
129,e_demand,electrolizer,2030,1,1.0,1.0,9,9,0.15384615384615385
130,e_demand,electrolizer,2030,1,1.0,1.0,10,10,0.15384615384615385
131,e_demand,electrolizer,2030,1,1.0,1.0,11,11,0.15384615384615385
132,e_demand,electrolizer,2030,1,1.0,1.0,12,12,0.15384615384615385
133,e_demand,electrolizer,2030,1,1.0,1.0,13,13,0.15384615384615385
134,e_demand,electrolizer,2030,1,1.0,1.0,14,14,0.15384615384615385
135,e_demand,electrolizer,2030,1,1.0,1.0,15,15,0.15384615384615385
136,e_demand,electrolizer,2030,1,1.0,1.0,16,16,0.15384615384615385
137,e_demand,electrolizer,2030,1,1.0,1.0,17,17,0.15384615384615385
138,e_demand,electrolizer,2030,1,1.0,1.0,18,18,0.15384615384615385
139,e_demand,electrolizer,2030,1,1.0,1.0,19,19,0.15384615384615385
140,e_demand,electrolizer,2030,1,1.0,1.0,20,20,0.15384615384615385
141,e_demand,electrolizer,2030,1,1.0,1.0,21,21,0.15384615384615385
142,e_demand,electrolizer,2030,1,1.0,1.0,22,22,0.15384615384615385
143,e_demand,electrolizer,2030,1,1.0,1.0,23,23,0.15384615384615385
144,e_demand,electrolizer,2030,1,1.0,1.0,24,24,0.15384615384615385
145,smr_ccs,h2_demand,2030,1,1.0,1.0,1,1,0.0
146,smr_ccs,h2_demand,2030,1,1.0,1.0,2,2,0.0
147,smr_ccs,h2_demand,2030,1,1.0,1.0,3,3,0.0
