id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.09264526813794173
2,h2_storage,2030,1,2,2,,-0.09264526813794173
3,h2_storage,2030,1,3,3,,-0.09264526813794173
4,h2_storage,2030,1,4,4,,-0.09264526813794173
5,h2_storage,2030,1,5,5,,-0.09264526813794173
6,h2_storage,2030,1,6,6,,-0.09264526813794173
7,h2_storage,2030,1,7,7,,-0.09264526813794173
8,h2_storage,2030,1,8,8,,-0.09264526813794173
9,h2_storage,2030,1,9,9,,-0.09264526813794173
10,h2_storage,2030,1,10,10,,-0.09264526813794173
11,h2_storage,2030,1,11,11,,-0.09264526813794173
12,h2_storage,2030,1,12,12,,-0.09264526813794173
13,h2_storage,2030,1,13,13,,-0.09264526813794173
14,h2_storage,2030,1,14,14,,-0.09264526813794173
15,h2_storage,2030,1,15,15,,-0.09264526813794173
16,h2_storage,2030,1,16,16,,-0.09264526813794173
17,h2_storage,2030,1,17,17,,-0.09264526813794173
18,h2_storage,2030,1,18,18,,-0.09264526813794173
19,h2_storage,2030,1,19,19,,-0.09264526813794173
20,h2_storage,2030,1,20,20,,-0.09264526813794173
21,h2_storage,2030,1,21,21,,-0.09264526813794173
22,h2_storage,2030,1,22,22,,-0.09264526813794173
23,h2_storage,2030,1,23,23,,-0.09264526813794173
24,h2_storage,2030,1,24,24,,-0.09264526813794173
25,h2_storage,2030,2,1,1,,-0.357635293316782
26,h2_storage,2030,2,2,2,,-0.357635293316782
27,h2_storage,2030,2,3,3,,-0.357635293316782
28,h2_storage,2030,2,4,4,,-0.357635293316782
29,h2_storage,2030,2,5,5,,-0.357635293316782
30,h2_storage,2030,2,6,6,,-0.357635293316782
31,h2_storage,2030,2,7,7,,-0.357635293316782
32,h2_storage,2030,2,8,8,,-0.357635293316782
33,h2_storage,2030,2,9,9,,-0.357635293316782
34,h2_storage,2030,2,10,10,,-0.357635293316782
35,h2_storage,2030,2,11,11,,-0.357635293316782
36,h2_storage,2030,2,12,12,,-0.357635293316782
37,h2_storage,2030,2,13,13,,-0.357635293316782
38,h2_storage,2030,2,14,14,,-0.357635293316782
39,h2_storage,2030,2,15,15,,-0.357635293316782
40,h2_storage,2030,2,16,16,,-0.357635293316782
41,h2_storage,2030,2,17,17,,-0.357635293316782
42,h2_storage,2030,2,18,18,,-0.357635293316782
43,h2_storage,2030,2,19,19,,-0.357635293316782
44,h2_storage,2030,2,20,20,,-0.357635293316782
45,h2_storage,2030,2,21,21,,-0.357635293316782
46,h2_storage,2030,2,22,22,,-0.357635293316782
47,h2_storage,2030,2,23,23,,-0.357635293316782
48,h2_storage,2030,2,24,24,,-0.357635293316782
49,h2_storage,2030,3,1,1,,-0.06717045696135951
50,h2_storage,2030,3,2,2,,-0.06717045696135951
51,h2_storage,2030,3,3,3,,-0.06717045696135951
52,h2_storage,2030,3,4,4,,-0.06717045696135951
53,h2_storage,2030,3,5,5,,-0.06717045696135951
54,h2_storage,2030,3,6,6,,-0.06717045696135951
55,h2_storage,2030,3,7,7,,-0.06717045696135951
56,h2_storage,2030,3,8,8,,-0.06717045696135951
57,h2_storage,2030,3,9,9,,-0.06717045696135951
58,h2_storage,2030,3,10,10,,-0.06717045696135951
59,h2_storage,2030,3,11,11,,-0.06717045696135951
60,h2_storage,2030,3,12,12,,-0.06717045696135951
61,h2_storage,2030,3,13,13,,-0.06717045696135951
62,h2_storage,2030,3,14,14,,-0.06717045696135951
63,h2_storage,2030,3,15,15,,-0.06717045696135951
64,h2_storage,2030,3,16,16,,-0.06717045696135951
65,h2_storage,2030,3,17,17,,-0.06717045696135951
66,h2_storage,2030,3,18,18,,-0.06717045696135951
67,h2_storage,2030,3,19,19,,-0.06717045696135951
68,h2_storage,2030,3,20,20,,-0.06717045696135951
69,h2_storage,2030,3,21,21,,-0.06717045696135951
70,h2_storage,2030,3,22,22,,-0.06717045696135951
71,h2_storage,2030,3,23,23,,-0.06717045696135951
72,h2_storage,2030,3,24,24,,-0.06717045696135951
73,h2_storage,2030,4,1,1,,-0.04140618165865808
74,h2_storage,2030,4,2,2,,-0.04140618165865808
75,h2_storage,2030,4,3,3,,-0.04140618165865808
76,h2_storage,2030,4,4,4,,-0.04140618165865808
77,h2_storage,2030,4,5,5,,-0.04140618165865808
78,h2_storage,2030,4,6,6,,-0.04140618165865808
79,h2_storage,2030,4,7,7,,-0.04140618165865808
80,h2_storage,2030,4,8,8,,-0.04140618165865808
81,h2_storage,2030,4,9,9,,-0.04140618165865808
82,h2_storage,2030,4,10,10,,-0.04140618165865808
83,h2_storage,2030,4,11,11,,-0.04140618165865808
84,h2_storage,2030,4,12,12,,-0.04140618165865808
85,h2_storage,2030,4,13,13,,-0.04140618165865808
86,h2_storage,2030,4,14,14,,-0.04140618165865808
