scenario,milestone_year,period,rep_period,weight
5,2030,1,1,0.5450377520708124
5,2030,1,4,0.042487269927289864
5,2030,1,18,0.023104822009060073
5,2030,1,23,0.3893701559928376
5,2030,2,1,0.540299058126092
5,2030,2,4,0.21489974246514856
5,2030,2,20,0.24480119940875944
5,2030,3,1,0.880831397288396
5,2030,3,6,0.05826578739876787
5,2030,3,8,0.02069243806911441
5,2030,3,17,0.040210377243721666
5,2030,4,1,0.4116561348158551
5,2030,4,4,0.08210679567605575
5,2030,4,9,0.025843701399373874
5,2030,4,18,0.05503311691583987
5,2030,4,20,0.4253602511928753
5,2030,5,4,0.17301314873140514
5,2030,5,9,0.7145984330662641
5,2030,5,18,0.11238841820233071
5,2030,6,4,0.049128507925636195
5,2030,6,9,0.39883034429408665
5,2030,6,14,0.5362726455045392
5,2030,6,23,0.01576850227573795
5,2030,7,4,0.11346258330791739
5,2030,7,6,0.014637290397104595
5,2030,7,9,0.6749226469577715
5,2030,7,18,0.14088603959221543
5,2030,7,20,0.04002130754477839
5,2030,7,23,0.016070132200212663
5,2030,8,6,0.5122721270088204
5,2030,8,9,0.045655937171406834
5,2030,8,14,0.3563344560784957
5,2030,8,20,0.08573747974127714
5,2030,9,6,0.07229137962938631
5,2030,9,9,0.40648440805369523
5,2030,9,10,0.025057803243017394
5,2030,9,18,0.496166409073901
5,2030,10,9,1.0
5,2030,11,6,0.40035773174999817
5,2030,11,8,0.0350936998956375
5,2030,11,14,0.5645485683543644
5,2030,12,4,0.1773716983604321
5,2030,12,6,0.47122634133096103
5,2030,12,18,0.09670762894777002
5,2030,12,20,0.2546943313608369
5,2030,13,6,0.18501547936476376
5,2030,13,9,0.6232128961384861
5,2030,13,14,0.02838683425867468
5,2030,13,18,0.06831033298855692
5,2030,13,20,0.09507445724951848
5,2030,14,6,0.038422217475817116
5,2030,14,9,0.7497546012502915
5,2030,14,10,0.04627425143668538
5,2030,14,14,0.059664274151525955
5,2030,14,20,0.057986489667896934
5,2030,14,23,0.04789816601778316
5,2030,15,4,0.017824363958287206
5,2030,15,6,0.21920693538995806
5,2030,15,9,0.6410012278733458
5,2030,15,10,0.019126946552530083
5,2030,15,20,0.10284052622587891
5,2030,16,6,0.10489785102993554
5,2030,16,9,0.6686324934443756
5,2030,16,10,0.06902256875760124
5,2030,16,14,0.0758049641398119
5,2030,16,20,0.048943909995880254
5,2030,16,23,0.032698212632395585
5,2030,17,6,1.0
5,2030,18,4,0.11898731220120436
5,2030,18,6,0.4135985123758311
5,2030,18,18,0.14367043197413626
5,2030,18,20,0.23914150110204888
5,2030,18,23,0.08460224234677949
5,2030,19,1,0.5569856757964714
5,2030,19,6,0.4089211360846682
5,2030,19,7,0.010428059195937417
5,2030,19,16,0.023665128922923113
5,2030,20,1,1.0
5,2030,21,1,0.5406613914886634
5,2030,21,6,0.2731995167283407
5,2030,21,8,0.18613909178299587
5,2030,22,1,1.0
5,2030,23,1,0.2924262761146383
5,2030,23,4,0.5625682034949248
5,2030,23,20,0.14500552039043704
5,2030,24,23,1.0
5,2030,25,1,0.7662559818951894
5,2030,25,5,0.06979237693319103
5,2030,25,11,0.03968273640613281
5,2030,25,15,0.1242689047654869
5,2030,26,1,0.5715370556059206
5,2030,26,11,0.05873177979911222
5,2030,26,20,0.2150954679331253
5,2030,26,22,0.15463569666184185
5,2030,27,4,0.014923398487257069
5,2030,27,9,0.5220335843106719
5,2030,27,10,0.10972929121886568
5,2030,27,16,0.09619344884364311
5,2030,27,20,0.10469969370281206
5,2030,27,23,0.12753601819553398
5,2030,27,24,0.024884565241216215
5,2030,28,1,0.04648598473825055
5,2030,28,6,0.1389748000280976
5,2030,28,8,0.6043432491868338
5,2030,28,10,0.08407865930165383
5,2030,28,14,0.12611730674516436
5,2030,29,4,1.0
5,2030,30,2,0.03360934697612637
5,2030,30,6,0.04553640274037406
5,2030,30,8,0.02633646407190047
5,2030,30,9,0.2930996327941957
5,2030,30,11,0.0475313907351681
5,2030,30,12,0.31809951696391126
5,2030,30,14,0.14587980850564902
5,2030,30,19,0.019506831177093197
5,2030,30,20,0.07040060603558185
5,2030,31,1,0.03580689730746173
5,2030,31,4,0.1295583037710719
5,2030,31,10,0.01178988094909737
5,2030,31,14,0.5259509103492719
5,2030,31,15,0.032021741913447706
5,2030,31,23,0.26487226570964945
5,2030,32,1,0.6648612060590854
5,2030,32,6,0.026743751737002202
5,2030,32,8,0.13212413830284778
5,2030,32,15,0.0456956646914582
5,2030,32,17,0.08310715454204366
5,2030,32,24,0.047468084667562804
5,2030,33,1,0.7828020339494837
5,2030,33,5,0.08946437526297941
5,2030,33,7,0.03435244900389313
5,2030,33,11,0.027949275709983314
5,2030,33,15,0.029870669452863933
5,2030,33,19,0.03556119662079659
5,2030,34,1,0.3541578288193309
5,2030,34,6,0.06348837471813133
5,2030,34,7,0.08158072961250958
5,2030,34,8,0.0688440274143413
5,2030,34,16,0.01253112569450135
5,2030,34,18,0.02492646886162244
5,2030,34,20,0.39447144487956315
5,2030,35,1,0.5534391146909811
5,2030,35,3,0.07625638813926727
5,2030,35,5,0.02069886979715984
