id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.03740861546748453
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.06340195086812161
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.1380077026032639
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.19137630589763738
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.18735789763477723
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.1776549677179273
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.1342349919297234
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.11592962510181844
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.10771514591040299
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.12484310931550356
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.14259144808435975
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.15210859063807192
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.1409232496821924
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.10949022601241354
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.07649269879262599
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.04533606781372135
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.07752507315507784
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.01114631738435734
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.9173131504332448
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.9625009848685642
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.9840092738146279
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.9771656944642929
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.9761453150238829
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.945815415795149
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.9448126291037119
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.9706059155265883
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.9549499470487787
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.9417194226277587
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.9477225241549792
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.963205428214178
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.9876594262998514
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.9968900231773006
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.9981953208336284
88,wind,e_demand,2030,1,1.0,1.0,16,16,1.005570553924222
89,wind,e_demand,2030,1,1.0,1.0,17,17,1.0085870014120828
90,wind,e_demand,2030,1,1.0,1.0,18,18,1.0194851283716242
91,wind,e_demand,2030,1,1.0,1.0,19,19,1.0249704186603867
92,wind,e_demand,2030,1,1.0,1.0,20,20,1.0266505852677321
93,wind,e_demand,2030,1,1.0,1.0,21,21,1.024571689585983
94,wind,e_demand,2030,1,1.0,1.0,22,22,1.0217180182510892
95,wind,e_demand,2030,1,1.0,1.0,23,23,1.015809061324978
96,wind,e_demand,2030,1,1.0,1.0,24,24,1.0202331923138486
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
106,solar,e_demand,2030,1,1.0,1.0,10,10,5.079687961611217e-05
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.00026871578662318845
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.00031194155419946414
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.00026719471695627034
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.0003028102452987053
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.00031563418313362206
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.00013617241693354468
113,solar,e_demand,2030,1,1.0,1.0,17,17,4.162155262209846e-06
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.1
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.1
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.1
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.1
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.1
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.1
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.1
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.1
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.1
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.1
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.1
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.1
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.1
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.1
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.1
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.1
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.1
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.1
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.1
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.1
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.1
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.1
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.1
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.1
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615385
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615385
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615385
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615385
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615385
150,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15384615384615385
