id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.132388622025248
2,h2_storage,2030,1,2,2,,-0.132388622025248
3,h2_storage,2030,1,3,3,,-0.132388622025248
4,h2_storage,2030,1,4,4,,-0.132388622025248
5,h2_storage,2030,1,5,5,,-0.132388622025248
6,h2_storage,2030,1,6,6,,-0.132388622025248
7,h2_storage,2030,1,7,7,,-0.132388622025248
8,h2_storage,2030,1,8,8,,-0.132388622025248
9,h2_storage,2030,1,9,9,,-0.132388622025248
10,h2_storage,2030,1,10,10,,-0.132388622025248
11,h2_storage,2030,1,11,11,,-0.132388622025248
12,h2_storage,2030,1,12,12,,-0.132388622025248
13,h2_storage,2030,1,13,13,,-0.132388622025248
14,h2_storage,2030,1,14,14,,-0.132388622025248
15,h2_storage,2030,1,15,15,,-0.132388622025248
16,h2_storage,2030,1,16,16,,-0.132388622025248
17,h2_storage,2030,1,17,17,,-0.132388622025248
18,h2_storage,2030,1,18,18,,-0.132388622025248
19,h2_storage,2030,1,19,19,,-0.132388622025248
20,h2_storage,2030,1,20,20,,-0.132388622025248
21,h2_storage,2030,1,21,21,,-0.132388622025248
22,h2_storage,2030,1,22,22,,-0.132388622025248
23,h2_storage,2030,1,23,23,,-0.132388622025248
24,h2_storage,2030,1,24,24,,-0.132388622025248
25,h2_storage,2030,2,1,1,,-0.19122833880440934
26,h2_storage,2030,2,2,2,,-0.19122833880440934
27,h2_storage,2030,2,3,3,,-0.19122833880440934
28,h2_storage,2030,2,4,4,,-0.19122833880440934
29,h2_storage,2030,2,5,5,,-0.19122833880440934
30,h2_storage,2030,2,6,6,,-0.19122833880440934
31,h2_storage,2030,2,7,7,,-0.19122833880440934
32,h2_storage,2030,2,8,8,,-0.19122833880440934
33,h2_storage,2030,2,9,9,,-0.19122833880440934
34,h2_storage,2030,2,10,10,,-0.19122833880440934
35,h2_storage,2030,2,11,11,,-0.19122833880440934
36,h2_storage,2030,2,12,12,,-0.19122833880440934
37,h2_storage,2030,2,13,13,,-0.19122833880440934
38,h2_storage,2030,2,14,14,,-0.19122833880440934
39,h2_storage,2030,2,15,15,,-0.19122833880440934
40,h2_storage,2030,2,16,16,,-0.19122833880440934
41,h2_storage,2030,2,17,17,,-0.19122833880440934
42,h2_storage,2030,2,18,18,,-0.19122833880440934
43,h2_storage,2030,2,19,19,,-0.19122833880440934
44,h2_storage,2030,2,20,20,,-0.19122833880440934
45,h2_storage,2030,2,21,21,,-0.19122833880440934
46,h2_storage,2030,2,22,22,,-0.19122833880440934
47,h2_storage,2030,2,23,23,,-0.19122833880440934
48,h2_storage,2030,2,24,24,,-0.19122833880440934
49,h2_storage,2030,3,1,1,,-0.1151636863150853
50,h2_storage,2030,3,2,2,,-0.1151636863150853
51,h2_storage,2030,3,3,3,,-0.1151636863150853
52,h2_storage,2030,3,4,4,,-0.1151636863150853
53,h2_storage,2030,3,5,5,,-0.1151636863150853
54,h2_storage,2030,3,6,6,,-0.1151636863150853
55,h2_storage,2030,3,7,7,,-0.1151636863150853
56,h2_storage,2030,3,8,8,,-0.1151636863150853
57,h2_storage,2030,3,9,9,,-0.1151636863150853
58,h2_storage,2030,3,10,10,,-0.1151636863150853
59,h2_storage,2030,3,11,11,,-0.1151636863150853
60,h2_storage,2030,3,12,12,,-0.1151636863150853
61,h2_storage,2030,3,13,13,,-0.1151636863150853
62,h2_storage,2030,3,14,14,,-0.1151636863150853
63,h2_storage,2030,3,15,15,,-0.1151636863150853
64,h2_storage,2030,3,16,16,,-0.1151636863150853
65,h2_storage,2030,3,17,17,,-0.1151636863150853
66,h2_storage,2030,3,18,18,,-0.1151636863150853
67,h2_storage,2030,3,19,19,,-0.1151636863150853
68,h2_storage,2030,3,20,20,,-0.1151636863150853
69,h2_storage,2030,3,21,21,,-0.1151636863150853
70,h2_storage,2030,3,22,22,,-0.1151636863150853
71,h2_storage,2030,3,23,23,,-0.1151636863150853
72,h2_storage,2030,3,24,24,,-0.1151636863150853
73,h2_storage,2030,4,1,1,,-0.03334625629566841
74,h2_storage,2030,4,2,2,,-0.03334625629566841
75,h2_storage,2030,4,3,3,,-0.03334625629566841
76,h2_storage,2030,4,4,4,,-0.03334625629566841
77,h2_storage,2030,4,5,5,,-0.03334625629566841
78,h2_storage,2030,4,6,6,,-0.03334625629566841
79,h2_storage,2030,4,7,7,,-0.03334625629566841
80,h2_storage,2030,4,8,8,,-0.03334625629566841
81,h2_storage,2030,4,9,9,,-0.03334625629566841
82,h2_storage,2030,4,10,10,,-0.03334625629566841
83,h2_storage,2030,4,11,11,,-0.03334625629566841
84,h2_storage,2030,4,12,12,,-0.03334625629566841
85,h2_storage,2030,4,13,13,,-0.03334625629566841
86,h2_storage,2030,4,14,14,,-0.03334625629566841
87,h2_storage,2030,4,15,15,,-0.03334625629566841
88,h2_storage,2030,4,16,16,,-0.03334625629566841
89,h2_storage,2030,4,17,17,,-0.03334625629566841
90,h2_storage,2030,4,18,18,,-0.03334625629566841
91,h2_storage,2030,4,19,19,,-0.03334625629566841
92,h2_storage,2030,4,20,20,,-0.03334625629566841
93,h2_storage,2030,4,21,21,,-0.03334625629566841
94,h2_storage,2030,4,22,22,,-0.03334625629566841
95,h2_storage,2030,4,23,23,,-0.03334625629566841
96,h2_storage,2030,4,24,24,,-0.03334625629566841
97,h2_storage,2030,5,1,1,,-0.08183228047202494
98,h2_storage,2030,5,2,2,,-0.08183228047202494
99,h2_storage,2030,5,3,3,,-0.08183228047202494
100,h2_storage,2030,5,4,4,,-0.08183228047202494
101,h2_storage,2030,5,5,5,,-0.08183228047202494
102,h2_storage,2030,5,6,6,,-0.08183228047202494
103,h2_storage,2030,5,7,7,,-0.08183228047202494
104,h2_storage,2030,5,8,8,,-0.08183228047202494
105,h2_storage,2030,5,9,9,,-0.08183228047202494
106,h2_storage,2030,5,10,10,,-0.08183228047202494
107,h2_storage,2030,5,11,11,,-0.08183228047202494
108,h2_storage,2030,5,12,12,,-0.08183228047202494
109,h2_storage,2030,5,13,13,,-0.08183228047202494
110,h2_storage,2030,5,14,14,,-0.08183228047202494
111,h2_storage,2030,5,15,15,,-0.08183228047202494
112,h2_storage,2030,5,16,16,,-0.08183228047202494
113,h2_storage,2030,5,17,17,,-0.08183228047202494
114,h2_storage,2030,5,18,18,,-0.08183228047202494
115,h2_storage,2030,5,19,19,,-0.08183228047202494
116,h2_storage,2030,5,20,20,,-0.08183228047202494
117,h2_storage,2030,5,21,21,,-0.08183228047202494
118,h2_storage,2030,5,22,22,,-0.08183228047202494
119,h2_storage,2030,5,23,23,,-0.08183228047202494
120,h2_storage,2030,5,24,24,,-0.08183228047202494
121,h2_storage,2030,6,1,1,,-0.017817738272658916
122,h2_storage,2030,6,2,2,,-0.017817738272658916
123,h2_storage,2030,6,3,3,,-0.017817738272658916
124,h2_storage,2030,6,4,4,,-0.017817738272658916
125,h2_storage,2030,6,5,5,,-0.017817738272658916
126,h2_storage,2030,6,6,6,,-0.017817738272658916
127,h2_storage,2030,6,7,7,,-0.017817738272658916
128,h2_storage,2030,6,8,8,,-0.017817738272658916
129,h2_storage,2030,6,9,9,,-0.017817738272658916
130,h2_storage,2030,6,10,10,,-0.017817738272658916
131,h2_storage,2030,6,11,11,,-0.017817738272658916
132,h2_storage,2030,6,12,12,,-0.017817738272658916
133,h2_storage,2030,6,13,13,,-0.017817738272658916
134,h2_storage,2030,6,14,14,,-0.017817738272658916
135,h2_storage,2030,6,15,15,,-0.017817738272658916
136,h2_storage,2030,6,16,16,,-0.017817738272658916
137,h2_storage,2030,6,17,17,,-0.017817738272658916
138,h2_storage,2030,6,18,18,,-0.017817738272658916
139,h2_storage,2030,6,19,19,,-0.017817738272658916
140,h2_storage,2030,6,20,20,,-0.017817738272658916
141,h2_storage,2030,6,21,21,,-0.017817738272658916
142,h2_storage,2030,6,22,22,,-0.017817738272658916
143,h2_storage,2030,6,23,23,,-0.017817738272658916
144,h2_storage,2030,6,24,24,,-0.017817738272658916
145,h2_storage,2030,7,1,1,,-0.02867175941121602
146,h2_storage,2030,7,2,2,,-0.02867175941121602
147,h2_storage,2030,7,3,3,,-0.02867175941121602
