id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.01591272776714457
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.0
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.0
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.0
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.0
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.09925147204558658
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.2174350383629652
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.3100951783231089
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.3914905649031605
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.0
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.29911003030068684
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.24066057723534903
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.21749099262082316
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.2803767050462826
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.30287916908054047
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.271269509205737
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.25836609233169905
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.21889991289075705
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.17220859988328863
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.13171988801426415
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.09290503298108753
73,wind,e_demand,2030,1,1.0,1.0,1,1,1.0107402218562627
74,wind,e_demand,2030,1,1.0,1.0,2,2,1.0318878538220708
75,wind,e_demand,2030,1,1.0,1.0,3,3,1.0204262641878754
76,wind,e_demand,2030,1,1.0,1.0,4,4,1.013885280119869
77,wind,e_demand,2030,1,1.0,1.0,5,5,1.0115208146579535
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.9591577566159563
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.9758919794386777
80,wind,e_demand,2030,1,1.0,1.0,8,8,1.0160914108410308
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.9825699675068106
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.9224754718220824
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.8420340226435901
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.776375978018075
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.7852472184748337
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.8225790210863336
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.8806669022363585
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.9390995934546621
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.9621798583166351
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.9798233153404037
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.992499658770913
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.9989782037201632
93,wind,e_demand,2030,1,1.0,1.0,21,21,1.0008979383038177
94,wind,e_demand,2030,1,1.0,1.0,22,22,1.0119639346418048
95,wind,e_demand,2030,1,1.0,1.0,23,23,1.0158526915482664
96,wind,e_demand,2030,1,1.0,1.0,24,24,1.027099708941405
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.004090741336048546
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.018532102347450206
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.0372976596779442
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.053261757211912834
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.0658753651399868
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.09562386493910326
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.05694776503464427
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.0065121035722413186
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.1
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.1
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.1
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.1
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.1
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.1
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.1
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.1
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.1
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.1
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.1
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.1
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.1
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.1
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.1
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.1
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.1
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.1
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.1
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.1
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.1
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.1
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.1
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.1
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615385
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615385
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615385
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615385
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615385
150,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15384615384615385
151,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.15384615384615385
