id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.061321491436357935
2,electrolizer,2030,1,2,2,0.06132149143635793
3,electrolizer,2030,1,3,3,0.06132149143635793
4,electrolizer,2030,1,4,4,0.06132149143635793
5,electrolizer,2030,1,5,5,0.06132149143635793
6,electrolizer,2030,1,6,6,0.0024528596574543175
7,electrolizer,2030,1,7,7,0.02590833013186123
8,electrolizer,2030,1,8,8,0.06132149143635793
9,electrolizer,2030,1,9,9,0.06132149143635793
10,electrolizer,2030,1,10,10,0.06132149143635793
11,electrolizer,2030,1,11,11,0.06132149143635793
12,electrolizer,2030,1,12,12,0.06132149143635793
13,electrolizer,2030,1,13,13,0.06132149143635793
14,electrolizer,2030,1,14,14,0.06132149143635793
15,electrolizer,2030,1,15,15,0.06132149143635793
16,electrolizer,2030,1,16,16,0.06132149143635793
17,electrolizer,2030,1,17,17,0.06132149143635793
18,electrolizer,2030,1,18,18,0.06132149143635793
19,electrolizer,2030,1,19,19,0.06132149143635793
20,electrolizer,2030,1,20,20,0.06132149143635793
21,electrolizer,2030,1,21,21,0.06132149143635793
22,electrolizer,2030,1,22,22,0.06132149143635793
23,electrolizer,2030,1,23,23,0.06132149143635793
24,electrolizer,2030,1,24,24,0.06132149143635793
25,electrolizer,2030,2,1,1,0.06191552883689281
26,electrolizer,2030,2,2,2,0.06191552883689281
27,electrolizer,2030,2,3,3,0.06191552883689281
28,electrolizer,2030,2,4,4,0.06191552883689281
29,electrolizer,2030,2,5,5,0.06191552883689281
30,electrolizer,2030,2,6,6,0.06191552883689281
31,electrolizer,2030,2,7,7,0.06191552883689281
32,electrolizer,2030,2,8,8,0.06191552883689281
33,electrolizer,2030,2,9,9,0.06191552883689281
34,electrolizer,2030,2,10,10,0.06191552883689281
35,electrolizer,2030,2,11,11,0.06191552883689281
36,electrolizer,2030,2,12,12,0.06191552883689281
37,electrolizer,2030,2,13,13,0.06191552883689281
38,electrolizer,2030,2,14,14,0.06191552883689281
39,electrolizer,2030,2,15,15,0.06191552883689281
40,electrolizer,2030,2,16,16,0.06191552883689281
41,electrolizer,2030,2,17,17,0.06191552883689281
42,electrolizer,2030,2,18,18,0.06191552883689281
43,electrolizer,2030,2,19,19,0.06191552883689281
44,electrolizer,2030,2,20,20,0.06191552883689281
45,electrolizer,2030,2,21,21,0.06191552883689281
46,electrolizer,2030,2,22,22,0.06191552883689281
47,electrolizer,2030,2,23,23,0.06191552883689281
48,electrolizer,2030,2,24,24,0.06191552883689281
49,electrolizer,2030,3,1,1,0.00031352748691372995
50,electrolizer,2030,3,2,2,0.00031352748691372995
51,electrolizer,2030,3,3,3,0.00031352748691372995
52,electrolizer,2030,3,4,4,0.007838187172843248
53,electrolizer,2030,3,5,5,0.007838187172843248
54,electrolizer,2030,3,6,6,0.007838187172843248
55,electrolizer,2030,3,7,7,0.007838187172843248
56,electrolizer,2030,3,8,8,0.007838187172843248
57,electrolizer,2030,3,9,9,0.007838187172843248
58,electrolizer,2030,3,10,10,0.007838187172843248
59,electrolizer,2030,3,11,11,0.007838187172843248
60,electrolizer,2030,3,12,12,0.007838187172843248
61,electrolizer,2030,3,13,13,0.007838187172843248
62,electrolizer,2030,3,14,14,0.007838187172843248
63,electrolizer,2030,3,15,15,0.007838187172843248
64,electrolizer,2030,3,16,16,0.007838187172843248
65,electrolizer,2030,3,17,17,0.007838187172843248
66,electrolizer,2030,3,18,18,0.007838187172843248
67,electrolizer,2030,3,19,19,0.007838187172843248
68,electrolizer,2030,3,20,20,0.007838187172843248
69,electrolizer,2030,3,21,21,0.007838187172843248
70,electrolizer,2030,3,22,22,0.007838187172843248
71,electrolizer,2030,3,23,23,0.007838187172843248
72,electrolizer,2030,3,24,24,0.007838187172843248
73,electrolizer,2030,4,1,1,0.034713914236416045
74,electrolizer,2030,4,2,2,0.034713914236416045
75,electrolizer,2030,4,3,3,0.034713914236416045
76,electrolizer,2030,4,4,4,0.034713914236416045
77,electrolizer,2030,4,5,5,0.034713914236416045
78,electrolizer,2030,4,6,6,0.034713914236416045
79,electrolizer,2030,4,7,7,0.034713914236416045
80,electrolizer,2030,4,8,8,0.034713914236416045
81,electrolizer,2030,4,9,9,0.034713914236416045
82,electrolizer,2030,4,10,10,0.034713914236416045
83,electrolizer,2030,4,11,11,0.034713914236416045
84,electrolizer,2030,4,12,12,0.034713914236416045
85,electrolizer,2030,4,13,13,0.034713914236416045
86,electrolizer,2030,4,14,14,0.034713914236416045
87,electrolizer,2030,4,15,15,0.034713914236416045
88,electrolizer,2030,4,16,16,0.034713914236416045
89,electrolizer,2030,4,17,17,0.034713914236416045
90,electrolizer,2030,4,18,18,0.034713914236416045
91,electrolizer,2030,4,19,19,0.034713914236416045
92,electrolizer,2030,4,20,20,0.034713914236416045
93,electrolizer,2030,4,21,21,0.034713914236416045
94,electrolizer,2030,4,22,22,0.034713914236416045
95,electrolizer,2030,4,23,23,0.034713914236416045
96,electrolizer,2030,4,24,24,0.034713914236416045
97,electrolizer,2030,5,1,1,0.16470688931431612
98,electrolizer,2030,5,2,2,0.16470688931431612
99,electrolizer,2030,5,3,3,0.16470688931431612
100,electrolizer,2030,5,4,4,0.16470688931431612
101,electrolizer,2030,5,5,5,0.16470688931431612
102,electrolizer,2030,5,6,6,0.16470688931431612
103,electrolizer,2030,5,7,7,0.16470688931431612
104,electrolizer,2030,5,8,8,0.16470688931431615
105,electrolizer,2030,5,9,9,0.16470688931431615
106,electrolizer,2030,5,10,10,0.16470688931431615
107,electrolizer,2030,5,11,11,0.16470688931431615
108,electrolizer,2030,5,12,12,0.16470688931431615
109,electrolizer,2030,5,13,13,0.16470688931431615
110,electrolizer,2030,5,14,14,0.16470688931431615
111,electrolizer,2030,5,15,15,0.16470688931431615
112,electrolizer,2030,5,16,16,0.16470688931431612
113,electrolizer,2030,5,17,17,0.16470688931431612
