id,scenario,probability,solution,total_cost
1,1,0.025,,193.2736366843098
2,2,0.025,,195.49765613312047
3,3,0.025,,197.2216723573144
4,4,0.025,,169.2243432415976
5,5,0.025,,202.67283831768194
6,6,0.025,,197.0614953912394
7,7,0.025,,209.38751306118
8,8,0.025,,193.53142617185594
9,9,0.025,,213.86037198069278
10,10,0.025,,231.58342895176145
11,11,0.025,,244.20532522991093
12,12,0.025,,220.6363955008716
13,13,0.025,,280.87975003412726
14,14,0.025,,284.932417030909
15,15,0.025,,299.0380660799021
16,16,0.025,,279.38080371122663
17,17,0.025,,245.06950623000216
18,18,0.025,,266.6789687436212
19,19,0.025,,291.15802952242166
20,20,0.025,,294.853794456665
21,21,0.025,,284.87544424335033
22,22,0.025,,275.42501703900143
23,23,0.025,,275.21127316237084
24,24,0.025,,310.30851069606763
25,25,0.025,,263.74628235674277
26,26,0.025,,300.6026337917088
27,27,0.025,,264.58240225819026
28,28,0.025,,283.14790823521906
29,29,0.025,,281.9799943660608
30,30,0.025,,293.23699316996203
31,31,0.025,,251.32214769968556
32,32,0.025,,280.4297856726918
33,33,0.025,,312.10127045131026
34,34,0.025,,311.33041332359517
35,35,0.025,,324.06506984471673
36,36,0.025,,300.4356754719765
37,37,0.025,,325.4472404541216
38,38,0.025,,336.1070582184709
39,39,0.025,,314.2259554129495
40,40,0.025,,338.8119755812701
