id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.09490763850844046
2,h2_storage,2030,1,2,2,,-0.09490763850844046
3,h2_storage,2030,1,3,3,,-0.09490763850844046
4,h2_storage,2030,1,4,4,,-0.09490763850844046
5,h2_storage,2030,1,5,5,,-0.09490763850844046
6,h2_storage,2030,1,6,6,,-0.09490763850844046
7,h2_storage,2030,1,7,7,,-0.09490763850844046
8,h2_storage,2030,1,8,8,,-0.09490763850844046
9,h2_storage,2030,1,9,9,,-0.09490763850844046
10,h2_storage,2030,1,10,10,,-0.09490763850844046
11,h2_storage,2030,1,11,11,,-0.09490763850844046
12,h2_storage,2030,1,12,12,,-0.09490763850844046
13,h2_storage,2030,1,13,13,,-0.09490763850844046
14,h2_storage,2030,1,14,14,,-0.09490763850844046
15,h2_storage,2030,1,15,15,,-0.09490763850844046
16,h2_storage,2030,1,16,16,,-0.09490763850844046
17,h2_storage,2030,1,17,17,,-0.09490763850844046
18,h2_storage,2030,1,18,18,,-0.09490763850844046
19,h2_storage,2030,1,19,19,,-0.09490763850844046
20,h2_storage,2030,1,20,20,,-0.09490763850844046
21,h2_storage,2030,1,21,21,,-0.09490763850844046
22,h2_storage,2030,1,22,22,,-0.09490763850844046
23,h2_storage,2030,1,23,23,,-0.09490763850844046
24,h2_storage,2030,1,24,24,,-0.09490763850844046
25,h2_storage,2030,2,1,1,,-0.14252102062575686
26,h2_storage,2030,2,2,2,,-0.14252102062575686
27,h2_storage,2030,2,3,3,,-0.14252102062575686
28,h2_storage,2030,2,4,4,,-0.14252102062575686
29,h2_storage,2030,2,5,5,,-0.14252102062575686
30,h2_storage,2030,2,6,6,,-0.14252102062575686
31,h2_storage,2030,2,7,7,,-0.14252102062575686
32,h2_storage,2030,2,8,8,,-0.14252102062575686
33,h2_storage,2030,2,9,9,,-0.14252102062575686
34,h2_storage,2030,2,10,10,,-0.14252102062575686
35,h2_storage,2030,2,11,11,,-0.14252102062575686
36,h2_storage,2030,2,12,12,,-0.14252102062575686
37,h2_storage,2030,2,13,13,,-0.14252102062575686
38,h2_storage,2030,2,14,14,,-0.14252102062575686
39,h2_storage,2030,2,15,15,,-0.14252102062575686
