id,scenario,probability,solution,total_cost
1,1,0.025,,189.991441177119
2,2,0.025,,175.8820482812549
3,3,0.025,,191.87989806010074
4,4,0.025,,181.1234623694021
5,5,0.025,,193.16395788019796
6,6,0.025,,173.08437702400155
7,7,0.025,,185.28705606039648
8,8,0.025,,180.97151195094008
9,9,0.025,,172.75226565728573
10,10,0.025,,211.53716192487067
11,11,0.025,,221.13563867082146
12,12,0.025,,212.0733208629522
13,13,0.025,,200.63742391158547
14,14,0.025,,214.19664096670417
15,15,0.025,,212.6309898728266
16,16,0.025,,255.4428192090082
17,17,0.025,,277.901985577245
18,18,0.025,,273.7198886500414
19,19,0.025,,262.39868443537677
20,20,0.025,,287.9622734732432
21,21,0.025,,263.59514097576056
22,22,0.025,,298.0573005886632
23,23,0.025,,274.4173076976663
24,24,0.025,,270.6400690880356
25,25,0.025,,252.4445454377091
26,26,0.025,,271.6023294014612
27,27,0.025,,279.27204700748234
28,28,0.025,,238.27636611331891
29,29,0.025,,300.86341697905925
30,30,0.025,,300.2707581022707
31,31,0.025,,310.9601316911777
32,32,0.025,,269.8088112836518
33,33,0.025,,289.189438706145
34,34,0.025,,323.9762668796247
35,35,0.025,,349.40671731353757
36,36,0.025,,294.2522999595773
37,37,0.025,,307.01009812591985
38,38,0.025,,280.7661952470862
39,39,0.025,,309.24626780320466
40,40,0.025,,315.4336186869034
