id,scenario,probability,solution
1,1,0.025,0.0
2,2,0.025,0.0
3,3,0.025,0.0
4,4,0.025,0.0
5,5,0.025,0.0
6,6,0.025,0.0
7,7,0.025,0.0
8,8,0.025,0.0
9,9,0.025,0.0
10,10,0.025,0.0
11,11,0.025,0.0
12,12,0.025,0.0
13,13,0.025,0.0
14,14,0.025,0.0
15,15,0.025,0.0
16,16,0.025,0.0
17,17,0.025,0.0
18,18,0.025,0.0
19,19,0.025,0.0
20,20,0.025,0.0
21,21,0.025,0.0
22,22,0.025,0.0
23,23,0.025,0.0
24,24,0.025,0.0
25,25,0.025,0.0
26,26,0.025,0.0
27,27,0.025,0.0
28,28,0.025,0.0
29,29,0.025,0.0
30,30,0.025,0.0
31,31,0.025,1.7138638879732753
32,32,0.025,0.0
33,33,0.025,0.0
34,34,0.025,14.729999076420086
35,35,0.025,40.16044951033223
36,36,0.025,0.0
37,37,0.025,0.0
38,38,0.025,0.0
39,39,0.025,0.0
40,40,0.025,6.18735088369823
