id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.04409652639587588
2,e_demand,2030,1,2,2,0.04409652639587588
3,e_demand,2030,1,3,3,0.04409652639587588
4,e_demand,2030,1,4,4,0.04409652639587588
5,e_demand,2030,1,5,5,0.04409652639587588
6,e_demand,2030,1,6,6,0.04409652639587588
7,e_demand,2030,1,7,7,0.04409652639587588
8,e_demand,2030,1,8,8,0.04409652639587588
9,e_demand,2030,1,9,9,0.04409652639587588
10,e_demand,2030,1,10,10,0.04409652639587588
11,e_demand,2030,1,11,11,0.04409652639587588
12,e_demand,2030,1,12,12,0.04409652639587588
13,e_demand,2030,1,13,13,0.04409652639587588
14,e_demand,2030,1,14,14,0.04409652639587588
15,e_demand,2030,1,15,15,0.04409652639587588
16,e_demand,2030,1,16,16,0.04409652639587588
17,e_demand,2030,1,17,17,0.04409652639587588
18,e_demand,2030,1,18,18,0.04409652639587588
19,e_demand,2030,1,19,19,0.04409652639587588
20,e_demand,2030,1,20,20,0.04409652639587588
21,e_demand,2030,1,21,21,0.04409652639587588
22,e_demand,2030,1,22,22,0.04409652639587588
23,e_demand,2030,1,23,23,0.04409652639587588
24,e_demand,2030,1,24,24,0.04409652639587588
25,e_demand,2030,2,1,1,0.07142479047963984
26,e_demand,2030,2,2,2,0.07142479047963984
27,e_demand,2030,2,3,3,0.07142479047963984
28,e_demand,2030,2,4,4,0.07142479047963984
29,e_demand,2030,2,5,5,0.07142479047963984
30,e_demand,2030,2,6,6,0.07142479047963984
31,e_demand,2030,2,7,7,0.07142479047963984
32,e_demand,2030,2,8,8,0.07142479047963984
33,e_demand,2030,2,9,9,0.07142479047963984
34,e_demand,2030,2,10,10,0.07142479047963984
35,e_demand,2030,2,11,11,0.07142479047963984
36,e_demand,2030,2,12,12,0.07142479047963984
37,e_demand,2030,2,13,13,0.07142479047963984
38,e_demand,2030,2,14,14,0.07142479047963984
39,e_demand,2030,2,15,15,0.07142479047963984
40,e_demand,2030,2,16,16,0.07142479047963984
41,e_demand,2030,2,17,17,0.07142479047963984
42,e_demand,2030,2,18,18,0.07142479047963984
43,e_demand,2030,2,19,19,0.07142479047963984
44,e_demand,2030,2,20,20,0.07142479047963984
45,e_demand,2030,2,21,21,0.07142479047963984
46,e_demand,2030,2,22,22,0.07142479047963984
47,e_demand,2030,2,23,23,0.0714247904796398
48,e_demand,2030,2,24,24,0.07142479047963984
49,e_demand,2030,3,1,1,0.004449793281217186
50,e_demand,2030,3,2,2,0.004449793281217186
51,e_demand,2030,3,3,3,0.004449793281217186
52,e_demand,2030,3,4,4,0.004449793281217186
53,e_demand,2030,3,5,5,0.004449793281217186
54,e_demand,2030,3,6,6,0.004449793281217186
55,e_demand,2030,3,7,7,0.004449793281217186
56,e_demand,2030,3,8,8,0.004449793281217186
57,e_demand,2030,3,9,9,0.004449793281217186
58,e_demand,2030,3,10,10,0.004449793281217186
59,e_demand,2030,3,11,11,0.004449793281217186
60,e_demand,2030,3,12,12,0.004449793281217186
61,e_demand,2030,3,13,13,0.004449793281217186
62,e_demand,2030,3,14,14,0.004449793281217186
63,e_demand,2030,3,15,15,0.004449793281217186
64,e_demand,2030,3,16,16,0.004449793281217186
65,e_demand,2030,3,17,17,0.004449793281217186
66,e_demand,2030,3,18,18,0.004449793281217186
67,e_demand,2030,3,19,19,0.004449793281217186
68,e_demand,2030,3,20,20,0.004449793281217186
69,e_demand,2030,3,21,21,0.004449793281217186
70,e_demand,2030,3,22,22,0.004449793281217186
71,e_demand,2030,3,23,23,0.004449793281217186
72,e_demand,2030,3,24,24,0.004449793281217186
