id,asset,milestone_year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_inter_period,dual_max_storage_level_inter_period_limit,dual_min_storage_level_inter_period_limit
1,h2_storage,2030,1,1,1,,-0.0011249999999999637,0.0,0.0
2,h2_storage,2030,1,2,2,,-0.0011249999999999637,0.0,0.0
3,h2_storage,2030,1,3,3,,-0.0011249999999999637,0.0,0.0
4,h2_storage,2030,1,4,4,,-0.0011249999999999637,0.0,0.0
5,h2_storage,2030,1,5,5,,-0.0011249999999999637,0.0,0.0
6,h2_storage,2030,1,6,6,,-0.0011249999999999637,0.0,0.0
7,h2_storage,2030,1,7,7,,-0.0011249999999999637,0.0,0.0
8,h2_storage,2030,1,8,8,,-0.0011249999999999637,0.0,0.0
9,h2_storage,2030,1,9,9,,-0.0011249999999999637,0.0,0.0
10,h2_storage,2030,1,10,10,,-0.0011249999999999637,0.0,0.0
11,h2_storage,2030,1,11,11,,-0.0011249999999999637,0.0,0.0
12,h2_storage,2030,1,12,12,,-0.0011249999999999637,0.0,0.0
13,h2_storage,2030,1,13,13,,-0.0011249999999999637,0.0,0.0
14,h2_storage,2030,1,14,14,,-0.0011250000000000125,0.0,0.0
15,h2_storage,2030,1,15,15,,-0.0011250000000000125,0.0,0.0
16,h2_storage,2030,1,16,16,,-0.0011250000000000125,0.0,0.0
17,h2_storage,2030,1,17,17,,-0.0011250000000000125,0.0,0.0
18,h2_storage,2030,1,18,18,,-0.0011250000000000125,0.0,0.0
19,h2_storage,2030,1,19,19,,-0.0011250000000000125,0.0,0.0
20,h2_storage,2030,1,20,20,,-0.0011250000000000125,0.0,0.0
21,h2_storage,2030,1,21,21,,-0.0011250000000000125,0.0,0.0
22,h2_storage,2030,1,22,22,,-0.0011250000000000125,0.0,0.0
23,h2_storage,2030,1,23,23,,-0.0011250000000000125,0.0,0.0
24,h2_storage,2030,1,24,24,,-0.0011250000000000125,0.0,0.0
25,h2_storage,2030,1,25,25,,-0.0011250000000000125,0.0,0.0
26,h2_storage,2030,1,26,26,,-0.0011250000000000125,0.0,0.0
27,h2_storage,2030,1,27,27,,-0.0011250000000000125,0.0,0.0
28,h2_storage,2030,1,28,28,,-0.0011250000000000125,0.0,0.0
29,h2_storage,2030,1,29,29,,-0.0011250000000000125,0.0,0.0
30,h2_storage,2030,1,30,30,,-0.0011250000000000125,0.0,0.0
31,h2_storage,2030,1,31,31,,-0.0011250000000000125,0.0,0.0
32,h2_storage,2030,1,32,32,,-0.0011250000000000125,0.0,0.0
33,h2_storage,2030,1,33,33,,-0.0011250000000000125,0.0,0.0
34,h2_storage,2030,1,34,34,,-0.0011250000000000125,0.0,0.0
35,h2_storage,2030,1,35,35,,-0.0011250000000000125,0.0,0.0
36,h2_storage,2030,1,36,36,,-0.0011250000000000125,0.0,0.0
37,h2_storage,2030,1,37,37,,-0.0011250000000000125,0.0,0.0
38,h2_storage,2030,1,38,38,,-0.0011250000000000125,0.0,0.0
39,h2_storage,2030,1,39,39,,-0.0011250000000000125,0.0,0.0
40,h2_storage,2030,1,40,40,,-0.0011250000000000125,0.0,0.0
41,h2_storage,2030,1,41,41,,-0.0011250000000000125,0.0,0.0
42,h2_storage,2030,1,42,42,,-0.0011250000000000125,0.0,0.0
43,h2_storage,2030,1,43,43,,-0.001124999999999925,0.0,0.0
44,h2_storage,2030,1,44,44,,-0.0011250000000000032,0.0,0.0
45,h2_storage,2030,1,45,45,,-0.0011250000000000032,0.0,0.0
46,h2_storage,2030,1,46,46,,-0.0011250000000000032,0.0,0.0
47,h2_storage,2030,1,47,47,,-0.0011250000000000032,0.0,0.0
48,h2_storage,2030,1,48,48,,-0.0011250000000000032,0.0,0.0
49,h2_storage,2030,1,49,49,,-0.0011250000000000032,0.0,0.0
50,h2_storage,2030,1,50,50,,-0.0011250000000000032,0.0,0.0
51,h2_storage,2030,1,51,51,,-0.0011250000000000032,0.0,0.0
52,h2_storage,2030,1,52,52,,-0.0011250000000000032,0.0,0.0
53,h2_storage,2030,1,53,53,,-0.0011250000000000032,0.0,0.0
54,h2_storage,2030,1,54,54,,-0.0011250000000000032,0.0,0.0
55,h2_storage,2030,1,55,55,,-0.0011250000000000032,0.0,0.0
56,h2_storage,2030,1,56,56,,-0.0011250000000000032,0.0,0.0
57,h2_storage,2030,1,57,57,,-0.0011250000000000032,0.0,0.0
58,h2_storage,2030,1,58,58,,-0.0011250000000000032,0.0,0.0
59,h2_storage,2030,1,59,59,,-0.0011250000000000032,0.0,0.0
60,h2_storage,2030,1,60,60,,-0.0011250000000000032,0.0,0.0
61,h2_storage,2030,1,61,61,,-0.0011250000000000032,0.0,0.0
62,h2_storage,2030,1,62,62,,-0.0011250000000000032,0.0,0.0
63,h2_storage,2030,1,63,63,,-0.0011250000000000032,0.0,0.0
64,h2_storage,2030,1,64,64,,-0.0011250000000000032,0.0,0.0
65,h2_storage,2030,1,65,65,,-0.0011250000000000032,0.0,0.0
66,h2_storage,2030,1,66,66,,-0.0011250000000000032,0.0,0.0
67,h2_storage,2030,1,67,67,,-0.0011250000000000032,0.0,0.0
68,h2_storage,2030,1,68,68,,-0.0011250000000000032,0.0,0.0
69,h2_storage,2030,1,69,69,,-0.0011250000000000032,0.0,0.0
70,h2_storage,2030,1,70,70,,-0.0011250000000000032,0.0,0.0
71,h2_storage,2030,1,71,71,,-0.0011250000000000032,0.0,0.0
72,h2_storage,2030,1,72,72,,-0.0011250000000000032,0.0,0.0
73,h2_storage,2030,1,73,73,,-0.0011250000000000032,0.0,0.0
74,h2_storage,2030,1,74,74,,-0.0011250000000000032,0.0,0.0
75,h2_storage,2030,1,75,75,,-0.0011250000000000032,0.0,0.0
76,h2_storage,2030,1,76,76,,-0.0011250000000000032,0.0,0.0
77,h2_storage,2030,1,77,77,,-0.0011250000000000032,0.0,0.0
78,h2_storage,2030,1,78,78,,-0.0011250000000000032,0.0,0.0
79,h2_storage,2030,1,79,79,,-0.0011250000000000032,0.0,0.0
80,h2_storage,2030,1,80,80,,-0.0011250000000000032,0.0,0.0
81,h2_storage,2030,1,81,81,,-0.0011250000000000032,0.0,0.0
82,h2_storage,2030,1,82,82,,-0.0011250000000000032,0.0,0.0
83,h2_storage,2030,1,83,83,,-0.0011250000000000032,0.0,0.0
84,h2_storage,2030,1,84,84,,-0.0011250000000000032,0.0,0.0
85,h2_storage,2030,1,85,85,,-0.0011250000000000032,0.0,0.0
86,h2_storage,2030,1,86,86,,-0.0011250000000000032,0.0,0.0
87,h2_storage,2030,1,87,87,,-0.0011250000000000032,0.0,0.0
88,h2_storage,2030,1,88,88,,-0.0011250000000000032,0.0,0.0
89,h2_storage,2030,1,89,89,,-0.0011250000000000032,0.0,0.0
90,h2_storage,2030,1,90,90,,-0.0011250000000000032,0.0,0.0
91,h2_storage,2030,1,91,91,,-0.0011250000000000032,0.0,0.0
92,h2_storage,2030,1,92,92,,-0.0011250000000000032,0.0,0.0
93,h2_storage,2030,1,93,93,,-0.0011250000000000032,0.0,0.0
94,h2_storage,2030,1,94,94,,-0.0011250000000000032,0.0,0.0
95,h2_storage,2030,1,95,95,,-0.0011250000000000032,0.0,0.0
96,h2_storage,2030,1,96,96,,-0.0011250000000000032,0.0,0.0
97,h2_storage,2030,1,97,97,,-0.0011250000000000032,0.0,0.0
98,h2_storage,2030,1,98,98,,-0.0011250000000000032,0.0,0.0
99,h2_storage,2030,1,99,99,,-0.0011250000000000032,0.0,0.0
100,h2_storage,2030,1,100,100,,-0.0011250000000000032,0.0,0.0
101,h2_storage,2030,1,101,101,,-0.0011250000000000032,0.0,0.0
102,h2_storage,2030,1,102,102,,-0.0011250000000000032,0.0,0.0
103,h2_storage,2030,1,103,103,,-0.0011250000000000032,0.0,0.0
104,h2_storage,2030,1,104,104,,-0.0011250000000000032,0.0,0.0
105,h2_storage,2030,1,105,105,,-0.0011250000000000032,0.0,0.0
106,h2_storage,2030,1,106,106,,-0.0011250000000000032,0.0,0.0
107,h2_storage,2030,1,107,107,,-0.0011250000000000032,0.0,0.0
108,h2_storage,2030,1,108,108,,-0.0011250000000000032,0.0,0.0
109,h2_storage,2030,1,109,109,,-0.0011250000000000032,0.0,0.0
110,h2_storage,2030,1,110,110,,-0.0011250000000000032,0.0,0.0
111,h2_storage,2030,1,111,111,,-0.0011250000000000032,0.0,0.0
112,h2_storage,2030,1,112,112,,-0.0011250000000000032,0.0,0.0
113,h2_storage,2030,1,113,113,,-0.0011250000000000032,0.0,0.0
114,h2_storage,2030,1,114,114,,-0.0011250000000000032,0.0,0.0
115,h2_storage,2030,1,115,115,,-0.0011250000000000032,0.0,0.0
116,h2_storage,2030,1,116,116,,-0.0011250000000000032,0.0,0.0
117,h2_storage,2030,1,117,117,,-0.0011250000000000032,0.0,0.0
118,h2_storage,2030,1,118,118,,-0.0011250000000000032,0.0,0.0
119,h2_storage,2030,1,119,119,,-0.0011250000000000032,0.0,0.0
120,h2_storage,2030,1,120,120,,-0.0011250000000000032,0.0,0.0
121,h2_storage,2030,1,121,121,,-0.0011250000000000032,0.0,0.0
122,h2_storage,2030,1,122,122,,-0.0011250000000000032,0.0,0.0
123,h2_storage,2030,1,123,123,,-0.0011250000000000032,0.0,0.0
124,h2_storage,2030,1,124,124,,-0.0011250000000000032,0.0,0.0
125,h2_storage,2030,1,125,125,,-0.0011250000000000032,0.0,0.0
126,h2_storage,2030,1,126,126,,-0.0011250000000000032,0.0,0.0
127,h2_storage,2030,1,127,127,,-0.0011250000000000032,0.0,0.0
128,h2_storage,2030,1,128,128,,-0.0011250000000000032,0.0,0.0
129,h2_storage,2030,1,129,129,,-0.0011250000000000032,0.0,0.0
130,h2_storage,2030,1,130,130,,-0.0011250000000000032,0.0,0.0
131,h2_storage,2030,1,131,131,,-0.0011250000000000032,0.0,0.0
132,h2_storage,2030,1,132,132,,-0.0011250000000000032,0.0,0.0
133,h2_storage,2030,1,133,133,,-0.0011250000000000032,0.0,0.0
134,h2_storage,2030,1,134,134,,-0.0011250000000000032,0.0,0.0
135,h2_storage,2030,1,135,135,,-0.0011250000000000032,0.0,0.0
136,h2_storage,2030,1,136,136,,-0.0011250000000000032,0.0,0.0
137,h2_storage,2030,1,137,137,,-0.0011250000000000032,0.0,0.0
138,h2_storage,2030,1,138,138,,-0.0011250000000000032,0.0,0.0
139,h2_storage,2030,1,139,139,,-0.0011250000000000032,0.0,0.0
140,h2_storage,2030,1,140,140,,-0.0011250000000000032,0.0,0.0
141,h2_storage,2030,1,141,141,,-0.0011250000000000032,0.0,0.0
142,h2_storage,2030,1,142,142,,-0.0011250000000000032,0.0,0.0
143,h2_storage,2030,1,143,143,,-0.0011250000000000032,0.0,0.0
144,h2_storage,2030,1,144,144,,-0.0011250000000000032,0.0,0.0
145,h2_storage,2030,1,145,145,,-0.0011250000000000032,0.0,0.0
146,h2_storage,2030,1,146,146,,-0.0011250000000000032,0.0,0.0
147,h2_storage,2030,1,147,147,,-0.0011250000000000032,0.0,0.0
148,h2_storage,2030,1,148,148,,-0.0011250000000000032,0.0,0.0
149,h2_storage,2030,1,149,149,,-0.0011250000000000032,0.0,0.0
150,h2_storage,2030,1,150,150,,-0.0011250000000000032,0.0,0.0
151,h2_storage,2030,1,151,151,,-0.0011250000000000032,0.0,0.0
152,h2_storage,2030,1,152,152,,-0.0011250000000000032,0.0,0.0
153,h2_storage,2030,1,153,153,,-0.0011250000000000032,0.0,0.0
154,h2_storage,2030,1,154,154,,-0.0011250000000000032,0.0,0.0
155,h2_storage,2030,1,155,155,,-0.0011250000000000032,0.0,0.0
156,h2_storage,2030,1,156,156,,-0.0011250000000000032,0.0,0.0
157,h2_storage,2030,1,157,157,,-0.0011250000000000032,0.0,0.0
158,h2_storage,2030,1,158,158,,-0.0011250000000000032,0.0,0.0
159,h2_storage,2030,1,159,159,,-0.0011250000000000032,0.0,0.0
160,h2_storage,2030,1,160,160,,-0.0011250000000000032,0.0,0.0
161,h2_storage,2030,1,161,161,,-0.0011250000000000032,0.0,0.0
162,h2_storage,2030,1,162,162,,-0.0011250000000000032,0.0,0.0
163,h2_storage,2030,1,163,163,,-0.0011250000000000032,0.0,0.0
164,h2_storage,2030,1,164,164,,-0.0011250000000000032,0.0,0.0
165,h2_storage,2030,1,165,165,,-0.0011250000000000032,0.0,0.0
166,h2_storage,2030,1,166,166,,-0.0011250000000000032,0.0,0.0
167,h2_storage,2030,1,167,167,,-0.0011250000000000032,0.0,0.0
168,h2_storage,2030,1,168,168,,-0.0011250000000000032,0.0,0.0
169,h2_storage,2030,1,169,169,,-0.0011250000000000032,0.0,0.0
170,h2_storage,2030,1,170,170,,-0.0011250000000000032,0.0,0.0
171,h2_storage,2030,1,171,171,,-0.0011250000000000032,0.0,0.0
172,h2_storage,2030,1,172,172,,-0.0011250000000000032,0.0,0.0
173,h2_storage,2030,1,173,173,,-0.0011250000000000032,0.0,0.0
174,h2_storage,2030,1,174,174,,-0.0011250000000000032,0.0,0.0
175,h2_storage,2030,1,175,175,,-0.0011250000000000032,0.0,0.0
176,h2_storage,2030,1,176,176,,-0.0011250000000000032,0.0,0.0
177,h2_storage,2030,1,177,177,,-0.0011250000000000032,0.0,0.0
178,h2_storage,2030,1,178,178,,-0.0011250000000000032,0.0,0.0
179,h2_storage,2030,1,179,179,,-0.0011250000000000032,0.0,0.0
180,h2_storage,2030,1,180,180,,-0.0011250000000000032,0.0,0.0
181,h2_storage,2030,1,181,181,,-0.0011250000000000032,0.0,0.0
182,h2_storage,2030,1,182,182,,-0.0011250000000000032,0.0,0.0
183,h2_storage,2030,1,183,183,,-0.0011250000000000032,0.0,0.0
184,h2_storage,2030,1,184,184,,-0.0011250000000000032,0.0,0.0
185,h2_storage,2030,1,185,185,,-0.0011250000000000032,0.0,0.0
186,h2_storage,2030,1,186,186,,-0.0011250000000000032,0.0,0.0
187,h2_storage,2030,1,187,187,,-0.0011250000000000032,0.0,0.0
188,h2_storage,2030,1,188,188,,-0.0011250000000000032,0.0,0.0
189,h2_storage,2030,1,189,189,,-0.0011250000000000032,0.0,0.0
190,h2_storage,2030,1,190,190,,-0.0011250000000000032,0.0,0.0
