id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-1.2546343350821236
2,h2_storage,2030,1,2,2,,-1.2546343350821236
3,h2_storage,2030,1,3,3,,-1.2546343350821236
4,h2_storage,2030,1,4,4,,-1.2546343350821236
5,h2_storage,2030,1,5,5,,-1.2546343350821236
6,h2_storage,2030,1,6,6,,-1.2546343350821236
7,h2_storage,2030,1,7,7,,-1.2546343350821236
8,h2_storage,2030,1,8,8,,-1.2546343350821236
9,h2_storage,2030,1,9,9,,-1.2546343350821236
10,h2_storage,2030,1,10,10,,-1.2546343350821236
11,h2_storage,2030,1,11,11,,-1.2546343350821236
12,h2_storage,2030,1,12,12,,-1.2546343350821236
13,h2_storage,2030,1,13,13,,-1.2546343350821236
14,h2_storage,2030,1,14,14,,-1.2546343350821236
15,h2_storage,2030,1,15,15,,-1.2546343350821236
16,h2_storage,2030,1,16,16,,-1.2546343350821236
17,h2_storage,2030,1,17,17,,-1.2546343350821236
18,h2_storage,2030,1,18,18,,-1.2546343350821236
19,h2_storage,2030,1,19,19,,-1.2546343350821236
20,h2_storage,2030,1,20,20,,-1.2546343350821236
21,h2_storage,2030,1,21,21,,-1.2546343350821236
22,h2_storage,2030,1,22,22,,-1.2546343350821236
23,h2_storage,2030,1,23,23,,-1.2546343350821236
24,h2_storage,2030,1,24,24,,-1.2546343350821236
25,h2_storage,2030,2,1,1,,-2.172730426727661
26,h2_storage,2030,2,2,2,,-2.172730426727661
27,h2_storage,2030,2,3,3,,-2.172730426727661
28,h2_storage,2030,2,4,4,,-2.172730426727661
29,h2_storage,2030,2,5,5,,-2.172730426727661
30,h2_storage,2030,2,6,6,,-2.172730426727661
31,h2_storage,2030,2,7,7,,-2.172730426727661
32,h2_storage,2030,2,8,8,,-2.172730426727661
33,h2_storage,2030,2,9,9,,-2.172730426727661
34,h2_storage,2030,2,10,10,,-2.172730426727661
35,h2_storage,2030,2,11,11,,-2.172730426727661
36,h2_storage,2030,2,12,12,,-2.172730426727661
37,h2_storage,2030,2,13,13,,-2.172730426727661
38,h2_storage,2030,2,14,14,,-2.172730426727661
39,h2_storage,2030,2,15,15,,-2.172730426727661
40,h2_storage,2030,2,16,16,,-2.172730426727661
41,h2_storage,2030,2,17,17,,-2.172730426727661
42,h2_storage,2030,2,18,18,,-2.172730426727661
43,h2_storage,2030,2,19,19,,-2.172730426727661
44,h2_storage,2030,2,20,20,,-2.172730426727661
45,h2_storage,2030,2,21,21,,-2.172730426727661
46,h2_storage,2030,2,22,22,,-2.172730426727661
47,h2_storage,2030,2,23,23,,-2.172730426727661
48,h2_storage,2030,2,24,24,,-2.172730426727661
49,h2_storage,2030,3,1,1,,-0.19950203181865486
50,h2_storage,2030,3,2,2,,-0.19950203181865486
51,h2_storage,2030,3,3,3,,-0.19950203181865486
52,h2_storage,2030,3,4,4,,-0.19950203181865486
53,h2_storage,2030,3,5,5,,-0.19950203181865486
54,h2_storage,2030,3,6,6,,-0.19950203181865486
55,h2_storage,2030,3,7,7,,-0.19950203181865486
56,h2_storage,2030,3,8,8,,-0.19950203181865486
57,h2_storage,2030,3,9,9,,-0.19950203181865486
58,h2_storage,2030,3,10,10,,-0.19950203181865486
