id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.03309041253451685
2,electrolizer,2030,1,2,2,0.03309041253451685
3,electrolizer,2030,1,3,3,0.03309041253451684
4,electrolizer,2030,1,4,4,0.03309041253451685
5,electrolizer,2030,1,5,5,0.03309041253451685
6,electrolizer,2030,1,6,6,0.03309041253451685
7,electrolizer,2030,1,7,7,0.03309041253451685
8,electrolizer,2030,1,8,8,0.03309041253451685
9,electrolizer,2030,1,9,9,0.03309041253451685
10,electrolizer,2030,1,10,10,0.03309041253451685
11,electrolizer,2030,1,11,11,0.03309041253451685
12,electrolizer,2030,1,12,12,0.03309041253451685
13,electrolizer,2030,1,13,13,0.03309041253451685
14,electrolizer,2030,1,14,14,0.03309041253451685
15,electrolizer,2030,1,15,15,0.03309041253451685
16,electrolizer,2030,1,16,16,0.03309041253451685
17,electrolizer,2030,1,17,17,0.03309041253451685
18,electrolizer,2030,1,18,18,0.03309041253451685
19,electrolizer,2030,1,19,19,0.03309041253451685
20,electrolizer,2030,1,20,20,0.03309041253451685
21,electrolizer,2030,1,21,21,0.03309041253451685
22,electrolizer,2030,1,22,22,0.03309041253451685
23,electrolizer,2030,1,23,23,0.03309041253451685
24,electrolizer,2030,1,24,24,0.03309041253451685
25,electrolizer,2030,2,1,1,0.012711233756822416
26,electrolizer,2030,2,2,2,0.012711233756822416
27,electrolizer,2030,2,3,3,0.012711233756822416
28,electrolizer,2030,2,4,4,0.012711233756822416
29,electrolizer,2030,2,5,5,0.012711233756822416
30,electrolizer,2030,2,6,6,0.012711233756822416
31,electrolizer,2030,2,7,7,0.012711233756822416
32,electrolizer,2030,2,8,8,0.012711233756822416
33,electrolizer,2030,2,9,9,0.012711233756822416
34,electrolizer,2030,2,10,10,0.012711233756822416
35,electrolizer,2030,2,11,11,0.012711233756822418
36,electrolizer,2030,2,12,12,0.012711233756822416
37,electrolizer,2030,2,13,13,0.012711233756822416
38,electrolizer,2030,2,14,14,0.012711233756822416
39,electrolizer,2030,2,15,15,0.012711233756822416
40,electrolizer,2030,2,16,16,0.012711233756822416
41,electrolizer,2030,2,17,17,0.012711233756822416
42,electrolizer,2030,2,18,18,0.012711233756822416
43,electrolizer,2030,2,19,19,0.012711233756822416
44,electrolizer,2030,2,20,20,0.012711233756822416
45,electrolizer,2030,2,21,21,0.012711233756822416
46,electrolizer,2030,2,22,22,0.012711233756822416
47,electrolizer,2030,2,23,23,0.012711233756822416
48,electrolizer,2030,2,24,24,0.012711233756822416
49,electrolizer,2030,3,1,1,0.010604213291918522
50,electrolizer,2030,3,2,2,0.010604213291918517
51,electrolizer,2030,3,3,3,0.010604213291918517
52,electrolizer,2030,3,4,4,0.010604213291918517
53,electrolizer,2030,3,5,5,0.010604213291918517
54,electrolizer,2030,3,6,6,0.010604213291918517
55,electrolizer,2030,3,7,7,0.010604213291918517
56,electrolizer,2030,3,8,8,0.010604213291918517
57,electrolizer,2030,3,9,9,0.010604213291918522
58,electrolizer,2030,3,10,10,0.010604213291918517
59,electrolizer,2030,3,11,11,0.010604213291918517
60,electrolizer,2030,3,12,12,0.010604213291918517
61,electrolizer,2030,3,13,13,0.010604213291918517
62,electrolizer,2030,3,14,14,0.010604213291918517
63,electrolizer,2030,3,15,15,0.010604213291918517
64,electrolizer,2030,3,16,16,0.010604213291918517
65,electrolizer,2030,3,17,17,0.010604213291918522
66,electrolizer,2030,3,18,18,0.010604213291918517
67,electrolizer,2030,3,19,19,0.010604213291918517
68,electrolizer,2030,3,20,20,0.010604213291918517
69,electrolizer,2030,3,21,21,0.010604213291918517
70,electrolizer,2030,3,22,22,0.010604213291918517
71,electrolizer,2030,3,23,23,0.010604213291918517
72,electrolizer,2030,3,24,24,0.010604213291918517
73,electrolizer,2030,4,1,1,0.01709644616799972
74,electrolizer,2030,4,2,2,0.017096446167999723
75,electrolizer,2030,4,3,3,0.017096446167999723
76,electrolizer,2030,4,4,4,0.017096446167999723
