id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.21313271988833016
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.18837453752669775
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.18694662588750477
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.18266123588099148
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.12240947534017788
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.20052023576552513
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.21496163742355226
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.35235305490918284
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.39268422595840413
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.3770464675807862
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.3984645293127953
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.3935712448535172
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.3758842349460718
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.3786699208932103
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.406374582296138
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.3863349573868603
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.3614057687743954
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.3726239088235283
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.4008499878773607
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.371808040334601
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.3500473207494822
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.2698430707396132
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.350447683251062
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.9001201361052651
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.9090148188590228
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.9133583753128695
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.9113557009024085
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.910908641435297
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.9101381928898078
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.9097873829232792
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.9086428839801396
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.9063241611291044
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.8943090778544599
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.8811709789483766
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.8600152932472058
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.8446355796698031
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.8536463433903574
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.8673639258236144
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.8734893673946506
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.8926979275429312
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.9023027591020784
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.9042829817109387
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.9004234023590426
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.8845018020776735
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.8431151085006013
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.8452919982672679
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.8271346075089013
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0011713740401650603
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.008997542210276198
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.018308825938261115
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.03440734831231827
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.050734934562626434
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.05248276793117671
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.04510387140568837
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.031823594637070046
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.019773314891164417
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.011445594537034505
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.004047157017363618
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.00019758116340133546
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.09999999999999999
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.1
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.1
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.1
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.1
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.1
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.1
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.1
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.1
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.1
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.1
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.1
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.1
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.1
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.1
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.1
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.1
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.1
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.1
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.1
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.1
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.1
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.1
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.1
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615383
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615385
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615385
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615385
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615385
