id,scenario,probability,solution,total_cost
1,1,0.05,,439.2714322447492
2,2,0.05,,404.1378060719274
3,3,0.05,,434.8051904712689
4,4,0.05,,430.0837235436518
5,5,0.05,,419.716625939336
6,6,0.05,,425.09098910655706
7,7,0.05,,423.0113246914346
8,8,0.05,,462.97232705904133
9,9,0.05,,482.3961421192181
10,10,0.05,,467.20412600216076
11,11,0.05,,463.1221300299956
12,12,0.05,,483.46176405776623
13,13,0.05,,461.1661398772927
14,14,0.05,,464.13013490742827
15,15,0.05,,463.34062881518486
16,16,0.05,,506.8207403735457
17,17,0.05,,541.2077121548904
18,18,0.05,,564.219625698732
19,19,0.05,,554.3221441363432
20,20,0.05,,578.6343675739723
