id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.33398552536521364
2,h2_storage,2030,1,2,2,,-0.33398552536521364
3,h2_storage,2030,1,3,3,,-0.33398552536521364
4,h2_storage,2030,1,4,4,,-0.33398552536521364
5,h2_storage,2030,1,5,5,,-0.33398552536521364
6,h2_storage,2030,1,6,6,,-0.33398552536521364
7,h2_storage,2030,1,7,7,,-0.33398552536521364
8,h2_storage,2030,1,8,8,,-0.33398552536521364
9,h2_storage,2030,1,9,9,,-0.33398552536521364
10,h2_storage,2030,1,10,10,,-0.33398552536521364
11,h2_storage,2030,1,11,11,,-0.33398552536521364
12,h2_storage,2030,1,12,12,,-0.33398552536521364
13,h2_storage,2030,1,13,13,,-0.33398552536521364
14,h2_storage,2030,1,14,14,,-0.33398552536521364
15,h2_storage,2030,1,15,15,,-0.33398552536521364
16,h2_storage,2030,1,16,16,,-0.33398552536521364
17,h2_storage,2030,1,17,17,,-0.33398552536521364
18,h2_storage,2030,1,18,18,,-0.33398552536521364
19,h2_storage,2030,1,19,19,,-0.33398552536521364
20,h2_storage,2030,1,20,20,,-0.33398552536521364
21,h2_storage,2030,1,21,21,,-0.33398552536521364
22,h2_storage,2030,1,22,22,,-0.33398552536521364
23,h2_storage,2030,1,23,23,,-0.33398552536521364
24,h2_storage,2030,1,24,24,,-0.33398552536521364
25,h2_storage,2030,2,1,1,,-0.254429166302097
26,h2_storage,2030,2,2,2,,-0.254429166302097
27,h2_storage,2030,2,3,3,,-0.254429166302097
28,h2_storage,2030,2,4,4,,-0.254429166302097
29,h2_storage,2030,2,5,5,,-0.254429166302097
30,h2_storage,2030,2,6,6,,-0.254429166302097
31,h2_storage,2030,2,7,7,,-0.254429166302097
32,h2_storage,2030,2,8,8,,-0.254429166302097
33,h2_storage,2030,2,9,9,,-0.254429166302097
34,h2_storage,2030,2,10,10,,-0.254429166302097
35,h2_storage,2030,2,11,11,,-0.254429166302097
36,h2_storage,2030,2,12,12,,-0.254429166302097
37,h2_storage,2030,2,13,13,,-0.254429166302097
38,h2_storage,2030,2,14,14,,-0.254429166302097
39,h2_storage,2030,2,15,15,,-0.254429166302097
