id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,0.14110888446680278
2,e_demand,2030,1,2,2,0.14110888446680275
3,e_demand,2030,1,3,3,0.14110888446680275
4,e_demand,2030,1,4,4,0.14110888446680275
5,e_demand,2030,1,5,5,0.14110888446680275
6,e_demand,2030,1,6,6,0.14110888446680275
7,e_demand,2030,1,7,7,0.14110888446680275
8,e_demand,2030,1,8,8,0.14110888446680275
9,e_demand,2030,1,9,9,0.14110888446680275
10,e_demand,2030,1,10,10,0.14110888446680275
11,e_demand,2030,1,11,11,0.14110888446680275
12,e_demand,2030,1,12,12,0.14110888446680275
13,e_demand,2030,1,13,13,0.14110888446680275
14,e_demand,2030,1,14,14,0.14110888446680275
15,e_demand,2030,1,15,15,0.14110888446680275
16,e_demand,2030,1,16,16,0.14110888446680275
17,e_demand,2030,1,17,17,0.14110888446680275
18,e_demand,2030,1,18,18,0.14110888446680275
19,e_demand,2030,1,19,19,0.14110888446680275
20,e_demand,2030,1,20,20,0.14110888446680275
21,e_demand,2030,1,21,21,0.14110888446680275
22,e_demand,2030,1,22,22,0.14110888446680275
23,e_demand,2030,1,23,23,0.14110888446680275
24,e_demand,2030,1,24,24,0.14110888446680275
25,e_demand,2030,2,1,1,0.2285593295348475
26,e_demand,2030,2,2,2,0.2285593295348475
27,e_demand,2030,2,3,3,0.2285593295348475
28,e_demand,2030,2,4,4,0.2285593295348475
29,e_demand,2030,2,5,5,0.2285593295348475
30,e_demand,2030,2,6,6,0.2285593295348475
31,e_demand,2030,2,7,7,0.2285593295348475
32,e_demand,2030,2,8,8,0.2285593295348475
33,e_demand,2030,2,9,9,0.2285593295348475
34,e_demand,2030,2,10,10,0.2285593295348475
35,e_demand,2030,2,11,11,0.2285593295348475
36,e_demand,2030,2,12,12,0.2285593295348475
37,e_demand,2030,2,13,13,0.2285593295348475
38,e_demand,2030,2,14,14,0.2285593295348475
39,e_demand,2030,2,15,15,0.2285593295348475
40,e_demand,2030,2,16,16,0.2285593295348475
41,e_demand,2030,2,17,17,0.2285593295348475
42,e_demand,2030,2,18,18,0.2285593295348475
43,e_demand,2030,2,19,19,0.2285593295348475
44,e_demand,2030,2,20,20,0.2285593295348475
45,e_demand,2030,2,21,21,0.2285593295348475
46,e_demand,2030,2,22,22,0.2285593295348475
47,e_demand,2030,2,23,23,0.22855932953484742
48,e_demand,2030,2,24,24,0.2285593295348475
49,e_demand,2030,3,1,1,0.014239338499895
50,e_demand,2030,3,2,2,0.014239338499895
51,e_demand,2030,3,3,3,0.014239338499895
52,e_demand,2030,3,4,4,0.014239338499895
53,e_demand,2030,3,5,5,0.014239338499895
54,e_demand,2030,3,6,6,0.014239338499895
55,e_demand,2030,3,7,7,0.014239338499895
56,e_demand,2030,3,8,8,0.014239338499895
57,e_demand,2030,3,9,9,0.014239338499895
58,e_demand,2030,3,10,10,0.014239338499895
59,e_demand,2030,3,11,11,0.014239338499895
60,e_demand,2030,3,12,12,0.014239338499895
61,e_demand,2030,3,13,13,0.014239338499895
