id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.08638424254870561
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.06541342624388949
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.05739336211506732
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.05857240158481983
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.08338148454099317
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.17317820289671973
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.0
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.3562021956023117
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.3731331893494605
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.38502845428896126
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.38300851369892674
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.36080985964058954
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.35227955101789443
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.36247890786620374
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.37289124398962464
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.3512556987896379
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.4030461435915841
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.42391518175667
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.39586870682736786
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.35031457606741645
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.2998776313281548
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.2408712729862086
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.34089581312160244
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.9339119166523114
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.9330779389954723
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.9335250543488726
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.9377098992016716
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.9398558892877373
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.9392192434198936
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.939180730322288
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.9387774264570483
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.9375974971237864
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.9367185735094222
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.9364425478365834
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.9319131596204764
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.9339051993965919
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.9393581235453545
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.9354604659536743
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.9368946808794247
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.9315137361216398
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.9313856420707288
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.931357392176181
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.9311780606538703
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.9279756469112038
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.9180131658777918
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.9066274170306372
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.8831489276749541
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0028151375823653193
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.012152922766812922
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.02021996960047178
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.030502479738595652
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.04132160316904698
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.04270656519181673
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.03547596878943548
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.02539572973711132
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.015608188844238488
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0027413681275442496
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615388
122,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615388
123,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615388
124,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615388
125,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615388
126,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15384615384615388
127,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.15384615384615388
128,e_demand,electrolizer,2030,1,1.0,1.0,8,8,0.15384615384615388
129,e_demand,electrolizer,2030,1,1.0,1.0,9,9,0.15384615384615388
130,e_demand,electrolizer,2030,1,1.0,1.0,10,10,0.15384615384615388
131,e_demand,electrolizer,2030,1,1.0,1.0,11,11,0.15384615384615388
132,e_demand,electrolizer,2030,1,1.0,1.0,12,12,0.15384615384615388
133,e_demand,electrolizer,2030,1,1.0,1.0,13,13,0.15384615384615388
134,e_demand,electrolizer,2030,1,1.0,1.0,14,14,0.15384615384615388
135,e_demand,electrolizer,2030,1,1.0,1.0,15,15,0.15384615384615388
136,e_demand,electrolizer,2030,1,1.0,1.0,16,16,0.15384615384615388
137,e_demand,electrolizer,2030,1,1.0,1.0,17,17,0.15384615384615388
138,e_demand,electrolizer,2030,1,1.0,1.0,18,18,0.15384615384615388
139,e_demand,electrolizer,2030,1,1.0,1.0,19,19,0.15384615384615388
140,e_demand,electrolizer,2030,1,1.0,1.0,20,20,0.15384615384615388
141,e_demand,electrolizer,2030,1,1.0,1.0,21,21,0.15384615384615388
142,e_demand,electrolizer,2030,1,1.0,1.0,22,22,0.15384615384615388
143,e_demand,electrolizer,2030,1,1.0,1.0,23,23,0.15384615384615388
144,e_demand,electrolizer,2030,1,1.0,1.0,24,24,0.15384615384615385
145,smr_ccs,h2_demand,2030,1,1.0,1.0,1,1,0.0
146,smr_ccs,h2_demand,2030,1,1.0,1.0,2,2,0.0
147,smr_ccs,h2_demand,2030,1,1.0,1.0,3,3,0.0
