seed,number_of_scenarios,representative_periods,success,elapsed
1,10,[24],true,59.31005311012268
2,10,[24],true,77.64148807525635
3,10,[24],true,80.6871280670166
4,10,[24],true,59.79056096076965
5,10,[24],true,61.082016944885254
6,10,[24],true,71.3032910823822
7,10,[24],true,58.18678617477417
8,10,[24],true,57.769662857055664
9,10,[24],true,63.25232696533203
10,10,[24],true,56.68019509315491
1,40,[24],true,136.22216796875
2,40,[24],true,127.78848505020142
3,40,[24],true,133.73975014686584
4,40,[24],true,132.73986911773682
5,40,[24],true,123.51096892356873
6,40,[24],true,119.86878705024719
7,40,[24],true,118.05031490325928
8,40,[24],true,130.96872210502625
9,40,[24],true,118.5064709186554
10,40,[24],true,131.98319506645203
1,70,[24],true,279.3535039424896
2,70,[24],true,269.75888895988464
3,70,[24],true,255.10589289665222
4,70,[24],true,279.482351064682
5,70,[24],true,267.34515619277954
6,70,[24],true,269.56109499931335
7,70,[24],true,258.47370314598083
8,70,[24],true,292.04909205436707
9,70,[24],true,283.29095792770386
10,70,[24],true,266.3218128681183
