id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-0.41748190670651697
2,h2_storage,2030,1,2,2,,-0.41748190670651697
3,h2_storage,2030,1,3,3,,-0.41748190670651697
4,h2_storage,2030,1,4,4,,-0.41748190670651697
5,h2_storage,2030,1,5,5,,-0.41748190670651697
6,h2_storage,2030,1,6,6,,-0.41748190670651697
7,h2_storage,2030,1,7,7,,-0.41748190670651697
8,h2_storage,2030,1,8,8,,-0.41748190670651697
9,h2_storage,2030,1,9,9,,-0.41748190670651697
10,h2_storage,2030,1,10,10,,-0.41748190670651697
11,h2_storage,2030,1,11,11,,-0.41748190670651697
12,h2_storage,2030,1,12,12,,-0.41748190670651697
13,h2_storage,2030,1,13,13,,-0.41748190670651697
14,h2_storage,2030,1,14,14,,-0.41748190670651697
15,h2_storage,2030,1,15,15,,-0.41748190670651697
16,h2_storage,2030,1,16,16,,-0.41748190670651697
17,h2_storage,2030,1,17,17,,-0.41748190670651697
18,h2_storage,2030,1,18,18,,-0.41748190670651697
19,h2_storage,2030,1,19,19,,-0.41748190670651697
20,h2_storage,2030,1,20,20,,-0.41748190670651697
21,h2_storage,2030,1,21,21,,-0.41748190670651697
22,h2_storage,2030,1,22,22,,-0.41748190670651697
23,h2_storage,2030,1,23,23,,-0.41748190670651697
24,h2_storage,2030,1,24,24,,-0.41748190670651697
25,h2_storage,2030,2,1,1,,-0.31271079166670096
26,h2_storage,2030,2,2,2,,-0.31271079166670096
27,h2_storage,2030,2,3,3,,-0.31271079166670096
28,h2_storage,2030,2,4,4,,-0.31271079166670096
29,h2_storage,2030,2,5,5,,-0.31271079166670096
30,h2_storage,2030,2,6,6,,-0.31271079166670096
31,h2_storage,2030,2,7,7,,-0.31271079166670096
32,h2_storage,2030,2,8,8,,-0.31271079166670096
33,h2_storage,2030,2,9,9,,-0.31271079166670096
34,h2_storage,2030,2,10,10,,-0.31271079166670096
35,h2_storage,2030,2,11,11,,-0.31271079166670096
36,h2_storage,2030,2,12,12,,-0.31271079166670096
37,h2_storage,2030,2,13,13,,-0.31271079166670096
38,h2_storage,2030,2,14,14,,-0.31271079166670096
39,h2_storage,2030,2,15,15,,-0.31271079166670096
40,h2_storage,2030,2,16,16,,-0.31271079166670096
41,h2_storage,2030,2,17,17,,-0.31271079166670096
