id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.27136323935923606
2,electrolizer,2030,1,2,2,0.2713632393592361
3,electrolizer,2030,1,3,3,0.2713632393592361
4,electrolizer,2030,1,4,4,0.2713632393592361
5,electrolizer,2030,1,5,5,0.2713632393592361
6,electrolizer,2030,1,6,6,0.2713632393592361
7,electrolizer,2030,1,7,7,0.2713632393592361
8,electrolizer,2030,1,8,8,0.2713632393592361
9,electrolizer,2030,1,9,9,0.2713632393592361
10,electrolizer,2030,1,10,10,0.2713632393592361
11,electrolizer,2030,1,11,11,0.2713632393592361
12,electrolizer,2030,1,12,12,0.2713632393592361
13,electrolizer,2030,1,13,13,0.2713632393592361
14,electrolizer,2030,1,14,14,0.2713632393592361
15,electrolizer,2030,1,15,15,0.2713632393592361
16,electrolizer,2030,1,16,16,0.2713632393592361
17,electrolizer,2030,1,17,17,0.2713632393592361
18,electrolizer,2030,1,18,18,0.2713632393592361
19,electrolizer,2030,1,19,19,0.2713632393592361
20,electrolizer,2030,1,20,20,0.2713632393592361
21,electrolizer,2030,1,21,21,0.2713632393592361
22,electrolizer,2030,1,22,22,0.2713632393592361
23,electrolizer,2030,1,23,23,0.2713632393592361
24,electrolizer,2030,1,24,24,0.2713632393592361
25,electrolizer,2030,2,1,1,0.4395371721823989
26,electrolizer,2030,2,2,2,0.4395371721823989
27,electrolizer,2030,2,3,3,0.4395371721823989
28,electrolizer,2030,2,4,4,0.4395371721823989
29,electrolizer,2030,2,5,5,0.4395371721823989
30,electrolizer,2030,2,6,6,0.4395371721823989
31,electrolizer,2030,2,7,7,0.4395371721823989
32,electrolizer,2030,2,8,8,0.4395371721823989
33,electrolizer,2030,2,9,9,0.4395371721823989
34,electrolizer,2030,2,10,10,0.4395371721823989
35,electrolizer,2030,2,11,11,0.4395371721823989
36,electrolizer,2030,2,12,12,0.4395371721823989
37,electrolizer,2030,2,13,13,0.4395371721823989
38,electrolizer,2030,2,14,14,0.4395371721823989
39,electrolizer,2030,2,15,15,0.4395371721823989
40,electrolizer,2030,2,16,16,0.4395371721823989
41,electrolizer,2030,2,17,17,0.4395371721823989
42,electrolizer,2030,2,18,18,0.4395371721823989
43,electrolizer,2030,2,19,19,0.4395371721823989
44,electrolizer,2030,2,20,20,0.4395371721823989
45,electrolizer,2030,2,21,21,0.4395371721823989
46,electrolizer,2030,2,22,22,0.4395371721823989
47,electrolizer,2030,2,23,23,0.4395371721823989
48,electrolizer,2030,2,24,24,0.4395371721823989
49,electrolizer,2030,3,1,1,0.02738334326902883
50,electrolizer,2030,3,2,2,0.02738334326902883
51,electrolizer,2030,3,3,3,0.02738334326902883
52,electrolizer,2030,3,4,4,0.02738334326902883
53,electrolizer,2030,3,5,5,0.02738334326902883
54,electrolizer,2030,3,6,6,0.02738334326902883
55,electrolizer,2030,3,7,7,0.02738334326902883
56,electrolizer,2030,3,8,8,0.02738334326902883
57,electrolizer,2030,3,9,9,0.02738334326902883
58,electrolizer,2030,3,10,10,0.02738334326902883
59,electrolizer,2030,3,11,11,0.02738334326902883
60,electrolizer,2030,3,12,12,0.02738334326902883
61,electrolizer,2030,3,13,13,0.02738334326902883
62,electrolizer,2030,3,14,14,0.02738334326902883
63,electrolizer,2030,3,15,15,0.02738334326902883
64,electrolizer,2030,3,16,16,0.027383343269028835
65,electrolizer,2030,3,17,17,0.027383343269028835
66,electrolizer,2030,3,18,18,0.027383343269028835
67,electrolizer,2030,3,19,19,0.027383343269028835
68,electrolizer,2030,3,20,20,0.027383343269028835
69,electrolizer,2030,3,21,21,0.027383343269028835
70,electrolizer,2030,3,22,22,0.027383343269028835
71,electrolizer,2030,3,23,23,0.027383343269028835
72,electrolizer,2030,3,24,24,0.02738334326902884
73,electrolizer,2030,4,1,1,0.046677210732807645
74,electrolizer,2030,4,2,2,0.046677210732807645
75,electrolizer,2030,4,3,3,0.046677210732807645
76,electrolizer,2030,4,4,4,0.046677210732807645
77,electrolizer,2030,4,5,5,0.046677210732807645
78,electrolizer,2030,4,6,6,0.046677210732807645
79,electrolizer,2030,4,7,7,0.046677210732807645
80,electrolizer,2030,4,8,8,0.046677210732807645
81,electrolizer,2030,4,9,9,0.046677210732807645
82,electrolizer,2030,4,10,10,0.046677210732807645
83,electrolizer,2030,4,11,11,0.046677210732807645
84,electrolizer,2030,4,12,12,0.046677210732807645
85,electrolizer,2030,4,13,13,0.046677210732807645
86,electrolizer,2030,4,14,14,0.046677210732807645
87,electrolizer,2030,4,15,15,0.046677210732807645
88,electrolizer,2030,4,16,16,0.04667721073280762
89,electrolizer,2030,4,17,17,0.046677210732807645
90,electrolizer,2030,4,18,18,0.04667721073280762
91,electrolizer,2030,4,19,19,0.04667721073280762
