id,scenario,probability,solution,total_cost
1,1,0.05,,442.7865138000363
2,2,0.05,,407.75361866914045
3,3,0.05,,437.97511847884715
4,4,0.05,,432.65636216472296
5,5,0.05,,423.0150351420582
6,6,0.05,,428.71737027495504
7,7,0.05,,426.02441722235125
8,8,0.05,,464.099169978263
9,9,0.05,,483.6073606371907
10,10,0.05,,469.66448912071337
11,11,0.05,,463.3974615167991
12,12,0.05,,486.088981448111
13,13,0.05,,462.21135002568366
14,14,0.05,,465.8797054664706
15,15,0.05,,463.9047309043594
16,16,0.05,,504.2680896190672
17,17,0.05,,540.3581363564815
18,18,0.05,,561.7719413573469
19,19,0.05,,552.2787984936191
20,20,0.05,,577.0018304257566
