id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.11686621833009381
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.09164804458497922
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.09043222020251263
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.0861941746946745
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.026024006207770234
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.1041719181156775
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.11877705575812267
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.25669818980100245
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.29863986435249495
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.28497797589780494
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.30922930319983166
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.3060282232206101
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.28711903605632333
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.28796981085221507
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.3145882438964661
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.29221202383550104
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.2659970354737192
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.27686569230092833
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.3054933346436224
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.27813751666277664
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.26075973134789143
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.18032494432391977
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.26285246111533156
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.9954446728314548
74,wind,e_demand,2030,1,1.0,1.0,2,2,1.0052813204172593
75,wind,e_demand,2030,1,1.0,1.0,3,3,1.010084868254588
76,wind,e_demand,2030,1,1.0,1.0,4,4,1.0078701065874007
77,wind,e_demand,2030,1,1.0,1.0,5,5,1.007375702621614
78,wind,e_demand,2030,1,1.0,1.0,6,6,1.0065236620222153
79,wind,e_demand,2030,1,1.0,1.0,7,7,1.0061357005731268
80,wind,e_demand,2030,1,1.0,1.0,8,8,1.0048699968850179
81,wind,e_demand,2030,1,1.0,1.0,9,9,1.0023057166103617
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.9890182117989235
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.9744887617370885
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.951092646278047
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.9340841900329255
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.9440492117938872
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.9592195138564501
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.9659936520365064
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.9872364374219147
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.9978584400029994
91,wind,e_demand,2030,1,1.0,1.0,19,19,1.000048372177542
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.995780055592781
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.978172325749498
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.9324026979021922
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.9348101246829614
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.9147298296446319
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0011288428007164796
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.008670851837199426
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.017644053599706607
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.033158057206587675
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.04889280764474879
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.050577179200961525
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.04346620189190692
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.030668116645229733
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.019055368648980497
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.01103001820941042
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.003900209417118661
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0001904072193979604
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.09999999999999994
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.1
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.1
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.1
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.1
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.1
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.1
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.1
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.1
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.1
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.1
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.1
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.1
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.1
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.1
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.1
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.1
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.1
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.1
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.1
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.1
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.1
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.1
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.1
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15384615384615374
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15384615384615385
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15384615384615385
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15384615384615385
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15384615384615385
