asset,benchmark_solution,approximation_solution,diff,number_of_scenarios,seed
ccgt,1.220047752235613,1.152657072103072,-0.05523610039775449,10,1
wind,2.575353689849156,2.483343273344547,-0.03572729325190203,10,1
solar,1.131819056662039,1.2478247198329957,0.10249488422034583,10,1
ocgt,0.0,0.43053575843711644,0.43053575843711644,10,1
electrolizer,1.0000000000000002,1.047381855119746,0.04738185511974578,10,1
wind_offshore,0.0,0.0,0.0,10,1
battery,0.0,0.0,0.0,10,1
ccgt,1.3197675631316694,1.3163077650029191,-0.0026215208082100198,10,2
wind,2.881522078019083,3.036341764538004,0.05372844015318205,10,2
solar,0.0,0.0,0.0,10,2
ocgt,0.0,0.0,0.0,10,2
electrolizer,1.0,1.0,0.0,10,2
wind_offshore,0.0,0.0,0.0,10,2
battery,0.0,0.0,0.0,10,2
ccgt,1.2403791010190808,1.2177845203728355,-0.0182158669294588,10,3
wind,2.8493863862144844,3.147227873407878,0.10452829024325028,10,3
solar,0.003912719400432287,0.10562887735332475,25.996282263853267,10,3
ocgt,0.0,0.0,0.0,10,3
electrolizer,1.0,1.0,0.0,10,3
wind_offshore,0.0,0.0,0.0,10,3
battery,0.0,0.0,0.0,10,3
ccgt,1.3185031772498834,1.3146483867156833,-0.0029236111074380546,10,4
wind,2.937919947433457,3.111540629251504,0.059096464479816965,10,4
solar,0.0,0.0,0.0,10,4
ocgt,0.0,0.0,0.0,10,4
electrolizer,1.0,0.9999999999999999,-1.1102230246251565e-16,10,4
wind_offshore,0.0,0.0,0.0,10,4
battery,0.0,0.0,0.0,10,4
ccgt,1.299500455652079,1.2349332807177238,-0.04968615028453835,10,5
wind,2.682187913509671,3.027596706247103,0.12877874476940024,10,5
solar,0.4580714327950737,0.5715790622235504,0.247794604295388,10,5
ocgt,0.0,0.2595802413721432,0.2595802413721432,10,5
electrolizer,1.0,1.0765044709680973,0.07650447096809732,10,5
wind_offshore,0.0,0.0,0.0,10,5
battery,0.0,0.0,0.0,10,5
ccgt,1.152880459106437,1.1611812359420608,0.007200032553294801,10,6
wind,2.889560279626015,2.8666620778332033,-0.007924458940782335,10,6
solar,1.0614362302609426,0.9385124946483616,-0.11580887490750293,10,6
ocgt,0.31376396706037646,0.0,-1.0,10,6
electrolizer,1.0,1.0,0.0,10,6
wind_offshore,0.0,0.0,0.0,10,6
battery,0.0,0.0,0.0,10,6
ccgt,1.2798041965829885,1.2775797768111465,-0.001738093825431299,10,7
wind,2.6029280054625503,2.5988502271953036,-0.0015666120072046017,10,7
solar,0.06138256180447096,0.0,-1.0,10,7
ocgt,0.0,0.06810829924434064,0.06810829924434064,10,7
electrolizer,1.0000000000000002,1.0,-2.2204460492503126e-16,10,7
wind_offshore,0.0,0.0,0.0,10,7
battery,0.0,0.0,0.0,10,7
ccgt,1.2061897121188037,1.188335819120069,-0.014801894610236996,10,8
wind,2.7848447844788695,3.0654330353626054,0.10075543615485291,10,8
solar,0.6831105336614312,0.7545546862374151,0.10458651866052712,10,8
ocgt,0.26371566582568506,0.28278126157861994,0.07229603024621659,10,8
electrolizer,1.0,1.0,0.0,10,8
wind_offshore,0.0,0.0,0.0,10,8
battery,0.0,0.0,0.0,10,8
ccgt,1.1251797276618298,1.0963340698856998,-0.025636489057683693,10,9
wind,2.6598401189435394,3.124807461724643,0.17481026001133623,10,9
solar,0.6142308171535203,0.52613785762727,-0.14341996048731714,10,9
ocgt,0.0,0.19416860369419806,0.19416860369419806,10,9
electrolizer,1.0,1.0,0.0,10,9
wind_offshore,0.0,0.0,0.0,10,9
battery,0.0,0.0,0.0,10,9
ccgt,1.209104130658703,1.2242759141961328,0.012547954433969635,10,10
wind,2.5882601079531105,2.627508282044,0.015163921883387641,10,10
solar,0.18070348043093265,0.0,-1.0,10,10
ocgt,0.0,0.0,0.0,10,10
electrolizer,1.0,1.0,0.0,10,10
wind_offshore,0.0,0.0,0.0,10,10
battery,0.0,0.0,0.0,10,10
ccgt,1.2115497493556813,1.1629143086908151,-0.04014316431556453,40,1
wind,2.7338631733476055,2.5252185611360702,-0.076318600815728,40,1
solar,0.9100703190948519,1.2420463398324544,0.36478062603753847,40,1
ocgt,0.0,0.2636306218038727,0.2636306218038727,40,1
electrolizer,1.10924416765504,1.1005413005473248,-0.007845763233637887,40,1
wind_offshore,0.0,0.0,0.0,40,1
battery,0.0,0.0,0.0,40,1
ccgt,1.2879015706312067,1.2605101688455975,-0.021268241618949586,40,2
wind,2.691153741678629,3.110430671169606,0.1557982076599792,40,2
solar,0.3053614389307416,0.1353439417097375,-0.5567746137702915,40,2
