id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
26,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
27,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
28,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
29,solar,e_demand,2030,1,1.0,1.0,5,5,333.2584227649082
30,solar,e_demand,2030,1,1.0,1.0,6,6,6542.630886848822
31,solar,e_demand,2030,1,1.0,1.0,7,7,21292.434237678874
32,solar,e_demand,2030,1,1.0,1.0,8,8,31344.891192255294
33,solar,e_demand,2030,1,1.0,1.0,9,9,39308.52023894345
34,solar,e_demand,2030,1,1.0,1.0,10,10,46246.11596695489
35,solar,e_demand,2030,1,1.0,1.0,11,11,49209.55576965033
36,solar,e_demand,2030,1,1.0,1.0,12,12,50428.58575863476
37,solar,e_demand,2030,1,1.0,1.0,13,13,51304.072921788014
38,solar,e_demand,2030,1,1.0,1.0,14,14,52446.29811340511
39,solar,e_demand,2030,1,1.0,1.0,15,15,53887.427445203975
40,solar,e_demand,2030,1,1.0,1.0,16,16,54794.86190298866
41,solar,e_demand,2030,1,1.0,1.0,17,17,54526.810972005725
42,solar,e_demand,2030,1,1.0,1.0,18,18,52214.35200169742
43,solar,e_demand,2030,1,1.0,1.0,19,19,39533.02656970957
44,solar,e_demand,2030,1,1.0,1.0,20,20,15708.659823946155
45,solar,e_demand,2030,1,1.0,1.0,21,21,1976.5747425051977
46,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
47,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
48,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
49,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,9572.672611647024
50,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,9526.856734113311
51,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,9419.341787443025
52,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,9253.203744462297
53,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,9064.362545194188
54,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,8893.322199393699
55,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,8701.074770708332
56,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,8431.392584806565
57,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,8108.009050228587
58,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,7941.102470012153
59,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,7708.306449386294
60,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,7726.914094837516
61,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,8100.970220445312
62,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,8548.642427209285
63,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,8922.702607756526
64,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,9381.942239561591
65,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,9742.342767249704
66,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,10232.758404436372
67,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,10711.782899522013
68,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,11076.009725004364
69,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,11313.015735630766
70,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,11335.280521587543
71,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,11305.249120498796
72,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,11135.161998643292
73,h2_storage,h2_demand,2030,1,1.0,1.0,1,1,0.0
74,h2_storage,h2_demand,2030,1,1.0,1.0,2,2,0.0
75,h2_storage,h2_demand,2030,1,1.0,1.0,3,3,0.0
76,h2_storage,h2_demand,2030,1,1.0,1.0,4,4,0.0
77,h2_storage,h2_demand,2030,1,1.0,1.0,5,5,0.0
78,h2_storage,h2_demand,2030,1,1.0,1.0,6,6,0.0
79,h2_storage,h2_demand,2030,1,1.0,1.0,7,7,0.0
80,h2_storage,h2_demand,2030,1,1.0,1.0,8,8,0.0
81,h2_storage,h2_demand,2030,1,1.0,1.0,9,9,0.0
82,h2_storage,h2_demand,2030,1,1.0,1.0,10,10,0.0
83,h2_storage,h2_demand,2030,1,1.0,1.0,11,11,0.0
84,h2_storage,h2_demand,2030,1,1.0,1.0,12,12,0.0
85,h2_storage,h2_demand,2030,1,1.0,1.0,13,13,0.0
86,h2_storage,h2_demand,2030,1,1.0,1.0,14,14,0.0
87,h2_storage,h2_demand,2030,1,1.0,1.0,15,15,0.0
88,h2_storage,h2_demand,2030,1,1.0,1.0,16,16,0.0
89,h2_storage,h2_demand,2030,1,1.0,1.0,17,17,0.0
90,h2_storage,h2_demand,2030,1,1.0,1.0,18,18,0.0
91,h2_storage,h2_demand,2030,1,1.0,1.0,19,19,0.0
92,h2_storage,h2_demand,2030,1,1.0,1.0,20,20,0.0
93,h2_storage,h2_demand,2030,1,1.0,1.0,21,21,0.0
94,h2_storage,h2_demand,2030,1,1.0,1.0,22,22,0.0
95,h2_storage,h2_demand,2030,1,1.0,1.0,23,23,0.0
96,h2_storage,h2_demand,2030,1,1.0,1.0,24,24,0.0
97,water_borrower,hydro_reservoir,2030,1,0.0,1.0,1,1,0.0
98,water_borrower,hydro_reservoir,2030,1,0.0,1.0,2,2,0.0
99,water_borrower,hydro_reservoir,2030,1,0.0,1.0,3,3,0.0
100,water_borrower,hydro_reservoir,2030,1,0.0,1.0,4,4,0.0
101,water_borrower,hydro_reservoir,2030,1,0.0,1.0,5,5,0.0
102,water_borrower,hydro_reservoir,2030,1,0.0,1.0,6,6,0.0
103,water_borrower,hydro_reservoir,2030,1,0.0,1.0,7,7,0.0
104,water_borrower,hydro_reservoir,2030,1,0.0,1.0,8,8,0.0
105,water_borrower,hydro_reservoir,2030,1,0.0,1.0,9,9,0.0
106,water_borrower,hydro_reservoir,2030,1,0.0,1.0,10,10,0.0
107,water_borrower,hydro_reservoir,2030,1,0.0,1.0,11,11,0.0
108,water_borrower,hydro_reservoir,2030,1,0.0,1.0,12,12,0.0
109,water_borrower,hydro_reservoir,2030,1,0.0,1.0,13,13,0.0
110,water_borrower,hydro_reservoir,2030,1,0.0,1.0,14,14,0.0
111,water_borrower,hydro_reservoir,2030,1,0.0,1.0,15,15,0.0
112,water_borrower,hydro_reservoir,2030,1,0.0,1.0,16,16,0.0
113,water_borrower,hydro_reservoir,2030,1,0.0,1.0,17,17,0.0
114,water_borrower,hydro_reservoir,2030,1,0.0,1.0,18,18,0.0
115,water_borrower,hydro_reservoir,2030,1,0.0,1.0,19,19,0.0
116,water_borrower,hydro_reservoir,2030,1,0.0,1.0,20,20,0.0
117,water_borrower,hydro_reservoir,2030,1,0.0,1.0,21,21,0.0
118,water_borrower,hydro_reservoir,2030,1,0.0,1.0,22,22,0.0
119,water_borrower,hydro_reservoir,2030,1,0.0,1.0,23,23,0.0
120,water_borrower,hydro_reservoir,2030,1,0.0,1.0,24,24,0.0
121,wind,e_demand,2030,1,1.0,1.0,1,1,0.0
122,wind,e_demand,2030,1,1.0,1.0,2,2,0.0
123,wind,e_demand,2030,1,1.0,1.0,3,3,0.0
124,wind,e_demand,2030,1,1.0,1.0,4,4,0.0
125,wind,e_demand,2030,1,1.0,1.0,5,5,0.0
126,wind,e_demand,2030,1,1.0,1.0,6,6,0.0
127,wind,e_demand,2030,1,1.0,1.0,7,7,0.0
128,wind,e_demand,2030,1,1.0,1.0,8,8,0.0
129,wind,e_demand,2030,1,1.0,1.0,9,9,0.0
130,wind,e_demand,2030,1,1.0,1.0,10,10,0.0
131,wind,e_demand,2030,1,1.0,1.0,11,11,0.0
132,wind,e_demand,2030,1,1.0,1.0,12,12,0.0
133,wind,e_demand,2030,1,1.0,1.0,13,13,0.0
134,wind,e_demand,2030,1,1.0,1.0,14,14,0.0
135,wind,e_demand,2030,1,1.0,1.0,15,15,0.0
136,wind,e_demand,2030,1,1.0,1.0,16,16,0.0
137,wind,e_demand,2030,1,1.0,1.0,17,17,0.0
138,wind,e_demand,2030,1,1.0,1.0,18,18,0.0
139,wind,e_demand,2030,1,1.0,1.0,19,19,0.0
140,wind,e_demand,2030,1,1.0,1.0,20,20,0.0
141,wind,e_demand,2030,1,1.0,1.0,21,21,0.0
142,wind,e_demand,2030,1,1.0,1.0,22,22,0.0
143,wind,e_demand,2030,1,1.0,1.0,23,23,0.0
144,wind,e_demand,2030,1,1.0,1.0,24,24,0.0
145,smr_ccs,h2_demand,2030,1,1.0,1.0,1,1,0.0
146,smr_ccs,h2_demand,2030,1,1.0,1.0,2,2,0.0
147,smr_ccs,h2_demand,2030,1,1.0,1.0,3,3,0.0
148,smr_ccs,h2_demand,2030,1,1.0,1.0,4,4,0.0
