id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-20.91073972160947
2,h2_storage,2030,1,2,2,,-20.91073972160947
3,h2_storage,2030,1,3,3,,-20.91073972160947
4,h2_storage,2030,1,4,4,,-20.91073972160947
5,h2_storage,2030,1,5,5,,-20.91073972160947
6,h2_storage,2030,1,6,6,,-20.91073972160947
7,h2_storage,2030,1,7,7,,-20.91073972160947
8,h2_storage,2030,1,8,8,,-20.91073972160947
9,h2_storage,2030,1,9,9,,-20.91073972160947
10,h2_storage,2030,1,10,10,,-20.91073972160947
11,h2_storage,2030,1,11,11,,-20.91073972160947
12,h2_storage,2030,1,12,12,,-20.91073972160947
13,h2_storage,2030,1,13,13,,-20.91073972160947
14,h2_storage,2030,1,14,14,,-20.91073972160947
15,h2_storage,2030,1,15,15,,-20.91073972160947
16,h2_storage,2030,1,16,16,,-20.91073972160947
17,h2_storage,2030,1,17,17,,-20.91073972160947
18,h2_storage,2030,1,18,18,,-20.91073972160947
19,h2_storage,2030,1,19,19,,-20.91073972160947
20,h2_storage,2030,1,20,20,,-20.91073972160947
21,h2_storage,2030,1,21,21,,-20.91073972160947
22,h2_storage,2030,1,22,22,,-20.91073972160947
23,h2_storage,2030,1,23,23,,-20.91073972160947
24,h2_storage,2030,1,24,24,,-20.91073972160947
25,h2_storage,2030,2,1,1,,0.0
26,h2_storage,2030,2,2,2,,0.0
27,h2_storage,2030,2,3,3,,0.0
28,h2_storage,2030,2,4,4,,0.0
29,h2_storage,2030,2,5,5,,0.0
30,h2_storage,2030,2,6,6,,0.0
31,h2_storage,2030,2,7,7,,0.0
32,h2_storage,2030,2,8,8,,0.0
33,h2_storage,2030,2,9,9,,0.0
34,h2_storage,2030,2,10,10,,0.0
35,h2_storage,2030,2,11,11,,0.0
36,h2_storage,2030,2,12,12,,0.0
37,h2_storage,2030,2,13,13,,0.0
38,h2_storage,2030,2,14,14,,0.0
39,h2_storage,2030,2,15,15,,0.0
40,h2_storage,2030,2,16,16,,0.0
41,h2_storage,2030,2,17,17,,0.0
42,h2_storage,2030,2,18,18,,0.0
43,h2_storage,2030,2,19,19,,0.0
44,h2_storage,2030,2,20,20,,0.0
45,h2_storage,2030,2,21,21,,0.0
46,h2_storage,2030,2,22,22,,0.0
47,h2_storage,2030,2,23,23,,0.0
48,h2_storage,2030,2,24,24,,0.0
49,h2_storage,2030,3,1,1,,-0.008400000000000001
50,h2_storage,2030,3,2,2,,-0.008400000000000001
51,h2_storage,2030,3,3,3,,-0.008400000000000001
52,h2_storage,2030,3,4,4,,-0.008400000000000001
53,h2_storage,2030,3,5,5,,-0.008400000000000001
54,h2_storage,2030,3,6,6,,-0.008400000000000001
55,h2_storage,2030,3,7,7,,-0.008400000000000001
56,h2_storage,2030,3,8,8,,-0.008400000000000001
57,h2_storage,2030,3,9,9,,-0.008400000000000001
58,h2_storage,2030,3,10,10,,-0.008400000000000001
59,h2_storage,2030,3,11,11,,-0.008400000000000001
60,h2_storage,2030,3,12,12,,-0.008400000000000001
61,h2_storage,2030,3,13,13,,-0.008400000000000001
62,h2_storage,2030,3,14,14,,-0.008400000000000001
63,h2_storage,2030,3,15,15,,-0.008400000000000001
64,h2_storage,2030,3,16,16,,-0.008400000000000001
65,h2_storage,2030,3,17,17,,-0.008400000000000001
66,h2_storage,2030,3,18,18,,-0.008400000000000001
67,h2_storage,2030,3,19,19,,-0.008400000000000001
68,h2_storage,2030,3,20,20,,-0.008400000000000001
69,h2_storage,2030,3,21,21,,-0.008400000000000001
70,h2_storage,2030,3,22,22,,-0.008400000000000001
71,h2_storage,2030,3,23,23,,-0.008400000000000001
72,h2_storage,2030,3,24,24,,-0.008400000000000001
73,h2_storage,2030,4,1,1,,0.0
74,h2_storage,2030,4,2,2,,0.0
75,h2_storage,2030,4,3,3,,0.0
76,h2_storage,2030,4,4,4,,0.0
77,h2_storage,2030,4,5,5,,0.0
78,h2_storage,2030,4,6,6,,0.0
79,h2_storage,2030,4,7,7,,0.0
80,h2_storage,2030,4,8,8,,0.0
81,h2_storage,2030,4,9,9,,0.0
82,h2_storage,2030,4,10,10,,0.0
83,h2_storage,2030,4,11,11,,0.0
84,h2_storage,2030,4,12,12,,0.0
85,h2_storage,2030,4,13,13,,0.0
86,h2_storage,2030,4,14,14,,0.0
87,h2_storage,2030,4,15,15,,0.0
88,h2_storage,2030,4,16,16,,0.0
89,h2_storage,2030,4,17,17,,0.0
90,h2_storage,2030,4,18,18,,0.0
91,h2_storage,2030,4,19,19,,0.0
92,h2_storage,2030,4,20,20,,0.0
93,h2_storage,2030,4,21,21,,0.0
94,h2_storage,2030,4,22,22,,0.0
95,h2_storage,2030,4,23,23,,0.0
96,h2_storage,2030,4,24,24,,0.0
97,h2_storage,2030,5,1,1,,-0.004900000000000001
98,h2_storage,2030,5,2,2,,-0.004900000000000001
99,h2_storage,2030,5,3,3,,-0.004900000000000001
100,h2_storage,2030,5,4,4,,-0.004900000000000001
101,h2_storage,2030,5,5,5,,-0.004900000000000001
102,h2_storage,2030,5,6,6,,-0.004900000000000001
103,h2_storage,2030,5,7,7,,-0.004900000000000001
104,h2_storage,2030,5,8,8,,-0.004900000000000001
105,h2_storage,2030,5,9,9,,-0.004900000000000001
106,h2_storage,2030,5,10,10,,-0.004900000000000001
107,h2_storage,2030,5,11,11,,-0.004900000000000001
108,h2_storage,2030,5,12,12,,-0.004900000000000001
109,h2_storage,2030,5,13,13,,-0.004900000000000001
110,h2_storage,2030,5,14,14,,-0.004900000000000001
111,h2_storage,2030,5,15,15,,-0.004900000000000001
112,h2_storage,2030,5,16,16,,-0.004900000000000001
113,h2_storage,2030,5,17,17,,-0.004900000000000001
114,h2_storage,2030,5,18,18,,-0.004900000000000001
115,h2_storage,2030,5,19,19,,-0.004900000000000001
