id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,13.296923076923076
2,electrolizer,2030,1,2,2,13.296923076923076
3,electrolizer,2030,1,3,3,13.296923076923076
4,electrolizer,2030,1,4,4,13.296923076923076
5,electrolizer,2030,1,5,5,13.296923076923076
6,electrolizer,2030,1,6,6,13.296923076923076
7,electrolizer,2030,1,7,7,13.296923076923076
8,electrolizer,2030,1,8,8,13.296923076923076
9,electrolizer,2030,1,9,9,13.296923076923076
10,electrolizer,2030,1,10,10,14.73343277221393
11,electrolizer,2030,1,11,11,14.73343277221393
12,electrolizer,2030,1,12,12,14.73343277221393
13,electrolizer,2030,1,13,13,13.296923076923076
14,electrolizer,2030,1,14,14,13.609632349765429
15,electrolizer,2030,1,15,15,14.73343277221393
16,electrolizer,2030,1,16,16,14.73343277221393
17,electrolizer,2030,1,17,17,13.296923076923076
18,electrolizer,2030,1,18,18,14.73343277221393
19,electrolizer,2030,1,19,19,13.296923076923076
20,electrolizer,2030,1,20,20,13.296923076923076
21,electrolizer,2030,1,21,21,13.296923076923076
22,electrolizer,2030,1,22,22,13.296923076923076
23,electrolizer,2030,1,23,23,13.296923076923076
24,electrolizer,2030,1,24,24,13.296923076923076
25,electrolizer,2030,2,1,1,0.01076923076923077
26,electrolizer,2030,2,2,2,0.01076923076923077
27,electrolizer,2030,2,3,3,0.01076923076923077
28,electrolizer,2030,2,4,4,0.01076923076923077
29,electrolizer,2030,2,5,5,0.01076923076923077
30,electrolizer,2030,2,6,6,0.01076923076923077
31,electrolizer,2030,2,7,7,0.01076923076923077
32,electrolizer,2030,2,8,8,0.01076923076923077
33,electrolizer,2030,2,9,9,0.01076923076923077
34,electrolizer,2030,2,10,10,0.01076923076923077
35,electrolizer,2030,2,11,11,0.01076923076923077
36,electrolizer,2030,2,12,12,0.01076923076923077
37,electrolizer,2030,2,13,13,0.01076923076923077
38,electrolizer,2030,2,14,14,0.01076923076923077
39,electrolizer,2030,2,15,15,0.01076923076923077
40,electrolizer,2030,2,16,16,0.01076923076923077
41,electrolizer,2030,2,17,17,0.01076923076923077
42,electrolizer,2030,2,18,18,0.01076923076923077
43,electrolizer,2030,2,19,19,0.01076923076923077
44,electrolizer,2030,2,20,20,0.01076923076923077
45,electrolizer,2030,2,21,21,0.01076923076923077
46,electrolizer,2030,2,22,22,0.01076923076923077
47,electrolizer,2030,2,23,23,0.01076923076923077
48,electrolizer,2030,2,24,24,0.01076923076923077
49,electrolizer,2030,3,1,1,0.01076923076923077
50,electrolizer,2030,3,2,2,0.01076923076923077
51,electrolizer,2030,3,3,3,0.01076923076923077
52,electrolizer,2030,3,4,4,0.01076923076923077
53,electrolizer,2030,3,5,5,0.01076923076923077
54,electrolizer,2030,3,6,6,0.01076923076923077
55,electrolizer,2030,3,7,7,0.01076923076923077
56,electrolizer,2030,3,8,8,0.01076923076923077
57,electrolizer,2030,3,9,9,0.01076923076923077
58,electrolizer,2030,3,10,10,0.01076923076923077
59,electrolizer,2030,3,11,11,0.01076923076923077
60,electrolizer,2030,3,12,12,0.01076923076923077
61,electrolizer,2030,3,13,13,0.01076923076923077
62,electrolizer,2030,3,14,14,0.01076923076923077
63,electrolizer,2030,3,15,15,0.01076923076923077
64,electrolizer,2030,3,16,16,0.01076923076923077
65,electrolizer,2030,3,17,17,0.01076923076923077
66,electrolizer,2030,3,18,18,0.01076923076923077
67,electrolizer,2030,3,19,19,0.01076923076923077
68,electrolizer,2030,3,20,20,0.01076923076923077
69,electrolizer,2030,3,21,21,0.01076923076923077
70,electrolizer,2030,3,22,22,0.01076923076923077
71,electrolizer,2030,3,23,23,0.01076923076923077
72,electrolizer,2030,3,24,24,0.01076923076923077
73,electrolizer,2030,4,1,1,0.01076923076923077
74,electrolizer,2030,4,2,2,0.01076923076923077
75,electrolizer,2030,4,3,3,0.01076923076923077
76,electrolizer,2030,4,4,4,0.01076923076923077
77,electrolizer,2030,4,5,5,0.01076923076923077
78,electrolizer,2030,4,6,6,0.01076923076923077
79,electrolizer,2030,4,7,7,0.01076923076923077
80,electrolizer,2030,4,8,8,0.01076923076923077
81,electrolizer,2030,4,9,9,0.01076923076923077
82,electrolizer,2030,4,10,10,0.01076923076923077
83,electrolizer,2030,4,11,11,0.01076923076923077
84,electrolizer,2030,4,12,12,0.01076923076923077
85,electrolizer,2030,4,13,13,0.01076923076923077
86,electrolizer,2030,4,14,14,0.01076923076923077
87,electrolizer,2030,4,15,15,0.01076923076923077
88,electrolizer,2030,4,16,16,0.01076923076923077
89,electrolizer,2030,4,17,17,0.01076923076923077
90,electrolizer,2030,4,18,18,0.01076923076923077
91,electrolizer,2030,4,19,19,0.01076923076923077
92,electrolizer,2030,4,20,20,0.01076923076923077
93,electrolizer,2030,4,21,21,0.01076923076923077
94,electrolizer,2030,4,22,22,0.01076923076923077
95,electrolizer,2030,4,23,23,0.01076923076923077
96,electrolizer,2030,4,24,24,0.01076923076923077
97,electrolizer,2030,5,1,1,0.022307692307692306
98,electrolizer,2030,5,2,2,0.022307692307692306
99,electrolizer,2030,5,3,3,0.022307692307692306
100,electrolizer,2030,5,4,4,0.022307692307692306
101,electrolizer,2030,5,5,5,0.022307692307692306
102,electrolizer,2030,5,6,6,0.022307692307692306
103,electrolizer,2030,5,7,7,0.022307692307692306
104,electrolizer,2030,5,8,8,0.022307692307692306
105,electrolizer,2030,5,9,9,0.022307692307692306
106,electrolizer,2030,5,10,10,0.022307692307692306
107,electrolizer,2030,5,11,11,0.022307692307692306
108,electrolizer,2030,5,12,12,0.022307692307692306
109,electrolizer,2030,5,13,13,0.022307692307692306
110,electrolizer,2030,5,14,14,0.022307692307692306
