id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,8.2505
2,e_demand,2030,1,2,2,8.2505
3,e_demand,2030,1,3,3,8.2505
4,e_demand,2030,1,4,4,8.2505
5,e_demand,2030,1,5,5,8.2505
6,e_demand,2030,1,6,6,8.2505
7,e_demand,2030,1,7,7,8.2505
8,e_demand,2030,1,8,8,8.2505
9,e_demand,2030,1,9,9,8.2505
10,e_demand,2030,1,10,10,9.141828254847647
11,e_demand,2030,1,11,11,9.141828254847647
12,e_demand,2030,1,12,12,9.141828254847647
13,e_demand,2030,1,13,13,8.2505
14,e_demand,2030,1,14,14,8.70817930989598
15,e_demand,2030,1,15,15,9.141828254847647
16,e_demand,2030,1,16,16,9.141828254847647
17,e_demand,2030,1,17,17,8.2505
18,e_demand,2030,1,18,18,9.141828254847647
19,e_demand,2030,1,19,19,8.2505
20,e_demand,2030,1,20,20,8.2505
21,e_demand,2030,1,21,21,8.2505
22,e_demand,2030,1,22,22,8.2505
23,e_demand,2030,1,23,23,8.2505
24,e_demand,2030,1,24,24,8.2505
25,e_demand,2030,2,1,1,0.007000000000000001
26,e_demand,2030,2,2,2,0.007000000000000001
27,e_demand,2030,2,3,3,0.007000000000000001
28,e_demand,2030,2,4,4,0.007000000000000001
29,e_demand,2030,2,5,5,0.007000000000000001
30,e_demand,2030,2,6,6,0.007000000000000001
31,e_demand,2030,2,7,7,0.007000000000000001
32,e_demand,2030,2,8,8,0.007000000000000001
33,e_demand,2030,2,9,9,0.007000000000000001
34,e_demand,2030,2,10,10,0.007000000000000001
35,e_demand,2030,2,11,11,0.007000000000000001
36,e_demand,2030,2,12,12,0.007000000000000001
37,e_demand,2030,2,13,13,0.007000000000000001
38,e_demand,2030,2,14,14,0.007000000000000001
39,e_demand,2030,2,15,15,0.007000000000000001
40,e_demand,2030,2,16,16,0.007000000000000001
41,e_demand,2030,2,17,17,0.007000000000000001
42,e_demand,2030,2,18,18,0.007000000000000001
43,e_demand,2030,2,19,19,0.007000000000000001
44,e_demand,2030,2,20,20,0.007000000000000001
45,e_demand,2030,2,21,21,0.007000000000000001
46,e_demand,2030,2,22,22,0.007000000000000001
47,e_demand,2030,2,23,23,0.007000000000000001
48,e_demand,2030,2,24,24,0.007000000000000001
49,e_demand,2030,3,1,1,0.0145
50,e_demand,2030,3,2,2,0.0145
51,e_demand,2030,3,3,3,0.0145
