id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,47546.30472600554
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,46811.004726005536
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,45981.95472600553
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,50128.94946284772
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,45614.754726005536
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,42639.35472600554
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,45907.85472600554
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,45010.404726005545
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,51149.00472600554
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,52578.80472600553
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,52578.80472600553
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,52578.80472600553
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,52554.654726005545
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,52578.80472600554
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,52578.80472600553
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,52578.80472600553
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,52218.20472600553
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,52578.80472600553
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,52235.00472600554
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,50853.354726005535
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,49347.95472600553
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,46974.35472600554
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,44843.60472600554
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,48759.80472600554
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.0
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.0
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.0
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.0
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.0
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.0
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.0
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.0
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.0
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.0
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.0
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.0
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.0
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.0
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.0
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.0
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.0
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.0
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.0
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.0
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.0
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.0
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.0
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.0
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.0
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.0
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.0
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.0
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.0
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.0
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.0
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.0
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.10057190360156294
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.10057190360156294
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.10057190360156294
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.10057190360156294
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.10057190360156294
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.10057190360156294
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.10057190360156294
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.10057190360156294
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.10057190360156294
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.10057190360156294
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.10057190360156294
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.10057190360156294
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.10057190360156294
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.10057190360156294
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.10057190360156294
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.10057190360156294
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.10057190360156294
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.10057190360156294
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.10057190360156294
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.10057190360156294
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.10057190360156294
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.10057190360156294
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.10057190360156294
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.10057190360156294
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15472600554086607
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15472600554086607
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15472600554086607
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15472600554086607
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15472600554086607
150,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15472600554086607
151,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.15472600554086607
