id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,14.215384615384618
2,electrolizer,2030,1,2,2,14.215384615384618
3,electrolizer,2030,1,3,3,14.215384615384618
4,electrolizer,2030,1,4,4,14.215384615384618
5,electrolizer,2030,1,5,5,14.215384615384618
6,electrolizer,2030,1,6,6,14.215384615384618
7,electrolizer,2030,1,7,7,14.215384615384618
8,electrolizer,2030,1,8,8,14.215384615384618
9,electrolizer,2030,1,9,9,14.215384615384618
10,electrolizer,2030,1,10,10,15.751118687406779
11,electrolizer,2030,1,11,11,15.493404776784462
12,electrolizer,2030,1,12,12,15.751118687406779
13,electrolizer,2030,1,13,13,14.215384615384618
14,electrolizer,2030,1,14,14,14.215384615384618
15,electrolizer,2030,1,15,15,15.751118687406779
16,electrolizer,2030,1,16,16,15.751118687406779
17,electrolizer,2030,1,17,17,14.215384615384618
18,electrolizer,2030,1,18,18,15.751118687406779
19,electrolizer,2030,1,19,19,14.215384615384618
20,electrolizer,2030,1,20,20,14.215384615384618
21,electrolizer,2030,1,21,21,14.215384615384618
22,electrolizer,2030,1,22,22,14.215384615384618
23,electrolizer,2030,1,23,23,14.215384615384618
24,electrolizer,2030,1,24,24,14.215384615384618
25,electrolizer,2030,2,1,1,0.015384615384615385
26,electrolizer,2030,2,2,2,0.015384615384615385
27,electrolizer,2030,2,3,3,0.015384615384615385
28,electrolizer,2030,2,4,4,0.015384615384615385
29,electrolizer,2030,2,5,5,0.015384615384615385
30,electrolizer,2030,2,6,6,0.015384615384615385
31,electrolizer,2030,2,7,7,0.015384615384615385
32,electrolizer,2030,2,8,8,0.015384615384615385
33,electrolizer,2030,2,9,9,0.015384615384615385
34,electrolizer,2030,2,10,10,0.015384615384615385
35,electrolizer,2030,2,11,11,0.015384615384615385
36,electrolizer,2030,2,12,12,0.015384615384615385
37,electrolizer,2030,2,13,13,0.015384615384615385
38,electrolizer,2030,2,14,14,0.015384615384615385
39,electrolizer,2030,2,15,15,0.015384615384615385
40,electrolizer,2030,2,16,16,0.015384615384615385
41,electrolizer,2030,2,17,17,0.015384615384615385
42,electrolizer,2030,2,18,18,0.015384615384615385
43,electrolizer,2030,2,19,19,0.015384615384615387
44,electrolizer,2030,2,20,20,0.015384615384615385
45,electrolizer,2030,2,21,21,0.015384615384615385
46,electrolizer,2030,2,22,22,0.015384615384615385
47,electrolizer,2030,2,23,23,0.015384615384615385
48,electrolizer,2030,2,24,24,0.015384615384615385
49,electrolizer,2030,3,1,1,0.015384615384615385
50,electrolizer,2030,3,2,2,0.015384615384615385
51,electrolizer,2030,3,3,3,0.015384615384615385
52,electrolizer,2030,3,4,4,0.015384615384615385
53,electrolizer,2030,3,5,5,0.015384615384615385
54,electrolizer,2030,3,6,6,0.015384615384615385
55,electrolizer,2030,3,7,7,0.015384615384615385
56,electrolizer,2030,3,8,8,0.015384615384615385
57,electrolizer,2030,3,9,9,0.015384615384615385
58,electrolizer,2030,3,10,10,0.015384615384615385
59,electrolizer,2030,3,11,11,0.015384615384615385
60,electrolizer,2030,3,12,12,0.015384615384615385
61,electrolizer,2030,3,13,13,0.015384615384615385
62,electrolizer,2030,3,14,14,0.015384615384615385
63,electrolizer,2030,3,15,15,0.015384615384615385
64,electrolizer,2030,3,16,16,0.015384615384615385
65,electrolizer,2030,3,17,17,0.015384615384615385
66,electrolizer,2030,3,18,18,0.015384615384615385
67,electrolizer,2030,3,19,19,0.015384615384615385
68,electrolizer,2030,3,20,20,0.015384615384615385
69,electrolizer,2030,3,21,21,0.015384615384615385
70,electrolizer,2030,3,22,22,0.015384615384615385
71,electrolizer,2030,3,23,23,0.015384615384615385
72,electrolizer,2030,3,24,24,0.015384615384615385
73,electrolizer,2030,4,1,1,0.015384615384615385
74,electrolizer,2030,4,2,2,0.015384615384615385
75,electrolizer,2030,4,3,3,0.015384615384615385
76,electrolizer,2030,4,4,4,0.015384615384615385
77,electrolizer,2030,4,5,5,0.015384615384615385
78,electrolizer,2030,4,6,6,0.015384615384615385
79,electrolizer,2030,4,7,7,0.015384615384615385
80,electrolizer,2030,4,8,8,0.015384615384615385
81,electrolizer,2030,4,9,9,0.015384615384615385
82,electrolizer,2030,4,10,10,0.015384615384615385
83,electrolizer,2030,4,11,11,0.015384615384615385
84,electrolizer,2030,4,12,12,0.015384615384615385
85,electrolizer,2030,4,13,13,0.015384615384615385
86,electrolizer,2030,4,14,14,0.015384615384615385
87,electrolizer,2030,4,15,15,0.015384615384615385
88,electrolizer,2030,4,16,16,0.015384615384615385
89,electrolizer,2030,4,17,17,0.015384615384615385
90,electrolizer,2030,4,18,18,0.015384615384615385
91,electrolizer,2030,4,19,19,0.015384615384615385
92,electrolizer,2030,4,20,20,0.015384615384615385
93,electrolizer,2030,4,21,21,0.015384615384615385
94,electrolizer,2030,4,22,22,0.015384615384615385
95,electrolizer,2030,4,23,23,0.015384615384615385
96,electrolizer,2030,4,24,24,0.015384615384615385
97,electrolizer,2030,5,1,1,0.015384615384615385
98,electrolizer,2030,5,2,2,0.015384615384615385
99,electrolizer,2030,5,3,3,0.015384615384615385
100,electrolizer,2030,5,4,4,0.015384615384615385
101,electrolizer,2030,5,5,5,0.015384615384615385
102,electrolizer,2030,5,6,6,0.015384615384615385
103,electrolizer,2030,5,7,7,0.015384615384615385
104,electrolizer,2030,5,8,8,0.015384615384615385
105,electrolizer,2030,5,9,9,0.015384615384615385
106,electrolizer,2030,5,10,10,0.015384615384615385
107,electrolizer,2030,5,11,11,0.015384615384615385
108,electrolizer,2030,5,12,12,0.015384615384615385
109,electrolizer,2030,5,13,13,0.015384615384615385
110,electrolizer,2030,5,14,14,0.015384615384615387
111,electrolizer,2030,5,15,15,0.015384615384615385
112,electrolizer,2030,5,16,16,0.015384615384615385
113,electrolizer,2030,5,17,17,0.015384615384615385
114,electrolizer,2030,5,18,18,0.015384615384615385
115,electrolizer,2030,5,19,19,0.015384615384615385
116,electrolizer,2030,5,20,20,0.015384615384615385
117,electrolizer,2030,5,21,21,0.015384615384615385
118,electrolizer,2030,5,22,22,0.015384615384615385
119,electrolizer,2030,5,23,23,0.015384615384615385
120,electrolizer,2030,5,24,24,0.015384615384615385
