id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ccgt,e_demand,2030,1,1.0,1.0,1,1,47546.30471877636
26,ccgt,e_demand,2030,1,1.0,1.0,2,2,46811.004718776356
27,ccgt,e_demand,2030,1,1.0,1.0,3,3,50159.84945561852
28,ccgt,e_demand,2030,1,1.0,1.0,4,4,45951.05471877636
29,ccgt,e_demand,2030,1,1.0,1.0,5,5,45614.754718776356
30,ccgt,e_demand,2030,1,1.0,1.0,6,6,42639.35471877636
31,ccgt,e_demand,2030,1,1.0,1.0,7,7,45907.85471877636
32,ccgt,e_demand,2030,1,1.0,1.0,8,8,45010.404718776364
33,ccgt,e_demand,2030,1,1.0,1.0,9,9,51149.00471877636
34,ccgt,e_demand,2030,1,1.0,1.0,10,10,52578.80471877635
35,ccgt,e_demand,2030,1,1.0,1.0,11,11,52578.80471877635
36,ccgt,e_demand,2030,1,1.0,1.0,12,12,52578.80471877635
37,ccgt,e_demand,2030,1,1.0,1.0,13,13,52554.654718776364
38,ccgt,e_demand,2030,1,1.0,1.0,14,14,52578.80471877636
39,ccgt,e_demand,2030,1,1.0,1.0,15,15,52578.80471877635
40,ccgt,e_demand,2030,1,1.0,1.0,16,16,52578.80471877635
41,ccgt,e_demand,2030,1,1.0,1.0,17,17,52218.20471877635
42,ccgt,e_demand,2030,1,1.0,1.0,18,18,52578.80471877635
43,ccgt,e_demand,2030,1,1.0,1.0,19,19,52235.00471877636
44,ccgt,e_demand,2030,1,1.0,1.0,20,20,50853.354718776354
45,ccgt,e_demand,2030,1,1.0,1.0,21,21,49347.95471877635
46,ccgt,e_demand,2030,1,1.0,1.0,22,22,46974.35471877636
47,ccgt,e_demand,2030,1,1.0,1.0,23,23,44843.60471877636
48,ccgt,e_demand,2030,1,1.0,1.0,24,24,48759.80471877636
49,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
50,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
51,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
52,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
53,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
54,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
55,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
56,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
57,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
58,solar,e_demand,2030,1,1.0,1.0,10,10,0.0
59,solar,e_demand,2030,1,1.0,1.0,11,11,0.0
60,solar,e_demand,2030,1,1.0,1.0,12,12,0.0
61,solar,e_demand,2030,1,1.0,1.0,13,13,0.0
62,solar,e_demand,2030,1,1.0,1.0,14,14,0.0
63,solar,e_demand,2030,1,1.0,1.0,15,15,0.0
64,solar,e_demand,2030,1,1.0,1.0,16,16,0.0
65,solar,e_demand,2030,1,1.0,1.0,17,17,0.0
66,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
67,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
68,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
69,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
70,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
71,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
72,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
73,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.15471877635884854
74,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.15471877635884854
75,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.15471877635884854
76,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.15471877635884854
77,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.15471877635884854
78,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.15471877635884854
79,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.15471877635884854
80,e_demand,electrolizer,2030,1,1.0,1.0,8,8,0.15471877635884854
81,e_demand,electrolizer,2030,1,1.0,1.0,9,9,0.15471877635884854
82,e_demand,electrolizer,2030,1,1.0,1.0,10,10,0.15471877635884854
83,e_demand,electrolizer,2030,1,1.0,1.0,11,11,0.15471877635884854
84,e_demand,electrolizer,2030,1,1.0,1.0,12,12,0.15471877635884854
85,e_demand,electrolizer,2030,1,1.0,1.0,13,13,0.15471877635884854
86,e_demand,electrolizer,2030,1,1.0,1.0,14,14,0.15471877635884854
87,e_demand,electrolizer,2030,1,1.0,1.0,15,15,0.15471877635884854
88,e_demand,electrolizer,2030,1,1.0,1.0,16,16,0.15471877635884854
89,e_demand,electrolizer,2030,1,1.0,1.0,17,17,0.15471877635884854
90,e_demand,electrolizer,2030,1,1.0,1.0,18,18,0.15471877635884854
91,e_demand,electrolizer,2030,1,1.0,1.0,19,19,0.15471877635884854
92,e_demand,electrolizer,2030,1,1.0,1.0,20,20,0.15471877635884854
93,e_demand,electrolizer,2030,1,1.0,1.0,21,21,0.15471877635884854
94,e_demand,electrolizer,2030,1,1.0,1.0,22,22,0.15471877635884854
95,e_demand,electrolizer,2030,1,1.0,1.0,23,23,0.15471877635884854
96,e_demand,electrolizer,2030,1,1.0,1.0,24,24,0.15471877635884854
97,wind_offshore,e_demand,2030,1,1.0,1.0,1,1,0.0
98,wind_offshore,e_demand,2030,1,1.0,1.0,2,2,0.0
99,wind_offshore,e_demand,2030,1,1.0,1.0,3,3,0.0
100,wind_offshore,e_demand,2030,1,1.0,1.0,4,4,0.0
101,wind_offshore,e_demand,2030,1,1.0,1.0,5,5,0.0
102,wind_offshore,e_demand,2030,1,1.0,1.0,6,6,0.0
103,wind_offshore,e_demand,2030,1,1.0,1.0,7,7,0.0
104,wind_offshore,e_demand,2030,1,1.0,1.0,8,8,0.0
105,wind_offshore,e_demand,2030,1,1.0,1.0,9,9,0.0
106,wind_offshore,e_demand,2030,1,1.0,1.0,10,10,0.0
107,wind_offshore,e_demand,2030,1,1.0,1.0,11,11,0.0
108,wind_offshore,e_demand,2030,1,1.0,1.0,12,12,0.0
109,wind_offshore,e_demand,2030,1,1.0,1.0,13,13,0.0
110,wind_offshore,e_demand,2030,1,1.0,1.0,14,14,0.0
111,wind_offshore,e_demand,2030,1,1.0,1.0,15,15,0.0
112,wind_offshore,e_demand,2030,1,1.0,1.0,16,16,0.0
113,wind_offshore,e_demand,2030,1,1.0,1.0,17,17,0.0
114,wind_offshore,e_demand,2030,1,1.0,1.0,18,18,0.0
115,wind_offshore,e_demand,2030,1,1.0,1.0,19,19,0.0
116,wind_offshore,e_demand,2030,1,1.0,1.0,20,20,0.0
117,wind_offshore,e_demand,2030,1,1.0,1.0,21,21,0.0
118,wind_offshore,e_demand,2030,1,1.0,1.0,22,22,0.0
119,wind_offshore,e_demand,2030,1,1.0,1.0,23,23,0.0
120,wind_offshore,e_demand,2030,1,1.0,1.0,24,24,0.0
121,battery,e_demand,2030,1,1.0,1.0,1,1,0.0
122,battery,e_demand,2030,1,1.0,1.0,2,2,0.0
123,battery,e_demand,2030,1,1.0,1.0,3,3,0.0
124,battery,e_demand,2030,1,1.0,1.0,4,4,0.0
125,battery,e_demand,2030,1,1.0,1.0,5,5,0.0
126,battery,e_demand,2030,1,1.0,1.0,6,6,0.0
127,battery,e_demand,2030,1,1.0,1.0,7,7,0.0
128,battery,e_demand,2030,1,1.0,1.0,8,8,0.0
129,battery,e_demand,2030,1,1.0,1.0,9,9,0.0
130,battery,e_demand,2030,1,1.0,1.0,10,10,1270.2000000000132
131,battery,e_demand,2030,1,1.0,1.0,11,11,0.750000000008939
132,battery,e_demand,2030,1,1.0,1.0,12,12,1202.7000000000132
133,battery,e_demand,2030,1,1.0,1.0,13,13,0.0
134,battery,e_demand,2030,1,1.0,1.0,14,14,0.0
135,battery,e_demand,2030,1,1.0,1.0,15,15,333.4500000000133
136,battery,e_demand,2030,1,1.0,1.0,16,16,389.55000000000456
137,battery,e_demand,2030,1,1.0,1.0,17,17,0.0
138,battery,e_demand,2030,1,1.0,1.0,18,18,573.9000000000032
139,battery,e_demand,2030,1,1.0,1.0,19,19,0.0
140,battery,e_demand,2030,1,1.0,1.0,20,20,0.0
141,battery,e_demand,2030,1,1.0,1.0,21,21,0.0
142,battery,e_demand,2030,1,1.0,1.0,22,22,0.0
143,battery,e_demand,2030,1,1.0,1.0,23,23,0.0
144,battery,e_demand,2030,1,1.0,1.0,24,24,0.0
145,h2_storage,h2_demand,2030,1,1.0,1.0,1,1,0.0
146,h2_storage,h2_demand,2030,1,1.0,1.0,2,2,0.0
147,h2_storage,h2_demand,2030,1,1.0,1.0,3,3,0.0
148,h2_storage,h2_demand,2030,1,1.0,1.0,4,4,0.0
149,h2_storage,h2_demand,2030,1,1.0,1.0,5,5,0.0
150,h2_storage,h2_demand,2030,1,1.0,1.0,6,6,0.0
151,h2_storage,h2_demand,2030,1,1.0,1.0,7,7,0.0
