id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-27.84104783613249
2,h2_storage,2030,1,2,2,,-27.84104783613249
3,h2_storage,2030,1,3,3,,-27.84104783613249
4,h2_storage,2030,1,4,4,,-27.84104783613249
5,h2_storage,2030,1,5,5,,-27.84104783613249
6,h2_storage,2030,1,6,6,,-27.84104783613249
7,h2_storage,2030,1,7,7,,-27.84104783613249
8,h2_storage,2030,1,8,8,,-27.84104783613249
9,h2_storage,2030,1,9,9,,-27.84104783613249
10,h2_storage,2030,1,10,10,,-27.84104783613249
11,h2_storage,2030,1,11,11,,-27.84104783613249
12,h2_storage,2030,1,12,12,,-27.84104783613249
13,h2_storage,2030,1,13,13,,-27.84104783613249
14,h2_storage,2030,1,14,14,,-27.84104783613249
15,h2_storage,2030,1,15,15,,-27.84104783613249
16,h2_storage,2030,1,16,16,,-27.84104783613249
17,h2_storage,2030,1,17,17,,-27.84104783613249
18,h2_storage,2030,1,18,18,,-27.84104783613249
19,h2_storage,2030,1,19,19,,-27.84104783613249
20,h2_storage,2030,1,20,20,,-27.84104783613249
21,h2_storage,2030,1,21,21,,-27.84104783613249
22,h2_storage,2030,1,22,22,,-27.84104783613249
23,h2_storage,2030,1,23,23,,-27.84104783613249
24,h2_storage,2030,1,24,24,,-27.84104783613249
25,h2_storage,2030,2,1,1,,-0.010000000000000002
26,h2_storage,2030,2,2,2,,-0.010000000000000002
27,h2_storage,2030,2,3,3,,-0.010000000000000002
28,h2_storage,2030,2,4,4,,-0.010000000000000002
29,h2_storage,2030,2,5,5,,-0.010000000000000002
30,h2_storage,2030,2,6,6,,-0.010000000000000002
31,h2_storage,2030,2,7,7,,-0.010000000000000002
32,h2_storage,2030,2,8,8,,-0.010000000000000002
33,h2_storage,2030,2,9,9,,-0.010000000000000002
34,h2_storage,2030,2,10,10,,-0.010000000000000002
35,h2_storage,2030,2,11,11,,-0.010000000000000002
36,h2_storage,2030,2,12,12,,-0.010000000000000002
37,h2_storage,2030,2,13,13,,-0.010000000000000002
38,h2_storage,2030,2,14,14,,-0.010000000000000002
39,h2_storage,2030,2,15,15,,-0.010000000000000002
40,h2_storage,2030,2,16,16,,-0.010000000000000002
41,h2_storage,2030,2,17,17,,-0.010000000000000002
42,h2_storage,2030,2,18,18,,-0.010000000000000002
43,h2_storage,2030,2,19,19,,-0.010000000000000002
44,h2_storage,2030,2,20,20,,-0.010000000000000002
45,h2_storage,2030,2,21,21,,-0.010000000000000002
46,h2_storage,2030,2,22,22,,-0.010000000000000002
47,h2_storage,2030,2,23,23,,-0.010000000000000002
48,h2_storage,2030,2,24,24,,-0.010000000000000002
49,h2_storage,2030,3,1,1,,-0.010000000000000002
50,h2_storage,2030,3,2,2,,-0.010000000000000002
51,h2_storage,2030,3,3,3,,-0.010000000000000002
52,h2_storage,2030,3,4,4,,-0.010000000000000002
53,h2_storage,2030,3,5,5,,-0.010000000000000002
54,h2_storage,2030,3,6,6,,-0.010000000000000002
55,h2_storage,2030,3,7,7,,-0.010000000000000002
56,h2_storage,2030,3,8,8,,-0.010000000000000002
57,h2_storage,2030,3,9,9,,-0.010000000000000002
58,h2_storage,2030,3,10,10,,-0.010000000000000002
59,h2_storage,2030,3,11,11,,-0.010000000000000002
60,h2_storage,2030,3,12,12,,-0.010000000000000002
61,h2_storage,2030,3,13,13,,-0.010000000000000002
62,h2_storage,2030,3,14,14,,-0.010000000000000002
63,h2_storage,2030,3,15,15,,-0.010000000000000002
64,h2_storage,2030,3,16,16,,-0.010000000000000002
65,h2_storage,2030,3,17,17,,-0.010000000000000002
66,h2_storage,2030,3,18,18,,-0.010000000000000002
67,h2_storage,2030,3,19,19,,-0.010000000000000002
68,h2_storage,2030,3,20,20,,-0.010000000000000002
69,h2_storage,2030,3,21,21,,-0.010000000000000002
70,h2_storage,2030,3,22,22,,-0.010000000000000002
71,h2_storage,2030,3,23,23,,-0.010000000000000002
72,h2_storage,2030,3,24,24,,-0.010000000000000002
73,h2_storage,2030,4,1,1,,-0.010000000000000002
74,h2_storage,2030,4,2,2,,-0.010000000000000002
75,h2_storage,2030,4,3,3,,-0.010000000000000002
76,h2_storage,2030,4,4,4,,-0.010000000000000002
77,h2_storage,2030,4,5,5,,-0.010000000000000002
78,h2_storage,2030,4,6,6,,-0.010000000000000002
79,h2_storage,2030,4,7,7,,-0.010000000000000002
80,h2_storage,2030,4,8,8,,-0.010000000000000002
81,h2_storage,2030,4,9,9,,-0.010000000000000002
82,h2_storage,2030,4,10,10,,-0.010000000000000002
83,h2_storage,2030,4,11,11,,-0.010000000000000002
84,h2_storage,2030,4,12,12,,-0.010000000000000002
85,h2_storage,2030,4,13,13,,-0.010000000000000002
86,h2_storage,2030,4,14,14,,-0.010000000000000002
87,h2_storage,2030,4,15,15,,-0.010000000000000002
88,h2_storage,2030,4,16,16,,-0.010000000000000002
89,h2_storage,2030,4,17,17,,-0.010000000000000002
90,h2_storage,2030,4,18,18,,-0.010000000000000002
91,h2_storage,2030,4,19,19,,-0.010000000000000002
92,h2_storage,2030,4,20,20,,-0.010000000000000002
93,h2_storage,2030,4,21,21,,-0.010000000000000002
94,h2_storage,2030,4,22,22,,-0.010000000000000002
95,h2_storage,2030,4,23,23,,-0.010000000000000002
96,h2_storage,2030,4,24,24,,-0.010000000000000002
97,h2_storage,2030,5,1,1,,-0.010000000000000002
98,h2_storage,2030,5,2,2,,-0.010000000000000002
99,h2_storage,2030,5,3,3,,-0.010000000000000002
100,h2_storage,2030,5,4,4,,-0.010000000000000002
101,h2_storage,2030,5,5,5,,-0.010000000000000002
102,h2_storage,2030,5,6,6,,-0.010000000000000002
103,h2_storage,2030,5,7,7,,-0.010000000000000002
104,h2_storage,2030,5,8,8,,-0.010000000000000002
105,h2_storage,2030,5,9,9,,-0.010000000000000002
106,h2_storage,2030,5,10,10,,-0.010000000000000002
107,h2_storage,2030,5,11,11,,-0.010000000000000002
108,h2_storage,2030,5,12,12,,-0.010000000000000002
109,h2_storage,2030,5,13,13,,-0.010000000000000002
110,h2_storage,2030,5,14,14,,-0.010000000000000002
111,h2_storage,2030,5,15,15,,-0.010000000000000002
112,h2_storage,2030,5,16,16,,-0.010000000000000002
113,h2_storage,2030,5,17,17,,-0.010000000000000002
114,h2_storage,2030,5,18,18,,-0.010000000000000002
115,h2_storage,2030,5,19,19,,-0.010000000000000002
116,h2_storage,2030,5,20,20,,-0.010000000000000002
117,h2_storage,2030,5,21,21,,-0.010000000000000002
118,h2_storage,2030,5,22,22,,-0.010000000000000002
119,h2_storage,2030,5,23,23,,-0.010000000000000002
120,h2_storage,2030,5,24,24,,-0.010000000000000002
121,h2_storage,2030,6,1,1,,-0.19137316214666011
122,h2_storage,2030,6,2,2,,-0.19137316214666011
123,h2_storage,2030,6,3,3,,-0.19137316214666011
124,h2_storage,2030,6,4,4,,-0.19137316214666011
125,h2_storage,2030,6,5,5,,-0.19137316214666011
126,h2_storage,2030,6,6,6,,-0.19137316214666011
127,h2_storage,2030,6,7,7,,-0.19137316214666011
128,h2_storage,2030,6,8,8,,-0.19137316214666011
129,h2_storage,2030,6,9,9,,-0.19137316214666011
130,h2_storage,2030,6,10,10,,-0.19137316214666011
131,h2_storage,2030,6,11,11,,-0.19137316214666011
132,h2_storage,2030,6,12,12,,-0.19137316214666011
133,h2_storage,2030,6,13,13,,-0.19137316214666011
