id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-19.730296282476466
2,h2_storage,2030,1,2,2,,-19.730296282476466
3,h2_storage,2030,1,3,3,,-19.730296282476466
4,h2_storage,2030,1,4,4,,-19.730296282476466
5,h2_storage,2030,1,5,5,,-19.730296282476466
6,h2_storage,2030,1,6,6,,-19.730296282476466
7,h2_storage,2030,1,7,7,,-19.730296282476466
8,h2_storage,2030,1,8,8,,-19.730296282476466
9,h2_storage,2030,1,9,9,,-19.730296282476466
10,h2_storage,2030,1,10,10,,-19.730296282476466
11,h2_storage,2030,1,11,11,,-19.730296282476466
12,h2_storage,2030,1,12,12,,-19.730296282476466
13,h2_storage,2030,1,13,13,,-19.730296282476466
14,h2_storage,2030,1,14,14,,-19.730296282476466
15,h2_storage,2030,1,15,15,,-19.730296282476466
16,h2_storage,2030,1,16,16,,-19.730296282476466
17,h2_storage,2030,1,17,17,,-19.730296282476466
18,h2_storage,2030,1,18,18,,-19.730296282476466
19,h2_storage,2030,1,19,19,,-19.730296282476466
20,h2_storage,2030,1,20,20,,-19.730296282476466
21,h2_storage,2030,1,21,21,,-19.730296282476466
22,h2_storage,2030,1,22,22,,-19.730296282476466
23,h2_storage,2030,1,23,23,,-19.730296282476466
24,h2_storage,2030,1,24,24,,-19.730296282476466
25,h2_storage,2030,2,1,1,,-0.0007999999999999999
26,h2_storage,2030,2,2,2,,-0.0007999999999999999
27,h2_storage,2030,2,3,3,,-0.0007999999999999999
28,h2_storage,2030,2,4,4,,-0.0007999999999999999
29,h2_storage,2030,2,5,5,,-0.0007999999999999999
30,h2_storage,2030,2,6,6,,-0.0007999999999999999
31,h2_storage,2030,2,7,7,,-0.0007999999999999999
32,h2_storage,2030,2,8,8,,-0.0007999999999999999
33,h2_storage,2030,2,9,9,,-0.0007999999999999999
34,h2_storage,2030,2,10,10,,-0.0007999999999999999
35,h2_storage,2030,2,11,11,,-0.0007999999999999999
36,h2_storage,2030,2,12,12,,-0.0007999999999999999
37,h2_storage,2030,2,13,13,,-0.0007999999999999999
38,h2_storage,2030,2,14,14,,-0.0007999999999999999
39,h2_storage,2030,2,15,15,,-0.0007999999999999999
40,h2_storage,2030,2,16,16,,-0.0007999999999999999
41,h2_storage,2030,2,17,17,,-0.0007999999999999999
42,h2_storage,2030,2,18,18,,-0.0007999999999999999
43,h2_storage,2030,2,19,19,,-0.0007999999999999999
44,h2_storage,2030,2,20,20,,-0.0007999999999999999
45,h2_storage,2030,2,21,21,,-0.0007999999999999999
46,h2_storage,2030,2,22,22,,-0.0007999999999999999
47,h2_storage,2030,2,23,23,,-0.0007999999999999999
48,h2_storage,2030,2,24,24,,-0.0007999999999999999
49,h2_storage,2030,3,1,1,,-0.09200000000000003
50,h2_storage,2030,3,2,2,,-0.09200000000000003
51,h2_storage,2030,3,3,3,,-0.09200000000000003
52,h2_storage,2030,3,4,4,,-0.09200000000000003
53,h2_storage,2030,3,5,5,,-0.09200000000000003
54,h2_storage,2030,3,6,6,,-0.09200000000000003
55,h2_storage,2030,3,7,7,,-0.09200000000000003
56,h2_storage,2030,3,8,8,,-0.09200000000000003
57,h2_storage,2030,3,9,9,,-0.09200000000000003
58,h2_storage,2030,3,10,10,,-0.09200000000000003
59,h2_storage,2030,3,11,11,,-0.09200000000000003
60,h2_storage,2030,3,12,12,,-0.09200000000000003
61,h2_storage,2030,3,13,13,,-0.09200000000000003
62,h2_storage,2030,3,14,14,,-0.09200000000000003
63,h2_storage,2030,3,15,15,,-0.09200000000000003
64,h2_storage,2030,3,16,16,,-0.09200000000000003
65,h2_storage,2030,3,17,17,,-0.09200000000000003
66,h2_storage,2030,3,18,18,,-0.09200000000000003
67,h2_storage,2030,3,19,19,,-0.09200000000000003
68,h2_storage,2030,3,20,20,,-0.09200000000000003
69,h2_storage,2030,3,21,21,,-0.09200000000000003
70,h2_storage,2030,3,22,22,,-0.09200000000000003
71,h2_storage,2030,3,23,23,,-0.09200000000000003
72,h2_storage,2030,3,24,24,,-0.09200000000000003
73,h2_storage,2030,4,1,1,,-0.0018934911242603548
74,h2_storage,2030,4,2,2,,-0.0018934911242603548
75,h2_storage,2030,4,3,3,,-0.0018934911242603548
76,h2_storage,2030,4,4,4,,-0.0018934911242603548
77,h2_storage,2030,4,5,5,,-0.0018934911242603548
78,h2_storage,2030,4,6,6,,-0.0018934911242603548
79,h2_storage,2030,4,7,7,,-0.0018934911242603548
80,h2_storage,2030,4,8,8,,-0.0018934911242603548
81,h2_storage,2030,4,9,9,,-0.0018934911242603548
82,h2_storage,2030,4,10,10,,-0.0018934911242603548
83,h2_storage,2030,4,11,11,,-0.0018934911242603548
84,h2_storage,2030,4,12,12,,-0.0018934911242603548
85,h2_storage,2030,4,13,13,,-0.0018934911242603548
86,h2_storage,2030,4,14,14,,-0.0018934911242603548
87,h2_storage,2030,4,15,15,,-0.0018934911242603548
88,h2_storage,2030,4,16,16,,-0.0018934911242603548
89,h2_storage,2030,4,17,17,,-0.0018934911242603548
90,h2_storage,2030,4,18,18,,-0.0018934911242603548
91,h2_storage,2030,4,19,19,,-0.0018934911242603548
92,h2_storage,2030,4,20,20,,-0.0018934911242603548
93,h2_storage,2030,4,21,21,,-0.0018934911242603548
94,h2_storage,2030,4,22,22,,-0.0018934911242603548
95,h2_storage,2030,4,23,23,,-0.0018934911242603548
96,h2_storage,2030,4,24,24,,-0.0018934911242603548
97,h2_storage,2030,5,1,1,,-0.04600000000000001
98,h2_storage,2030,5,2,2,,-0.04600000000000001
99,h2_storage,2030,5,3,3,,-0.04600000000000001
100,h2_storage,2030,5,4,4,,-0.04600000000000001
101,h2_storage,2030,5,5,5,,-0.04600000000000001
102,h2_storage,2030,5,6,6,,-0.04600000000000001
103,h2_storage,2030,5,7,7,,-0.04600000000000001
104,h2_storage,2030,5,8,8,,-0.04600000000000001
105,h2_storage,2030,5,9,9,,-0.04600000000000001
106,h2_storage,2030,5,10,10,,-0.04600000000000001
107,h2_storage,2030,5,11,11,,-0.04600000000000001
108,h2_storage,2030,5,12,12,,-0.04600000000000001
109,h2_storage,2030,5,13,13,,-0.04600000000000001
110,h2_storage,2030,5,14,14,,-0.04600000000000001
111,h2_storage,2030,5,15,15,,-0.04600000000000001
112,h2_storage,2030,5,16,16,,-0.04600000000000001
113,h2_storage,2030,5,17,17,,-0.04600000000000001
114,h2_storage,2030,5,18,18,,-0.04600000000000001
115,h2_storage,2030,5,19,19,,-0.04600000000000001
116,h2_storage,2030,5,20,20,,-0.04600000000000001
117,h2_storage,2030,5,21,21,,-0.04600000000000001
118,h2_storage,2030,5,22,22,,-0.04600000000000001
119,h2_storage,2030,5,23,23,,-0.04600000000000001
120,h2_storage,2030,5,24,24,,-0.04600000000000001
121,h2_storage,2030,6,1,1,,-0.04600000000000001
122,h2_storage,2030,6,2,2,,-0.04600000000000001
123,h2_storage,2030,6,3,3,,-0.04600000000000001
124,h2_storage,2030,6,4,4,,-0.04600000000000001
125,h2_storage,2030,6,5,5,,-0.04600000000000001
126,h2_storage,2030,6,6,6,,-0.04600000000000001
127,h2_storage,2030,6,7,7,,-0.04600000000000001
128,h2_storage,2030,6,8,8,,-0.04600000000000001
129,h2_storage,2030,6,9,9,,-0.04600000000000001
130,h2_storage,2030,6,10,10,,-0.04600000000000001
131,h2_storage,2030,6,11,11,,-0.04600000000000001
