id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,529.1886842391716
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,47665.26501587497
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,46868.76501587497
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,46122.06501587497
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,46332.51501587497
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,46260.965015874965
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,42823.56501587497
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,47461.20242123584
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,43576.50242123584
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,48197.32421643927
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,49407.06501587497
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,54136.51921478883
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,54136.51921478883
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,54136.51921478883
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,54136.51921478883
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,54136.51921478883
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,54136.51921478883
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,53619.965015874965
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,54125.465015874965
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,53948.915015874976
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,52601.31501587497
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,50245.715015874965
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,47507.61501587497
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,44996.76501587497
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,48196.86501587497
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.0
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.0
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.0
76,wind,e_demand,2030,1,1.0,1.0,4,4,0.0
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.0
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.0
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.0
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.0
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.0
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.0
83,wind,e_demand,2030,1,1.0,1.0,11,11,0.0
84,wind,e_demand,2030,1,1.0,1.0,12,12,0.0
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.0
86,wind,e_demand,2030,1,1.0,1.0,14,14,0.0
87,wind,e_demand,2030,1,1.0,1.0,15,15,0.0
88,wind,e_demand,2030,1,1.0,1.0,16,16,0.0
89,wind,e_demand,2030,1,1.0,1.0,17,17,0.0
90,wind,e_demand,2030,1,1.0,1.0,18,18,0.0
91,wind,e_demand,2030,1,1.0,1.0,19,19,0.0
92,wind,e_demand,2030,1,1.0,1.0,20,20,0.0
93,wind,e_demand,2030,1,1.0,1.0,21,21,0.0
94,wind,e_demand,2030,1,1.0,1.0,22,22,0.0
95,wind,e_demand,2030,1,1.0,1.0,23,23,0.0
96,wind,e_demand,2030,1,1.0,1.0,24,24,0.0
97,solar,e_demand,2030,1,1.0,1.0,1,1,0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,0.0
105,solar,e_demand,2030,1,1.0,1.0,9,9,0.0
106,solar,e_demand,2030,1,1.0,1.0,10,10,0.0
107,solar,e_demand,2030,1,1.0,1.0,11,11,0.0
108,solar,e_demand,2030,1,1.0,1.0,12,12,0.0
109,solar,e_demand,2030,1,1.0,1.0,13,13,0.0
110,solar,e_demand,2030,1,1.0,1.0,14,14,0.0
111,solar,e_demand,2030,1,1.0,1.0,15,15,0.0
112,solar,e_demand,2030,1,1.0,1.0,16,16,0.0
113,solar,e_demand,2030,1,1.0,1.0,17,17,0.0
114,solar,e_demand,2030,1,1.0,1.0,18,18,0.0
115,solar,e_demand,2030,1,1.0,1.0,19,19,0.0
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.0
117,solar,e_demand,2030,1,1.0,1.0,21,21,0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,0.0
121,electrolizer,h2_demand,2030,1,1.0,1.0,1,1,0.10726031872799216
122,electrolizer,h2_demand,2030,1,1.0,1.0,2,2,0.10726031872799216
123,electrolizer,h2_demand,2030,1,1.0,1.0,3,3,0.10726031872799216
124,electrolizer,h2_demand,2030,1,1.0,1.0,4,4,0.10726031872799216
125,electrolizer,h2_demand,2030,1,1.0,1.0,5,5,0.10726031872799216
126,electrolizer,h2_demand,2030,1,1.0,1.0,6,6,0.10726031872799216
127,electrolizer,h2_demand,2030,1,1.0,1.0,7,7,0.10726031872799216
128,electrolizer,h2_demand,2030,1,1.0,1.0,8,8,0.10726031872799216
129,electrolizer,h2_demand,2030,1,1.0,1.0,9,9,0.10726031872799216
130,electrolizer,h2_demand,2030,1,1.0,1.0,10,10,0.10726031872799216
131,electrolizer,h2_demand,2030,1,1.0,1.0,11,11,0.10726031872799216
132,electrolizer,h2_demand,2030,1,1.0,1.0,12,12,0.02944785275619301
133,electrolizer,h2_demand,2030,1,1.0,1.0,13,13,0.10726031872799216
134,electrolizer,h2_demand,2030,1,1.0,1.0,14,14,0.10726031872799216
135,electrolizer,h2_demand,2030,1,1.0,1.0,15,15,0.10726031872799216
136,electrolizer,h2_demand,2030,1,1.0,1.0,16,16,0.10726031872799216
137,electrolizer,h2_demand,2030,1,1.0,1.0,17,17,0.10726031872799216
138,electrolizer,h2_demand,2030,1,1.0,1.0,18,18,0.10726031872799216
139,electrolizer,h2_demand,2030,1,1.0,1.0,19,19,0.10726031872799216
140,electrolizer,h2_demand,2030,1,1.0,1.0,20,20,0.10726031872799216
141,electrolizer,h2_demand,2030,1,1.0,1.0,21,21,0.10726031872799216
142,electrolizer,h2_demand,2030,1,1.0,1.0,22,22,0.10726031872799216
143,electrolizer,h2_demand,2030,1,1.0,1.0,23,23,0.10726031872799216
144,electrolizer,h2_demand,2030,1,1.0,1.0,24,24,0.10726031872799216
145,e_demand,electrolizer,2030,1,1.0,1.0,1,1,0.16501587496614178
146,e_demand,electrolizer,2030,1,1.0,1.0,2,2,0.16501587496614178
147,e_demand,electrolizer,2030,1,1.0,1.0,3,3,0.16501587496614178
148,e_demand,electrolizer,2030,1,1.0,1.0,4,4,0.16501587496614178
149,e_demand,electrolizer,2030,1,1.0,1.0,5,5,0.16501587496614178
150,e_demand,electrolizer,2030,1,1.0,1.0,6,6,0.16501587496614178
151,e_demand,electrolizer,2030,1,1.0,1.0,7,7,0.16501587496614178
