id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,14.476923076923077
2,electrolizer,2030,1,2,2,14.476923076923077
3,electrolizer,2030,1,3,3,14.476923076923077
4,electrolizer,2030,1,4,4,14.476923076923077
5,electrolizer,2030,1,5,5,14.476923076923077
6,electrolizer,2030,1,6,6,14.476923076923077
7,electrolizer,2030,1,7,7,14.476923076923077
8,electrolizer,2030,1,8,8,14.476923076923077
9,electrolizer,2030,1,9,9,14.476923076923077
10,electrolizer,2030,1,10,10,14.476923076923077
11,electrolizer,2030,1,11,11,16.040911996590665
12,electrolizer,2030,1,12,12,35.816932208000296
13,electrolizer,2030,1,13,13,14.476923076923077
14,electrolizer,2030,1,14,14,14.476923076923077
15,electrolizer,2030,1,15,15,14.476923076923077
16,electrolizer,2030,1,16,16,15.851163140304529
17,electrolizer,2030,1,17,17,14.476923076923077
18,electrolizer,2030,1,18,18,14.476923076923077
19,electrolizer,2030,1,19,19,14.476923076923077
20,electrolizer,2030,1,20,20,14.476923076923077
21,electrolizer,2030,1,21,21,14.476923076923077
22,electrolizer,2030,1,22,22,14.476923076923077
23,electrolizer,2030,1,23,23,14.476923076923077
24,electrolizer,2030,1,24,24,14.476923076923077
25,electrolizer,2030,2,1,1,0.0012307692307692306
26,electrolizer,2030,2,2,2,0.0012307692307692306
27,electrolizer,2030,2,3,3,0.0012307692307692306
28,electrolizer,2030,2,4,4,0.0012307692307692306
29,electrolizer,2030,2,5,5,0.0012307692307692306
30,electrolizer,2030,2,6,6,0.0012307692307692306
31,electrolizer,2030,2,7,7,0.0012307692307692306
32,electrolizer,2030,2,8,8,0.0012307692307692306
33,electrolizer,2030,2,9,9,0.0012307692307692306
34,electrolizer,2030,2,10,10,0.0012307692307692306
35,electrolizer,2030,2,11,11,0.0012307692307692306
36,electrolizer,2030,2,12,12,0.0012307692307692306
37,electrolizer,2030,2,13,13,0.0012307692307692306
38,electrolizer,2030,2,14,14,0.0012307692307692306
39,electrolizer,2030,2,15,15,0.0012307692307692306
40,electrolizer,2030,2,16,16,0.0012307692307692306
41,electrolizer,2030,2,17,17,0.0012307692307692306
42,electrolizer,2030,2,18,18,0.0012307692307692306
43,electrolizer,2030,2,19,19,0.0012307692307692306
44,electrolizer,2030,2,20,20,0.0012307692307692306
45,electrolizer,2030,2,21,21,0.0012307692307692306
46,electrolizer,2030,2,22,22,0.0012307692307692306
47,electrolizer,2030,2,23,23,0.0012307692307692306
48,electrolizer,2030,2,24,24,0.0012307692307692306
49,electrolizer,2030,3,1,1,0.14153846153846156
50,electrolizer,2030,3,2,2,0.14153846153846156
51,electrolizer,2030,3,3,3,0.14153846153846156
52,electrolizer,2030,3,4,4,0.14153846153846156
53,electrolizer,2030,3,5,5,0.14153846153846156
54,electrolizer,2030,3,6,6,0.14153846153846156
55,electrolizer,2030,3,7,7,0.14153846153846156
56,electrolizer,2030,3,8,8,0.14153846153846156
57,electrolizer,2030,3,9,9,0.14153846153846156
58,electrolizer,2030,3,10,10,0.14153846153846156
59,electrolizer,2030,3,11,11,0.14153846153846156
60,electrolizer,2030,3,12,12,0.14153846153846156
61,electrolizer,2030,3,13,13,0.14153846153846156
62,electrolizer,2030,3,14,14,0.14153846153846156
63,electrolizer,2030,3,15,15,0.14153846153846156
64,electrolizer,2030,3,16,16,0.14153846153846156
65,electrolizer,2030,3,17,17,0.14153846153846156
66,electrolizer,2030,3,18,18,0.14153846153846156
67,electrolizer,2030,3,19,19,0.14153846153846156
68,electrolizer,2030,3,20,20,0.14153846153846156
69,electrolizer,2030,3,21,21,0.14153846153846156
70,electrolizer,2030,3,22,22,0.14153846153846156
71,electrolizer,2030,3,23,23,0.14153846153846156
72,electrolizer,2030,3,24,24,0.14153846153846156
73,electrolizer,2030,4,1,1,0.0012307692307692306
74,electrolizer,2030,4,2,2,0.0012307692307692306
