id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-1.1869431388039158
2,h2_storage,2030,1,2,2,,-1.1869431388039158
3,h2_storage,2030,1,3,3,,-1.1869431388039158
4,h2_storage,2030,1,4,4,,-1.1869431388039158
5,h2_storage,2030,1,5,5,,-1.1869431388039158
6,h2_storage,2030,1,6,6,,-1.1869431388039158
7,h2_storage,2030,1,7,7,,-1.1869431388039158
8,h2_storage,2030,1,8,8,,-1.1869431388039158
9,h2_storage,2030,1,9,9,,-1.1869431388039158
10,h2_storage,2030,1,10,10,,-1.1869431388039158
11,h2_storage,2030,1,11,11,,-1.1869431388039158
12,h2_storage,2030,1,12,12,,-1.1869431388039158
13,h2_storage,2030,1,13,13,,-1.1869431388039158
14,h2_storage,2030,1,14,14,,-1.1869431388039158
15,h2_storage,2030,1,15,15,,-1.1869431388039158
16,h2_storage,2030,1,16,16,,-1.1869431388039158
17,h2_storage,2030,1,17,17,,-1.1869431388039158
18,h2_storage,2030,1,18,18,,-1.1869431388039158
19,h2_storage,2030,1,19,19,,-1.1869431388039158
20,h2_storage,2030,1,20,20,,-1.1869431388039158
21,h2_storage,2030,1,21,21,,-1.1869431388039158
22,h2_storage,2030,1,22,22,,-1.1869431388039158
23,h2_storage,2030,1,23,23,,-1.1869431388039158
24,h2_storage,2030,1,24,24,,-1.1869431388039158
25,h2_storage,2030,2,1,1,,-3.4971868995971023
26,h2_storage,2030,2,2,2,,-3.4971868995971023
27,h2_storage,2030,2,3,3,,-3.4971868995971023
28,h2_storage,2030,2,4,4,,-3.4971868995971023
29,h2_storage,2030,2,5,5,,-3.4971868995971023
30,h2_storage,2030,2,6,6,,-3.4971868995971023
31,h2_storage,2030,2,7,7,,-3.4971868995971023
32,h2_storage,2030,2,8,8,,-3.4971868995971023
33,h2_storage,2030,2,9,9,,-3.4971868995971023
34,h2_storage,2030,2,10,10,,-3.4971868995971023
35,h2_storage,2030,2,11,11,,-3.4971868995971023
36,h2_storage,2030,2,12,12,,-3.4971868995971023
37,h2_storage,2030,2,13,13,,-3.4971868995971023
38,h2_storage,2030,2,14,14,,-3.4971868995971023
39,h2_storage,2030,2,15,15,,-3.4971868995971023
40,h2_storage,2030,2,16,16,,-3.4971868995971023
41,h2_storage,2030,2,17,17,,-3.4971868995971023
42,h2_storage,2030,2,18,18,,-3.4971868995971023
43,h2_storage,2030,2,19,19,,-3.4971868995971023
44,h2_storage,2030,2,20,20,,-3.4971868995971023
45,h2_storage,2030,2,21,21,,-3.4971868995971023
46,h2_storage,2030,2,22,22,,-3.4971868995971023
47,h2_storage,2030,2,23,23,,-3.4971868995971023
48,h2_storage,2030,2,24,24,,-3.4971868995971023
49,h2_storage,2030,3,1,1,,-0.29233170737917774
50,h2_storage,2030,3,2,2,,-0.29233170737917774
51,h2_storage,2030,3,3,3,,-0.29233170737917774
52,h2_storage,2030,3,4,4,,-0.29233170737917774
53,h2_storage,2030,3,5,5,,-0.29233170737917774
54,h2_storage,2030,3,6,6,,-0.29233170737917774
55,h2_storage,2030,3,7,7,,-0.29233170737917774
56,h2_storage,2030,3,8,8,,-0.29233170737917774
57,h2_storage,2030,3,9,9,,-0.29233170737917774
58,h2_storage,2030,3,10,10,,-0.29233170737917774
59,h2_storage,2030,3,11,11,,-0.29233170737917774
60,h2_storage,2030,3,12,12,,-0.29233170737917774
61,h2_storage,2030,3,13,13,,-0.29233170737917774
62,h2_storage,2030,3,14,14,,-0.29233170737917774
63,h2_storage,2030,3,15,15,,-0.29233170737917774
64,h2_storage,2030,3,16,16,,-0.29233170737917774
65,h2_storage,2030,3,17,17,,-0.29233170737917774
66,h2_storage,2030,3,18,18,,-0.29233170737917774
67,h2_storage,2030,3,19,19,,-0.29233170737917774
68,h2_storage,2030,3,20,20,,-0.29233170737917774
69,h2_storage,2030,3,21,21,,-0.29233170737917774
70,h2_storage,2030,3,22,22,,-0.29233170737917774
71,h2_storage,2030,3,23,23,,-0.29233170737917774
72,h2_storage,2030,3,24,24,,-0.29233170737917774
73,h2_storage,2030,4,1,1,,-1.3940919956676783
74,h2_storage,2030,4,2,2,,-1.3940919956676783
75,h2_storage,2030,4,3,3,,-1.3940919956676783
76,h2_storage,2030,4,4,4,,-1.3940919956676783
77,h2_storage,2030,4,5,5,,-1.3940919956676783
78,h2_storage,2030,4,6,6,,-1.3940919956676783
79,h2_storage,2030,4,7,7,,-1.3940919956676783
80,h2_storage,2030,4,8,8,,-1.3940919956676783
81,h2_storage,2030,4,9,9,,-1.3940919956676783
82,h2_storage,2030,4,10,10,,-1.3940919956676783
83,h2_storage,2030,4,11,11,,-1.3940919956676783
84,h2_storage,2030,4,12,12,,-1.3940919956676783
85,h2_storage,2030,4,13,13,,-1.3940919956676783
86,h2_storage,2030,4,14,14,,-1.3940919956676783
87,h2_storage,2030,4,15,15,,-1.3940919956676783
88,h2_storage,2030,4,16,16,,-1.3940919956676783
89,h2_storage,2030,4,17,17,,-1.3940919956676783
90,h2_storage,2030,4,18,18,,-1.3940919956676783
91,h2_storage,2030,4,19,19,,-1.3940919956676783
92,h2_storage,2030,4,20,20,,-1.3940919956676783
93,h2_storage,2030,4,21,21,,-1.3940919956676783
94,h2_storage,2030,4,22,22,,-1.3940919956676783
95,h2_storage,2030,4,23,23,,-1.3940919956676783
96,h2_storage,2030,4,24,24,,-1.3940919956676783
97,h2_storage,2030,5,1,1,,-0.5790137684129789
98,h2_storage,2030,5,2,2,,-0.5790137684129789
99,h2_storage,2030,5,3,3,,-0.5790137684129789
100,h2_storage,2030,5,4,4,,-0.5790137684129789
101,h2_storage,2030,5,5,5,,-0.5790137684129789
102,h2_storage,2030,5,6,6,,-0.5790137684129789
103,h2_storage,2030,5,7,7,,-0.5790137684129789
104,h2_storage,2030,5,8,8,,-0.5790137684129789
105,h2_storage,2030,5,9,9,,-0.5790137684129789
106,h2_storage,2030,5,10,10,,-0.5790137684129789
107,h2_storage,2030,5,11,11,,-0.5790137684129789
108,h2_storage,2030,5,12,12,,-0.5790137684129789
