id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.007979541061873497
2,electrolizer,2030,1,2,2,0.007979541061873497
3,electrolizer,2030,1,3,3,0.007979541061873497
4,electrolizer,2030,1,4,4,0.007979541061873497
5,electrolizer,2030,1,5,5,0.007979541061873497
6,electrolizer,2030,1,6,6,0.007979541061873497
7,electrolizer,2030,1,7,7,0.19948852654683746
8,electrolizer,2030,1,8,8,0.19948852654683746
9,electrolizer,2030,1,9,9,0.19948852654683746
10,electrolizer,2030,1,10,10,0.19948852654683746
11,electrolizer,2030,1,11,11,0.19948852654683746
12,electrolizer,2030,1,12,12,0.19948852654683746
13,electrolizer,2030,1,13,13,0.19948852654683746
14,electrolizer,2030,1,14,14,0.19948852654683746
15,electrolizer,2030,1,15,15,0.19948852654683746
16,electrolizer,2030,1,16,16,0.19948852654683746
17,electrolizer,2030,1,17,17,0.19948852654683746
18,electrolizer,2030,1,18,18,0.19948852654683746
19,electrolizer,2030,1,19,19,0.19948852654683746
20,electrolizer,2030,1,20,20,0.19948852654683746
21,electrolizer,2030,1,21,21,0.19948852654683746
22,electrolizer,2030,1,22,22,0.19948852654683746
23,electrolizer,2030,1,23,23,0.19948852654683746
24,electrolizer,2030,1,24,24,0.19948852654683746
25,electrolizer,2030,2,1,1,0.5877692358224931
26,electrolizer,2030,2,2,2,0.5877692358224931
27,electrolizer,2030,2,3,3,0.5877692358224931
28,electrolizer,2030,2,4,4,0.5877692358224931
29,electrolizer,2030,2,5,5,0.5877692358224931
30,electrolizer,2030,2,6,6,0.5877692358224931
31,electrolizer,2030,2,7,7,0.5877692358224931
32,electrolizer,2030,2,8,8,0.8228769301514905
33,electrolizer,2030,2,9,9,5.380287537841694
34,electrolizer,2030,2,10,10,5.380287537841694
35,electrolizer,2030,2,11,11,5.380287537841694
36,electrolizer,2030,2,12,12,5.380287537841694
37,electrolizer,2030,2,13,13,5.380287537841694
38,electrolizer,2030,2,14,14,5.380287537841694
39,electrolizer,2030,2,15,15,5.380287537841694
40,electrolizer,2030,2,16,16,5.172769826194393
41,electrolizer,2030,2,17,17,0.5877692358224931
42,electrolizer,2030,2,18,18,0.5877692358224931
43,electrolizer,2030,2,19,19,0.5877692358224931
44,electrolizer,2030,2,20,20,0.5877692358224931
45,electrolizer,2030,2,21,21,0.5877692358224931
46,electrolizer,2030,2,22,22,0.5877692358224931
47,electrolizer,2030,2,23,23,0.5877692358224931
48,electrolizer,2030,2,24,24,0.5877692358224931
49,electrolizer,2030,3,1,1,0.049131942096871946
50,electrolizer,2030,3,2,2,0.049131942096871946
51,electrolizer,2030,3,3,3,0.049131942096871946
52,electrolizer,2030,3,4,4,0.049131942096871946
53,electrolizer,2030,3,5,5,0.049131942096871946
54,electrolizer,2030,3,6,6,0.049131942096871946
55,electrolizer,2030,3,7,7,0.049131942096871946
56,electrolizer,2030,3,8,8,0.049131942096871946
57,electrolizer,2030,3,9,9,0.049131942096871946
58,electrolizer,2030,3,10,10,0.049131942096871946
59,electrolizer,2030,3,11,11,0.049131942096871946
60,electrolizer,2030,3,12,12,0.049131942096871946
61,electrolizer,2030,3,13,13,0.049131942096871946
62,electrolizer,2030,3,14,14,0.049131942096871946
63,electrolizer,2030,3,15,15,0.049131942096871946
64,electrolizer,2030,3,16,16,0.049131942096871946
65,electrolizer,2030,3,17,17,0.049131942096871946
66,electrolizer,2030,3,18,18,0.049131942096871946
67,electrolizer,2030,3,19,19,0.049131942096871946
68,electrolizer,2030,3,20,20,0.049131942096871946
69,electrolizer,2030,3,21,21,0.049131942096871946
70,electrolizer,2030,3,22,22,0.049131942096871946
71,electrolizer,2030,3,23,23,0.049131942096871946
72,electrolizer,2030,3,24,24,0.001965277683874878
73,electrolizer,2030,4,1,1,0.2343038592115984
74,electrolizer,2030,4,2,2,0.2343038592115984
75,electrolizer,2030,4,3,3,0.2343038592115984
76,electrolizer,2030,4,4,4,0.2343038592115984
77,electrolizer,2030,4,5,5,0.2343038592115984
