id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution
1,h2_storage,2030,1,1,1,0.002044830038637651
2,h2_storage,2030,1,2,2,0.004089660077275306
3,h2_storage,2030,1,3,3,0.006134490115912958
4,h2_storage,2030,1,4,4,0.008179320154550612
5,h2_storage,2030,1,5,5,0.010224150193188265
6,h2_storage,2030,1,6,6,0.012268980231825918
7,h2_storage,2030,1,7,7,0.01431381027046357
8,h2_storage,2030,1,8,8,0.016358640309101224
9,h2_storage,2030,1,9,9,0.018403470347738884
10,h2_storage,2030,1,10,10,0.020448300386376534
11,h2_storage,2030,1,11,11,0.022493130425014184
12,h2_storage,2030,1,12,12,0.024537960463651837
13,h2_storage,2030,1,13,13,0.02658279050228949
14,h2_storage,2030,1,14,14,0.028627620540927143
15,h2_storage,2030,1,15,15,0.030672450579564796
16,h2_storage,2030,1,16,16,0.032717280618202615
17,h2_storage,2030,1,17,17,0.03476211065684021
18,h2_storage,2030,1,18,18,0.036806940695477866
19,h2_storage,2030,1,19,19,0.03885177073411552
20,h2_storage,2030,1,20,20,0.04089660077275317
21,h2_storage,2030,1,21,21,0.042941430811390825
22,h2_storage,2030,1,22,22,0.04498626085002848
23,h2_storage,2030,1,23,23,0.047031090888666145
24,h2_storage,2030,1,24,24,0.0490759209273038
25,h2_storage,2030,2,1,1,0.002044830038637651
26,h2_storage,2030,2,2,2,0.004089660077275306
27,h2_storage,2030,2,3,3,0.006134490115912958
28,h2_storage,2030,2,4,4,0.008179320154550612
29,h2_storage,2030,2,5,5,0.010224150193188264
30,h2_storage,2030,2,6,6,0.012268980231825915
31,h2_storage,2030,2,7,7,0.014313810270463568
32,h2_storage,2030,2,8,8,0.016358640309101228
33,h2_storage,2030,2,9,9,0.016358640309101228
34,h2_storage,2030,2,10,10,0.016358640309101228
35,h2_storage,2030,2,11,11,0.016358640309101228
36,h2_storage,2030,2,12,12,0.016358640309101228
37,h2_storage,2030,2,13,13,0.016358640309101228
38,h2_storage,2030,2,14,14,0.016358640309101228
39,h2_storage,2030,2,15,15,0.016358640309101228
40,h2_storage,2030,2,16,16,0.016358640309101228
41,h2_storage,2030,2,17,17,0.018403470347738878
42,h2_storage,2030,2,18,18,0.020448300386376527
43,h2_storage,2030,2,19,19,0.022493130425014184
44,h2_storage,2030,2,20,20,0.024537960463651833
45,h2_storage,2030,2,21,21,0.026582790502289486
46,h2_storage,2030,2,22,22,0.028627620540927143
47,h2_storage,2030,2,23,23,0.0306724505795648
48,h2_storage,2030,2,24,24,0.03271728061820245
49,h2_storage,2030,3,1,1,0.002044830038637651
50,h2_storage,2030,3,2,2,0.004089660077275306
