id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.01596153846153846
2,electrolizer,2030,1,2,2,0.01596153846153846
3,electrolizer,2030,1,3,3,0.01596153846153846
4,electrolizer,2030,1,4,4,0.01596153846153846
5,electrolizer,2030,1,5,5,0.01596153846153846
6,electrolizer,2030,1,6,6,0.01596153846153846
7,electrolizer,2030,1,7,7,0.01596153846153846
8,electrolizer,2030,1,8,8,0.01596153846153846
9,electrolizer,2030,1,9,9,0.01596153846153846
10,electrolizer,2030,1,10,10,0.01596153846153846
11,electrolizer,2030,1,11,11,0.01596153846153846
12,electrolizer,2030,1,12,12,0.01596153846153846
13,electrolizer,2030,1,13,13,0.01596153846153846
14,electrolizer,2030,1,14,14,0.01596153846153846
15,electrolizer,2030,1,15,15,0.01596153846153846
16,electrolizer,2030,1,16,16,0.01596153846153846
17,electrolizer,2030,1,17,17,0.01596153846153846
18,electrolizer,2030,1,18,18,0.01596153846153846
19,electrolizer,2030,1,19,19,0.01596153846153846
20,electrolizer,2030,1,20,20,0.01596153846153846
21,electrolizer,2030,1,21,21,0.01596153846153846
22,electrolizer,2030,1,22,22,0.01596153846153846
23,electrolizer,2030,1,23,23,0.01596153846153846
24,electrolizer,2030,1,24,24,0.01596153846153846
25,electrolizer,2030,1,25,25,0.01596153846153846
26,electrolizer,2030,1,26,26,0.01596153846153846
27,electrolizer,2030,1,27,27,0.01596153846153846
28,electrolizer,2030,1,28,28,0.01596153846153846
29,electrolizer,2030,1,29,29,0.01596153846153846
30,electrolizer,2030,1,30,30,0.01596153846153846
31,electrolizer,2030,1,31,31,0.01596153846153846
32,electrolizer,2030,1,32,32,0.01596153846153846
33,electrolizer,2030,1,33,33,0.01596153846153846
34,electrolizer,2030,1,34,34,0.01596153846153846
35,electrolizer,2030,1,35,35,0.01596153846153846
36,electrolizer,2030,1,36,36,0.01596153846153846
37,electrolizer,2030,1,37,37,0.01596153846153846
38,electrolizer,2030,1,38,38,0.01596153846153846
39,electrolizer,2030,1,39,39,0.01596153846153846
40,electrolizer,2030,1,40,40,0.01596153846153846
41,electrolizer,2030,1,41,41,0.01596153846153846
42,electrolizer,2030,1,42,42,0.01596153846153846
43,electrolizer,2030,1,43,43,0.01596153846153846
44,electrolizer,2030,1,44,44,0.01596153846153846
45,electrolizer,2030,1,45,45,0.01596153846153846
46,electrolizer,2030,1,46,46,0.01596153846153846
47,electrolizer,2030,1,47,47,0.01596153846153846
48,electrolizer,2030,1,48,48,0.01596153846153846
49,electrolizer,2030,1,49,49,0.01596153846153846
50,electrolizer,2030,1,50,50,0.01596153846153846
51,electrolizer,2030,1,51,51,0.01596153846153846
52,electrolizer,2030,1,52,52,0.01596153846153846
53,electrolizer,2030,1,53,53,0.01596153846153846
54,electrolizer,2030,1,54,54,0.01596153846153846
55,electrolizer,2030,1,55,55,0.01596153846153846
56,electrolizer,2030,1,56,56,0.01596153846153846
57,electrolizer,2030,1,57,57,0.01596153846153846
58,electrolizer,2030,1,58,58,0.01596153846153846
59,electrolizer,2030,1,59,59,0.01596153846153846
60,electrolizer,2030,1,60,60,0.01596153846153846
61,electrolizer,2030,1,61,61,0.01596153846153846
62,electrolizer,2030,1,62,62,0.01596153846153846
63,electrolizer,2030,1,63,63,0.01596153846153846
64,electrolizer,2030,1,64,64,0.01596153846153846
65,electrolizer,2030,1,65,65,0.01596153846153846
66,electrolizer,2030,1,66,66,0.01596153846153846
67,electrolizer,2030,1,67,67,0.01596153846153846
68,electrolizer,2030,1,68,68,0.01596153846153846
69,electrolizer,2030,1,69,69,0.01596153846153846
70,electrolizer,2030,1,70,70,0.01596153846153846
71,electrolizer,2030,1,71,71,0.01596153846153846
72,electrolizer,2030,1,72,72,0.01596153846153846
73,electrolizer,2030,1,73,73,0.01596153846153846
74,electrolizer,2030,1,74,74,0.01596153846153846
75,electrolizer,2030,1,75,75,0.01596153846153846
76,electrolizer,2030,1,76,76,0.01596153846153846
77,electrolizer,2030,1,77,77,0.01596153846153846
78,electrolizer,2030,1,78,78,0.01596153846153846
79,electrolizer,2030,1,79,79,0.01596153846153846
80,electrolizer,2030,1,80,80,0.01596153846153846
81,electrolizer,2030,1,81,81,0.01596153846153846
82,electrolizer,2030,1,82,82,0.01596153846153846
83,electrolizer,2030,1,83,83,0.01596153846153846
84,electrolizer,2030,1,84,84,0.01596153846153846
85,electrolizer,2030,1,85,85,0.01596153846153846
86,electrolizer,2030,1,86,86,0.01596153846153846
87,electrolizer,2030,1,87,87,0.01596153846153846
88,electrolizer,2030,1,88,88,0.01596153846153846
89,electrolizer,2030,1,89,89,0.01596153846153846
90,electrolizer,2030,1,90,90,0.01596153846153846
91,electrolizer,2030,1,91,91,0.01596153846153846
92,electrolizer,2030,1,92,92,0.01596153846153846
