id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_accumulated_storage_intra_period
1,h2_storage,2030,1,1,1,,-25.77739847396867
2,h2_storage,2030,1,2,2,,-25.77739847396867
3,h2_storage,2030,1,3,3,,-25.77739847396867
4,h2_storage,2030,1,4,4,,-25.77739847396867
5,h2_storage,2030,1,5,5,,-25.77739847396867
6,h2_storage,2030,1,6,6,,-25.77739847396867
7,h2_storage,2030,1,7,7,,-25.77739847396867
8,h2_storage,2030,1,8,8,,-25.77739847396867
9,h2_storage,2030,1,9,9,,-25.77739847396867
10,h2_storage,2030,1,10,10,,-25.77739847396867
11,h2_storage,2030,1,11,11,,-25.77739847396867
12,h2_storage,2030,1,12,12,,-25.77739847396867
13,h2_storage,2030,1,13,13,,-25.77739847396867
14,h2_storage,2030,1,14,14,,-25.77739847396867
15,h2_storage,2030,1,15,15,,-25.77739847396867
16,h2_storage,2030,1,16,16,,-25.77739847396867
17,h2_storage,2030,1,17,17,,-25.77739847396867
18,h2_storage,2030,1,18,18,,-25.77739847396867
19,h2_storage,2030,1,19,19,,-25.77739847396867
20,h2_storage,2030,1,20,20,,-25.77739847396867
21,h2_storage,2030,1,21,21,,-25.77739847396867
22,h2_storage,2030,1,22,22,,-25.77739847396867
23,h2_storage,2030,1,23,23,,-25.77739847396867
24,h2_storage,2030,1,24,24,,-25.77739847396867
25,h2_storage,2030,2,1,1,,-0.03550295857988165
26,h2_storage,2030,2,2,2,,-0.03550295857988165
27,h2_storage,2030,2,3,3,,-0.03550295857988165
28,h2_storage,2030,2,4,4,,-0.03550295857988165
29,h2_storage,2030,2,5,5,,-0.03550295857988165
30,h2_storage,2030,2,6,6,,-0.03550295857988165
31,h2_storage,2030,2,7,7,,-0.03550295857988165
32,h2_storage,2030,2,8,8,,-0.03550295857988165
33,h2_storage,2030,2,9,9,,-0.03550295857988165
34,h2_storage,2030,2,10,10,,-0.03550295857988165
35,h2_storage,2030,2,11,11,,-0.03550295857988165
36,h2_storage,2030,2,12,12,,-0.03550295857988165
37,h2_storage,2030,2,13,13,,-0.03550295857988165
38,h2_storage,2030,2,14,14,,-0.03550295857988165
39,h2_storage,2030,2,15,15,,-0.03550295857988165
40,h2_storage,2030,2,16,16,,-0.03550295857988165
41,h2_storage,2030,2,17,17,,-0.03550295857988165
42,h2_storage,2030,2,18,18,,-0.03550295857988165
43,h2_storage,2030,2,19,19,,-0.03550295857988165
44,h2_storage,2030,2,20,20,,-0.03550295857988165
45,h2_storage,2030,2,21,21,,-0.03550295857988165
46,h2_storage,2030,2,22,22,,-0.03550295857988165
47,h2_storage,2030,2,23,23,,-0.03550295857988165
48,h2_storage,2030,2,24,24,,-0.03550295857988165
49,h2_storage,2030,3,1,1,,-0.01523809523809524
50,h2_storage,2030,3,2,2,,-0.01523809523809524
51,h2_storage,2030,3,3,3,,-0.01523809523809524
52,h2_storage,2030,3,4,4,,-0.01523809523809524
53,h2_storage,2030,3,5,5,,-0.01523809523809524
54,h2_storage,2030,3,6,6,,-0.01523809523809524
55,h2_storage,2030,3,7,7,,-0.01523809523809524
56,h2_storage,2030,3,8,8,,-0.01523809523809524
57,h2_storage,2030,3,9,9,,-0.01523809523809524
58,h2_storage,2030,3,10,10,,-0.01523809523809524
59,h2_storage,2030,3,11,11,,-0.01523809523809524
60,h2_storage,2030,3,12,12,,-0.01523809523809524
61,h2_storage,2030,3,13,13,,-0.01523809523809524
62,h2_storage,2030,3,14,14,,-0.01523809523809524
63,h2_storage,2030,3,15,15,,-0.01523809523809524
64,h2_storage,2030,3,16,16,,-0.01523809523809524
65,h2_storage,2030,3,17,17,,-0.01523809523809524
66,h2_storage,2030,3,18,18,,-0.01523809523809524
67,h2_storage,2030,3,19,19,,-0.01523809523809524
68,h2_storage,2030,3,20,20,,-0.01523809523809524
69,h2_storage,2030,3,21,21,,-0.01523809523809524
70,h2_storage,2030,3,22,22,,-0.01523809523809524
71,h2_storage,2030,3,23,23,,-0.01523809523809524
72,h2_storage,2030,3,24,24,,-0.01523809523809524
73,h2_storage,2030,4,1,1,,-0.046773739081431384
74,h2_storage,2030,4,2,2,,-0.046773739081431384
75,h2_storage,2030,4,3,3,,-0.046773739081431384
76,h2_storage,2030,4,4,4,,-0.046773739081431384
77,h2_storage,2030,4,5,5,,-0.046773739081431384
78,h2_storage,2030,4,6,6,,-0.046773739081431384
79,h2_storage,2030,4,7,7,,-0.046773739081431384
