id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,8.698
2,e_demand,2030,1,2,2,8.698
3,e_demand,2030,1,3,3,8.698
4,e_demand,2030,1,4,4,8.698
5,e_demand,2030,1,5,5,8.698
6,e_demand,2030,1,6,6,8.698
7,e_demand,2030,1,7,7,8.698
8,e_demand,2030,1,8,8,8.698
9,e_demand,2030,1,9,9,26.008924657849427
10,e_demand,2030,1,10,10,26.008924657849427
11,e_demand,2030,1,11,11,26.008924657849427
12,e_demand,2030,1,12,12,26.008924657849427
13,e_demand,2030,1,13,13,20.202426403504465
14,e_demand,2030,1,14,14,22.384960003883062
15,e_demand,2030,1,15,15,22.384960003883062
16,e_demand,2030,1,16,16,8.698
17,e_demand,2030,1,17,17,9.637673130193907
18,e_demand,2030,1,18,18,8.698
19,e_demand,2030,1,19,19,8.698
20,e_demand,2030,1,20,20,8.698
21,e_demand,2030,1,21,21,8.698
22,e_demand,2030,1,22,22,8.698
23,e_demand,2030,1,23,23,8.698
24,e_demand,2030,1,24,24,8.698
25,e_demand,2030,2,1,1,0.009000000000000003
26,e_demand,2030,2,2,2,0.009000000000000003
27,e_demand,2030,2,3,3,0.009000000000000003
28,e_demand,2030,2,4,4,0.009000000000000003
29,e_demand,2030,2,5,5,0.009000000000000003
30,e_demand,2030,2,6,6,0.009000000000000003
31,e_demand,2030,2,7,7,0.009000000000000003
32,e_demand,2030,2,8,8,0.009000000000000003
33,e_demand,2030,2,9,9,0.009000000000000003
34,e_demand,2030,2,10,10,0.009000000000000003
35,e_demand,2030,2,11,11,0.009000000000000003
36,e_demand,2030,2,12,12,0.009000000000000003
37,e_demand,2030,2,13,13,0.009000000000000003
38,e_demand,2030,2,14,14,0.009000000000000003
39,e_demand,2030,2,15,15,0.009000000000000003
40,e_demand,2030,2,16,16,0.009000000000000003
41,e_demand,2030,2,17,17,0.009000000000000003
42,e_demand,2030,2,18,18,0.009000000000000003
43,e_demand,2030,2,19,19,0.009000000000000003
44,e_demand,2030,2,20,20,0.009000000000000003
45,e_demand,2030,2,21,21,0.009000000000000003
46,e_demand,2030,2,22,22,0.009000000000000003
47,e_demand,2030,2,23,23,0.009000000000000003
48,e_demand,2030,2,24,24,0.009000000000000003
49,e_demand,2030,3,1,1,0.009000000000000003
50,e_demand,2030,3,2,2,0.009000000000000003
51,e_demand,2030,3,3,3,0.009000000000000003
52,e_demand,2030,3,4,4,0.009000000000000003
53,e_demand,2030,3,5,5,0.009000000000000003
54,e_demand,2030,3,6,6,0.009000000000000003
55,e_demand,2030,3,7,7,0.009000000000000003
56,e_demand,2030,3,8,8,0.009000000000000003
57,e_demand,2030,3,9,9,0.009000000000000003
58,e_demand,2030,3,10,10,0.009000000000000003
59,e_demand,2030,3,11,11,0.009000000000000003
60,e_demand,2030,3,12,12,0.009000000000000003
61,e_demand,2030,3,13,13,0.009000000000000003
62,e_demand,2030,3,14,14,0.009000000000000003
63,e_demand,2030,3,15,15,0.009000000000000003
64,e_demand,2030,3,16,16,0.009000000000000003
65,e_demand,2030,3,17,17,0.009000000000000003
66,e_demand,2030,3,18,18,0.009000000000000003
67,e_demand,2030,3,19,19,0.009000000000000003
68,e_demand,2030,3,20,20,0.009000000000000003
69,e_demand,2030,3,21,21,0.009000000000000003
70,e_demand,2030,3,22,22,0.009000000000000003
71,e_demand,2030,3,23,23,0.009000000000000003
72,e_demand,2030,3,24,24,0.009000000000000003
73,e_demand,2030,4,1,1,0.009000000000000003
74,e_demand,2030,4,2,2,0.009000000000000003
75,e_demand,2030,4,3,3,0.009000000000000003
76,e_demand,2030,4,4,4,0.009000000000000003
77,e_demand,2030,4,5,5,0.009000000000000003
78,e_demand,2030,4,6,6,0.009000000000000003
79,e_demand,2030,4,7,7,0.009000000000000003
80,e_demand,2030,4,8,8,0.009000000000000003
81,e_demand,2030,4,9,9,0.009000000000000003
82,e_demand,2030,4,10,10,0.009000000000000003
83,e_demand,2030,4,11,11,0.009000000000000003
84,e_demand,2030,4,12,12,0.009000000000000003
85,e_demand,2030,4,13,13,0.009000000000000003
86,e_demand,2030,4,14,14,0.009972299168975072
87,e_demand,2030,4,15,15,0.009972299168975072
88,e_demand,2030,4,16,16,0.009000000000000003
89,e_demand,2030,4,17,17,0.009000000000000003
90,e_demand,2030,4,18,18,0.009000000000000003
91,e_demand,2030,4,19,19,0.009000000000000003
92,e_demand,2030,4,20,20,0.009000000000000003
93,e_demand,2030,4,21,21,0.009000000000000003
94,e_demand,2030,4,22,22,0.009000000000000003
95,e_demand,2030,4,23,23,0.009000000000000003
96,e_demand,2030,4,24,24,0.009000000000000003
97,e_demand,2030,5,1,1,0.009000000000000003
98,e_demand,2030,5,2,2,0.009000000000000003
99,e_demand,2030,5,3,3,0.009000000000000003
100,e_demand,2030,5,4,4,0.009000000000000003
101,e_demand,2030,5,5,5,0.009000000000000003
102,e_demand,2030,5,6,6,0.009000000000000003
103,e_demand,2030,5,7,7,0.009000000000000003
104,e_demand,2030,5,8,8,0.009000000000000003
105,e_demand,2030,5,9,9,0.009000000000000003
106,e_demand,2030,5,10,10,0.009000000000000003
107,e_demand,2030,5,11,11,0.009000000000000003
108,e_demand,2030,5,12,12,0.009000000000000003
109,e_demand,2030,5,13,13,0.009000000000000003
110,e_demand,2030,5,14,14,0.009000000000000003
111,e_demand,2030,5,15,15,0.009000000000000003
112,e_demand,2030,5,16,16,0.009000000000000003
113,e_demand,2030,5,17,17,0.009000000000000003
114,e_demand,2030,5,18,18,0.009000000000000003
115,e_demand,2030,5,19,19,0.009000000000000003
116,e_demand,2030,5,20,20,0.009000000000000003
117,e_demand,2030,5,21,21,0.009000000000000003
118,e_demand,2030,5,22,22,0.009000000000000003
119,e_demand,2030,5,23,23,0.009000000000000003
120,e_demand,2030,5,24,24,0.009000000000000003
121,e_demand,2030,6,1,1,0.014000000000000004
122,e_demand,2030,6,2,2,0.014000000000000004
123,e_demand,2030,6,3,3,0.014000000000000004
124,e_demand,2030,6,4,4,0.014000000000000004
125,e_demand,2030,6,5,5,0.014000000000000004
126,e_demand,2030,6,6,6,0.014000000000000004
127,e_demand,2030,6,7,7,0.014000000000000004
128,e_demand,2030,6,8,8,0.014000000000000004
129,e_demand,2030,6,9,9,0.014000000000000004
130,e_demand,2030,6,10,10,0.014000000000000004
131,e_demand,2030,6,11,11,0.014000000000000004
132,e_demand,2030,6,12,12,0.014000000000000004
133,e_demand,2030,6,13,13,0.014000000000000004
134,e_demand,2030,6,14,14,0.014000000000000004
135,e_demand,2030,6,15,15,0.014000000000000004
136,e_demand,2030,6,16,16,0.014000000000000004
137,e_demand,2030,6,17,17,0.014000000000000004
138,e_demand,2030,6,18,18,0.014000000000000004
139,e_demand,2030,6,19,19,0.014000000000000004
140,e_demand,2030,6,20,20,0.014000000000000004
141,e_demand,2030,6,21,21,0.014000000000000004
142,e_demand,2030,6,22,22,0.014000000000000004
143,e_demand,2030,6,23,23,0.014000000000000004
144,e_demand,2030,6,24,24,0.014000000000000004
145,e_demand,2030,7,1,1,0.009000000000000003
146,e_demand,2030,7,2,2,0.009000000000000003
147,e_demand,2030,7,3,3,0.009000000000000003
148,e_demand,2030,7,4,4,0.009000000000000003
149,e_demand,2030,7,5,5,0.009000000000000003
150,e_demand,2030,7,6,6,0.009000000000000003
151,e_demand,2030,7,7,7,0.009000000000000003
152,e_demand,2030,7,8,8,0.009000000000000003
153,e_demand,2030,7,9,9,0.009000000000000003
154,e_demand,2030,7,10,10,0.009000000000000003
155,e_demand,2030,7,11,11,0.009000000000000003
156,e_demand,2030,7,12,12,0.009000000000000003
157,e_demand,2030,7,13,13,0.009000000000000003
158,e_demand,2030,7,14,14,0.009000000000000003
159,e_demand,2030,7,15,15,0.009000000000000003
160,e_demand,2030,7,16,16,0.009000000000000003
161,e_demand,2030,7,17,17,0.009000000000000003
162,e_demand,2030,7,18,18,0.009000000000000003
163,e_demand,2030,7,19,19,0.009000000000000003
164,e_demand,2030,7,20,20,0.009000000000000003
165,e_demand,2030,7,21,21,0.009000000000000003
166,e_demand,2030,7,22,22,0.009000000000000003
167,e_demand,2030,7,23,23,0.009000000000000003
168,e_demand,2030,7,24,24,0.009000000000000003
169,e_demand,2030,8,1,1,0.014000000000000004
170,e_demand,2030,8,2,2,0.014000000000000004
171,e_demand,2030,8,3,3,0.014000000000000004
172,e_demand,2030,8,4,4,0.014000000000000004
173,e_demand,2030,8,5,5,0.014000000000000004
174,e_demand,2030,8,6,6,0.014000000000000004
175,e_demand,2030,8,7,7,0.014000000000000004
176,e_demand,2030,8,8,8,0.014000000000000004
177,e_demand,2030,8,9,9,0.014000000000000004
178,e_demand,2030,8,10,10,0.014000000000000004
179,e_demand,2030,8,11,11,0.014000000000000004
180,e_demand,2030,8,12,12,0.014000000000000004
181,e_demand,2030,8,13,13,0.014000000000000004
182,e_demand,2030,8,14,14,0.014000000000000004
183,e_demand,2030,8,15,15,0.014000000000000004
184,e_demand,2030,8,16,16,0.014000000000000004
185,e_demand,2030,8,17,17,0.014000000000000004
186,e_demand,2030,8,18,18,0.014000000000000004
187,e_demand,2030,8,19,19,0.014000000000000004
188,e_demand,2030,8,20,20,0.014000000000000004
189,e_demand,2030,8,21,21,0.014000000000000004
190,e_demand,2030,8,22,22,0.014000000000000004
191,e_demand,2030,8,23,23,0.014000000000000004
192,e_demand,2030,8,24,24,0.014000000000000004
193,e_demand,2030,9,1,1,0.009000000000000003
194,e_demand,2030,9,2,2,0.009000000000000003
195,e_demand,2030,9,3,3,0.009000000000000003
196,e_demand,2030,9,4,4,0.009000000000000003
197,e_demand,2030,9,5,5,0.009000000000000003
198,e_demand,2030,9,6,6,0.009000000000000003
199,e_demand,2030,9,7,7,0.009000000000000003
200,e_demand,2030,9,8,8,0.009000000000000003
201,e_demand,2030,9,9,9,0.009000000000000003
202,e_demand,2030,9,10,10,0.009000000000000003
