id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,11.950549450549449
2,electrolizer,2030,1,2,2,11.950549450549449
3,electrolizer,2030,1,3,3,11.950549450549449
4,electrolizer,2030,1,4,4,11.950549450549449
5,electrolizer,2030,1,5,5,11.950549450549449
6,electrolizer,2030,1,6,6,11.950549450549449
7,electrolizer,2030,1,7,7,11.950549450549449
8,electrolizer,2030,1,8,8,11.950549450549449
9,electrolizer,2030,1,9,9,38.42814685116769
10,electrolizer,2030,1,10,10,38.42814685116769
11,electrolizer,2030,1,11,11,38.42814685116769
12,electrolizer,2030,1,12,12,38.42814685116769
13,electrolizer,2030,1,13,13,29.98401915387091
14,electrolizer,2030,1,14,14,33.223289921186606
15,electrolizer,2030,1,15,15,33.223289921186606
16,electrolizer,2030,1,16,16,11.950549450549449
17,electrolizer,2030,1,17,17,13.24160603938997
18,electrolizer,2030,1,18,18,11.950549450549449
19,electrolizer,2030,1,19,19,11.950549450549449
20,electrolizer,2030,1,20,20,11.950549450549449
21,electrolizer,2030,1,21,21,11.950549450549449
22,electrolizer,2030,1,22,22,11.950549450549449
23,electrolizer,2030,1,23,23,11.950549450549449
24,electrolizer,2030,1,24,24,11.950549450549449
25,electrolizer,2030,2,1,1,0.023076923076923075
26,electrolizer,2030,2,2,2,0.023076923076923075
27,electrolizer,2030,2,3,3,0.023076923076923075
28,electrolizer,2030,2,4,4,0.023076923076923075
29,electrolizer,2030,2,5,5,0.023076923076923075
30,electrolizer,2030,2,6,6,0.023076923076923075
31,electrolizer,2030,2,7,7,0.023076923076923075
32,electrolizer,2030,2,8,8,0.023076923076923075
33,electrolizer,2030,2,9,9,0.023076923076923075
34,electrolizer,2030,2,10,10,0.023076923076923075
35,electrolizer,2030,2,11,11,0.023076923076923075
36,electrolizer,2030,2,12,12,0.023076923076923075
37,electrolizer,2030,2,13,13,0.023076923076923075
38,electrolizer,2030,2,14,14,0.023076923076923075
39,electrolizer,2030,2,15,15,0.023076923076923075
40,electrolizer,2030,2,16,16,0.023076923076923075
41,electrolizer,2030,2,17,17,0.023076923076923075
42,electrolizer,2030,2,18,18,0.023076923076923075
43,electrolizer,2030,2,19,19,0.023076923076923075
44,electrolizer,2030,2,20,20,0.023076923076923075
45,electrolizer,2030,2,21,21,0.023076923076923075
46,electrolizer,2030,2,22,22,0.023076923076923075
47,electrolizer,2030,2,23,23,0.023076923076923075
48,electrolizer,2030,2,24,24,0.023076923076923075
49,electrolizer,2030,3,1,1,0.02344322344322344
50,electrolizer,2030,3,2,2,0.02344322344322344
51,electrolizer,2030,3,3,3,0.02344322344322344
