id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,0.02344322344322344
2,electrolizer,2030,1,2,2,0.02344322344322344
3,electrolizer,2030,1,3,3,0.02344322344322344
4,electrolizer,2030,1,4,4,0.02344322344322344
5,electrolizer,2030,1,5,5,0.02344322344322344
6,electrolizer,2030,1,6,6,0.02344322344322344
7,electrolizer,2030,1,7,7,0.02344322344322344
8,electrolizer,2030,1,8,8,0.02344322344322344
9,electrolizer,2030,1,9,9,0.02344322344322344
10,electrolizer,2030,1,10,10,0.02344322344322344
11,electrolizer,2030,1,11,11,0.02344322344322344
12,electrolizer,2030,1,12,12,0.02344322344322344
13,electrolizer,2030,1,13,13,0.02344322344322344
14,electrolizer,2030,1,14,14,0.02344322344322344
15,electrolizer,2030,1,15,15,0.02344322344322344
16,electrolizer,2030,1,16,16,0.02344322344322344
17,electrolizer,2030,1,17,17,0.02344322344322344
18,electrolizer,2030,1,18,18,0.02344322344322344
19,electrolizer,2030,1,19,19,0.02344322344322344
20,electrolizer,2030,1,20,20,0.02344322344322344
21,electrolizer,2030,1,21,21,0.02344322344322344
22,electrolizer,2030,1,22,22,0.02344322344322344
23,electrolizer,2030,1,23,23,0.02344322344322344
24,electrolizer,2030,1,24,24,0.02344322344322344
25,electrolizer,2030,1,25,25,0.02344322344322344
26,electrolizer,2030,1,26,26,0.02344322344322344
27,electrolizer,2030,1,27,27,0.02344322344322344
28,electrolizer,2030,1,28,28,0.02344322344322344
29,electrolizer,2030,1,29,29,0.02344322344322344
30,electrolizer,2030,1,30,30,0.02344322344322344
31,electrolizer,2030,1,31,31,0.02344322344322344
32,electrolizer,2030,1,32,32,0.02344322344322344
33,electrolizer,2030,1,33,33,0.02344322344322344
34,electrolizer,2030,1,34,34,0.02344322344322344
35,electrolizer,2030,1,35,35,0.02344322344322344
36,electrolizer,2030,1,36,36,0.02344322344322344
37,electrolizer,2030,1,37,37,0.02344322344322344
38,electrolizer,2030,1,38,38,0.02344322344322344
39,electrolizer,2030,1,39,39,0.02344322344322344
40,electrolizer,2030,1,40,40,0.02344322344322344
41,electrolizer,2030,1,41,41,0.02344322344322344
42,electrolizer,2030,1,42,42,0.02344322344322344
43,electrolizer,2030,1,43,43,0.02344322344322344
44,electrolizer,2030,1,44,44,0.02344322344322344
45,electrolizer,2030,1,45,45,0.02344322344322344
46,electrolizer,2030,1,46,46,0.02344322344322344
47,electrolizer,2030,1,47,47,0.02344322344322344
48,electrolizer,2030,1,48,48,0.02344322344322344
49,electrolizer,2030,1,49,49,0.02344322344322344
50,electrolizer,2030,1,50,50,0.0009377289377289377
51,electrolizer,2030,1,51,51,0.0009377289377289377
52,electrolizer,2030,1,52,52,0.0009377289377289377
53,electrolizer,2030,1,53,53,0.0009377289377289377
54,electrolizer,2030,1,54,54,0.0009377289377289377
55,electrolizer,2030,1,55,55,0.0009377289377289377
56,electrolizer,2030,1,56,56,0.0009377289377289377
57,electrolizer,2030,1,57,57,0.02344322344322344
58,electrolizer,2030,1,58,58,0.02344322344322344
59,electrolizer,2030,1,59,59,0.02344322344322344
60,electrolizer,2030,1,60,60,0.02344322344322344
61,electrolizer,2030,1,61,61,0.02344322344322344
62,electrolizer,2030,1,62,62,0.02344322344322344
63,electrolizer,2030,1,63,63,0.02344322344322344
64,electrolizer,2030,1,64,64,0.02344322344322344
65,electrolizer,2030,1,65,65,0.02344322344322344
66,electrolizer,2030,1,66,66,0.02344322344322344
67,electrolizer,2030,1,67,67,0.02344322344322344
68,electrolizer,2030,1,68,68,0.02344322344322344
69,electrolizer,2030,1,69,69,0.02344322344322344
70,electrolizer,2030,1,70,70,0.0009377289377289377
71,electrolizer,2030,1,71,71,0.0009377289377289377
72,electrolizer,2030,1,72,72,0.0010390348340486844
73,electrolizer,2030,1,73,73,0.0009377289377289377
74,electrolizer,2030,1,74,74,0.0009377289377289377
75,electrolizer,2030,1,75,75,0.0009377289377289377
76,electrolizer,2030,1,76,76,0.0009377289377289377
77,electrolizer,2030,1,77,77,0.0009377289377289377
78,electrolizer,2030,1,78,78,0.0009377289377289377
79,electrolizer,2030,1,79,79,0.02344322344322344
80,electrolizer,2030,1,80,80,0.02344322344322344
81,electrolizer,2030,1,81,81,0.02344322344322344
82,electrolizer,2030,1,82,82,0.02344322344322344
83,electrolizer,2030,1,83,83,0.02344322344322344
84,electrolizer,2030,1,84,84,0.02344322344322344
85,electrolizer,2030,1,85,85,0.02344322344322344
86,electrolizer,2030,1,86,86,0.02344322344322344
87,electrolizer,2030,1,87,87,0.02344322344322344
88,electrolizer,2030,1,88,88,0.02344322344322344
89,electrolizer,2030,1,89,89,0.02344322344322344
90,electrolizer,2030,1,90,90,0.02344322344322344
91,electrolizer,2030,1,91,91,0.02344322344322344
92,electrolizer,2030,1,92,92,0.02344322344322344
93,electrolizer,2030,1,93,93,0.02344322344322344
94,electrolizer,2030,1,94,94,0.02344322344322344
95,electrolizer,2030,1,95,95,0.02344322344322344
96,electrolizer,2030,1,96,96,0.02344322344322344
97,electrolizer,2030,1,97,97,0.02344322344322344
98,electrolizer,2030,1,98,98,0.02344322344322344
99,electrolizer,2030,1,99,99,0.02344322344322344
100,electrolizer,2030,1,100,100,0.02344322344322344
101,electrolizer,2030,1,101,101,0.02344322344322344
102,electrolizer,2030,1,102,102,0.02344322344322344
103,electrolizer,2030,1,103,103,0.02344322344322344
104,electrolizer,2030,1,104,104,0.02344322344322344
105,electrolizer,2030,1,105,105,0.02344322344322344
106,electrolizer,2030,1,106,106,0.02344322344322344
107,electrolizer,2030,1,107,107,0.02344322344322344
108,electrolizer,2030,1,108,108,0.02344322344322344
109,electrolizer,2030,1,109,109,0.02344322344322344
110,electrolizer,2030,1,110,110,0.02344322344322344
111,electrolizer,2030,1,111,111,0.02344322344322344
112,electrolizer,2030,1,112,112,0.02344322344322344
113,electrolizer,2030,1,113,113,0.02344322344322344
114,electrolizer,2030,1,114,114,0.02344322344322344
115,electrolizer,2030,1,115,115,0.02344322344322344
116,electrolizer,2030,1,116,116,0.02344322344322344
117,electrolizer,2030,1,117,117,0.02344322344322344
118,electrolizer,2030,1,118,118,0.021157509157509156
119,electrolizer,2030,1,119,119,0.0009377289377289377
120,electrolizer,2030,1,120,120,0.02344322344322344
121,electrolizer,2030,1,121,121,0.02344322344322344
122,electrolizer,2030,1,122,122,0.0009377289377289377
123,electrolizer,2030,1,123,123,0.0009377289377289377
124,electrolizer,2030,1,124,124,0.0009377289377289377
125,electrolizer,2030,1,125,125,0.0009377289377289377
126,electrolizer,2030,1,126,126,0.0009377289377289377
127,electrolizer,2030,1,127,127,0.0009377289377289377
128,electrolizer,2030,1,128,128,0.0009377289377289377
129,electrolizer,2030,1,129,129,0.0009377289377289377
130,electrolizer,2030,1,130,130,0.02344322344322344
131,electrolizer,2030,1,131,131,0.02344322344322344
132,electrolizer,2030,1,132,132,0.02344322344322344
133,electrolizer,2030,1,133,133,0.02344322344322344
134,electrolizer,2030,1,134,134,0.02344322344322344
135,electrolizer,2030,1,135,135,0.02344322344322344
136,electrolizer,2030,1,136,136,0.02344322344322344
137,electrolizer,2030,1,137,137,0.02344322344322344
138,electrolizer,2030,1,138,138,0.02344322344322344
139,electrolizer,2030,1,139,139,0.02344322344322344
140,electrolizer,2030,1,140,140,0.02344322344322344
141,electrolizer,2030,1,141,141,0.02344322344322344
142,electrolizer,2030,1,142,142,0.02344322344322344
143,electrolizer,2030,1,143,143,0.02344322344322344
144,electrolizer,2030,1,144,144,0.02344322344322344
145,electrolizer,2030,1,145,145,0.02344322344322344
146,electrolizer,2030,1,146,146,0.02344322344322344
